,sport,yob,direct_correlation,indirect_correlation,same_correlation
0,football,1920,-0.9361154477168352,-0.03618286922400352,True
1,football,1921,-1.0625682835728285,-0.015317231095790269,True
2,football,1922,-1.014896600426281,-0.02707257828041241,True
3,football,1923,-0.899106780142579,-0.044253652427125895,True
4,football,1924,-0.9347070970615304,-0.06438098036994337,True
5,football,1925,-0.9733774578544132,-0.04393071269170246,True
6,football,1926,-1.0454760822430642,-0.056528278263108425,True
7,football,1927,-1.2572456869634852,-0.04180720836616547,True
8,football,1928,-1.0170570744728842,-0.06497521722380127,True
9,football,1929,-1.0900358017929868,-0.012943953584104351,True
10,football,1930,-0.8800739797800897,-0.03820198291958906,True
11,football,1931,-0.8591287082995044,-0.024295718200396,True
12,football,1932,-0.8353480555859458,-0.0025063627158480816,True
13,football,1933,-0.7447640775494122,0.01596537180447697,False
14,football,1934,-0.7417281516850215,-0.029694676596537975,True
15,football,1935,-0.9185375590295488,-0.007846603569379546,True
16,football,1936,-0.6741460836278477,-0.026929448054225983,True
17,football,1937,-0.9962818832837516,-0.019350730308389887,True
18,football,1938,-0.7392447906687755,-0.019123072708647798,True
19,football,1939,-0.6288180827519038,0.005869408401115996,False
20,football,1940,-0.7268658103359278,-0.03256489882425686,True
21,football,1941,-0.8612551388104508,-0.016188604008889673,True
22,football,1942,-0.6045896584208982,-0.03206165992083485,True
23,football,1943,-0.4263348037231931,-0.08472774428911636,True
24,football,1944,-0.58309221472931,-0.08029559258578925,True
25,football,1945,-0.7715912430209099,-0.00908288338286996,True
26,football,1946,-0.6431187681874492,-0.0295113783608114,True
27,football,1947,-0.5223858406714742,-0.03144889122052929,True
28,football,1948,-0.5027133957587605,0.03271070544793122,False
29,football,1949,-0.8206960089558051,-0.024360121884893192,True
30,football,1950,-0.4359277787712003,-0.032127325333828706,True
31,football,1951,-0.5212061085124731,-0.015116615025140674,True
32,football,1952,-0.5648959091086239,-0.06601960855042707,True
33,football,1953,-0.4120544905398237,-0.037674412088984026,True
