index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Virgil,0.40406940266606467,0.3151728442674842,-0.9681893720054936,-0.18187456370228494,0.006259980284707672,-0.2630214528648886,-1.5729621553101585,-1.2696300760368704,-1.3855206370112565,0.4660736948961611,0.8162367660474047,0.8487356526507931,1.5754263112006852,0.936145088054944,0.08576567719362917,0.05329942181185436,1.7734034280606328,0.4677070257624838,-0.5714417201037729,-0.9752202563025203,-0.33292170768119234,-0.9324115075533496,-1.0056744903638317,-1.0416705027264477,-0.631435316328835,-1.0909818415195878,-1.3321117476341706,-1.4258564921265906,-1.4535203019799088,-1.6145585341563462,-1.9749427533673358,-1.6889598666082444,-2.023065869821565,-1.6736566127921828,-1.5531147244257257,-1.7382980533504702,-2.09277291156432,-1.9040109484966512,-1.7366300261704146,-1.8013253950688486,-2.032104565722325,-1.7487314351413175,-1.418216737164579,-1.7125973522506148,-2.0343420614136187,-1.7340763508688115,-2.318669272212003,-2.2522685751665406,-2.4525702751939598,-2.518381080794983,-2.2626382157994063,-2.0818756250298867,-2.26694978303083,-2.146896703864904,-1.8461101632645334,-2.2073239138525604,-2.5324840473014514,-2.5335247240409933,-2.286000502223899,-2.599121191952041,-2.7872098335144444,-2.2527078847721245,-2.479593542005551,-2.262536186049233,-2.4202858277279575,-2.0518002800661828,-2.3542471838765815,-2.0847361165223464,-2.377337135542579,-2.2135718798447606,-1.9879383500316221,-1.6034330532999346,-1.9539374425313951,-2.1897957266951695,-2.0614023213125963,-1.9797580266589012,-2.169227490339755,-2.0709727543221788,-2.487388035717661,-1.8533132295462493,-2.0438819244211714,-1.6287082199651592,-1.6979781082257699,-2.0551884398096276,-1.9582452006904525,-1.5478488840292994,-2.0068146650749843,-1.8840728155862907,-2.4152165923993008,-2.1610260114204722,-1.6875572413203854,-1.7953520960035299,-2.013057326490598,-1.8543787090490664,-1.4990252842571785,-1.5427404169524486,-1.8322594495281836,-1.031706042602008,-0.3845041549351022,-1.4297233862968937,-1.9052985723679714,-1.547375337991026,-1.2128356378048888,-1.5677346342181941,-1.8607759754188629,-1.4727108993661226,-1.6757401882591856,-1.411703392854304,-1.5905484361650617,-0.8533861652128124,-0.42341491354039523,-0.6476174775840694,-0.6146662352837238,-0.5876261371149608,-0.5431939233518187,-0.5957091758072103,-1.4587245971115925,-0.7196708267711897,0.2214173399760676
Kyle,0.643195251807624,0.43238112410142093,0.3124136558503602,0.5370068945428448,1.519462645868685,0.5637632388341992,-0.2376120305877364,0.7614360006402437,-0.16964895420672438,0.4223286666058233,0.7801383178445062,0.7317382292378488,0.4886282044496565,1.2308780841355162,0.08113212970404243,0.21593028598705916,1.309332292666352,0.161965653644355,-1.1163918341010521,-0.7665275829081118,-0.6950080817128179,-0.5000075237357737,-0.8274290640249364,-0.7827209311314433,-0.5472528016011148,-0.777307554590841,-0.6923271149813165,-0.9666203754807796,-0.8603802914154252,-0.5718573934191237,-0.7245525231546761,-0.7702481847392915,-0.7868762960482827,-0.7908153046551938,-0.7036732699982268,-0.7586210089143016,-0.4151165722592768,-0.4906176645764199,-0.8530944665111986,-0.8559532586833335,-0.6102989342773815,-0.5213669724457313,-0.6362271406411644,-0.45227757675578406,-0.5673887929975896,-0.3848266876459182,-0.29366669503550463,-0.3914890671468932,-0.5497284806345694,-0.273907673634432,-0.3857559321293241,-0.22030468457920385,-0.3599060902520354,-0.18742177266461366,-0.1136034494929693,-0.38281303996667326,-0.19142124012462766,-0.2625441633893649,-0.4425352332817113,-0.1942016088281056,-0.18312495596521067,0.001152932005291363,-0.13897793173191852,-0.05756840477721507,0.09854748998773506,-0.08800883842676444,-0.18292282583776673,-0.4767615909798698,-0.6056067577615256,-0.15138054984382196,-0.4258836326990543,-0.5233025194074649,-0.24700949049540827,-0.2991907835602852,-0.2203832123429878,-0.2271211156909153,0.18442426283401223,0.01821529413028839,0.023890568904004126,0.03028654057993907,0.14650340436211007,0.34931953337434124,0.15827169116384934,0.266706406548454,0.47313381773650454,0.36812591985752013,0.46195081894482104,0.29509229466508835,0.15200329188871042,0.3162390347525298,0.13333498725400303,0.2140583727825093,0.34460301230858104,0.2650957385459867,0.3040816877675126,0.07815141290194656,0.19879385422401522,0.2840150385128668,0.3320558596362211,-0.024105962909840413,0.0670630419317972,0.12421716130976121,0.042855661812798033,-0.013889054515100065,0.333240816684483,0.2068392101246826,0.18156582131242724,-0.1455327446948895,-0.004200464995387897,-0.04292160239504075,-0.14994432778341493,-0.2755897937282292,-0.3492646459317577,-0.3105294774473781,-0.07542536322655992,-0.13683566389954122,0.05337322149798861,-0.11491233429732599,0.1892467948027273
Dakota,0.3415294739195841,-0.2814343478707088,-0.8475796885660433,0.374751455299235,0.6541665595980196,0.30306456448336516,-0.6753206317000062,0.4548395040078983,-0.5777281208403139,0.06386551809756749,0.2937519069834261,0.25630277059173556,-0.6320292662201343,-0.05089824170934833,0.22395831252405848,-0.43423870427188194,0.7949519420998523,-0.8194248393766038,0.5396206942706817,0.42101386393506723,0.3037180715732271,0.387259114150889,0.4189683436909988,0.3030725347881804,0.5483467032086128,0.37894037198244357,0.20919813917866262,0.3248042846619086,0.6533533883454282,0.2970222616349134,0.455305306228505,0.37746527653626416,0.10358700710625948,0.42238730559005766,0.11193041483077854,0.7230277887529266,0.3935680123438655,0.46061913813618305,0.5627091760125653,0.3290038649621596,0.5931518882388248,0.1470255789856639,0.38118389015961895,0.8361374487894746,0.6433598896023753,0.7692716244693406,0.537182835576278,0.27646137707773244,0.6357175215932062,0.4108210356608071,0.5995788692839602,0.5625310886978455,0.7154781295510366,0.6468432374711343,0.48333888267277375,0.6640096564028373,0.4220926115490135,0.7121827093837534,0.8675455030701309,0.8852784752595967,0.834870382661268,0.9210893378196986,0.8984572964059463,0.8890025469456001,0.8661398552835828,1.0281661140357525,0.49686840892086265,0.5031258401549239,0.4838909701463296,0.2548344191184711,0.2769991115351437,0.35569005081780086,-0.2663136329246988,0.03619200953581399,-0.06679783462884144,0.13757704165428367,0.427219275972285,0.5599548446663946,0.11565672983877236,-0.08452602248352556,-0.029955084844892312,-0.06369443750009669,-0.08801270907371622,0.33634423238281286,0.40738163827660373,0.11858649139984351,0.3580815491292408,0.45849369331355533,0.3591894195854447,0.22319178238211723,0.30622215804178277,0.7099681905255306,0.5136239363108855,0.38729192137609403,0.3691190728422691,0.39435955694877906,0.19178710594134998,0.4593258975173912,0.6052316070946613,0.3770896929851019,0.197432460819572,-0.13290365909405236,-0.12589508347208517,0.21912819366929365,0.4505064447033819,0.6205832529492633,0.527814208777721,0.7138242014072016,0.6908980887223112,0.5371586497084342,0.5546831013648941,0.4447429545285657,0.35354291754110123,0.35555286934643365,0.5328012332251915,0.707665321731667,0.37260121664328405,0.5497180496273341,1.014857152835691
Fred,0.8229880775701781,0.8442471316856582,0.4139605460998689,0.873883115598129,1.0354755352998875,0.7957404799062453,-1.1318614121998092,-0.522605402988413,-1.3176293251988833,0.16501954969028798,0.3276618311846528,1.0680820883687672,0.876358505531759,0.7723624987482348,-0.15410002922750574,0.3418000999206631,0.9896070619910202,1.318987055264349,0.2161543399405141,0.351214041746606,0.23729968000685983,0.3015827975920988,0.13735368914297252,0.2179727978816649,0.38676716809425216,0.2717094179933998,0.2762511539926994,0.16695351218630172,0.35652546255753054,0.21996525089162294,0.2464911537794919,0.339211015497157,0.16805080611293208,0.2503942516374681,0.3289223887062973,0.2695047234509146,0.37893660776973365,0.45998503367569965,0.26039465782978266,0.1516116013495541,0.27849831773592854,0.1491493435714349,0.1809863610067465,0.5615152891649101,0.24340722060255365,0.1663731641018479,0.3528374265941694,0.32198107035701795,0.33321844141354723,0.48118544882479836,0.331353701853695,0.40294351108567533,0.3295424155986239,0.33080625198896213,0.38129470453421327,0.14842439793033138,0.3261804326383625,0.4017680218150483,0.17529754163604855,0.3388131040403511,0.18069852076481452,0.305784684824468,0.3693439270927645,0.28861011177993706,0.2234198175336664,0.24920669117423871,0.1572247239328007,-3.126768811509877e-05,-0.07311074441685678,-0.13414083987402223,0.0072232902083228835,-0.1241118379519691,-0.18831976843554254,0.045208296728725283,-0.023924426534692376,-0.07261168934155937,0.12645698398855512,-0.0603932416290434,-0.20144352432351265,-0.11623273629642172,-0.05079257407778509,-0.0043990268127169115,-0.25079477231692643,-0.03529655943465356,-0.03953599319096682,-0.20980635410512005,-0.00912708751104569,-0.11645930364719935,-0.27706805121395456,-0.37267994160402845,-0.4847704310110427,-0.31139220530485257,-0.4201286438897684,-0.3983186220573307,-0.3420943315457529,-0.6146851166330929,-0.4841629739870112,-0.4693783010481585,0.01769624329081715,-0.4457683360385091,-0.500481978195122,-0.4379571647370795,-0.4752087346340948,-0.3807585020836085,-0.2474821889667931,-0.370930127974642,-0.353260322925421,-0.3723739137825925,-0.3066880120482986,-0.40252790813143846,-0.4750852171633167,-0.5874682690446937,-0.6515260237937819,-0.5594935155881278,-0.4009624878652035,-0.3691950895645926,-0.6132124408300176,-0.478879041363638,-0.1548363652415739
Henry,1.7515973612430273,0.78295114216996,1.1007600550775754,0.13383705662472709,4.013216104708995,-0.9147561159922085,-1.8219226394060974,-0.5868630167888965,-1.6955659591024355,0.6172995492723379,1.3059027639452365,0.7448375806966393,2.485321948216677,1.4956914580229244,-0.038014475744990346,1.006933901442331,1.725617093022989,1.6832765201678588,0.23559172327866604,0.25578777295726995,0.052836977411937665,-0.01572542318614901,-0.15126770639751214,0.10017386463618096,0.27113229823315277,0.18782494625225107,-0.08679385239705677,-0.12956845047966845,-0.03436970212969292,-0.23091741090149095,-0.2494289925089886,-0.19327646311420196,-0.45987119062804716,-0.1442250834550284,-0.18105067885241058,-0.06807019191449212,-0.1316722857599716,-0.008744548309869952,-0.07807548919685664,-0.3642786444377466,-0.4138653203643167,-0.44577324805060803,-0.21634957615262745,0.16972131669317703,-0.13865156275736532,-0.31715537779063047,-0.35117343145502816,-0.25278296938243344,-0.4511101207619156,-0.348142457412362,-0.5652772239076959,-0.36956745642957833,-0.6383553901855871,-0.5906802381881274,-0.6497299395076194,-0.8210067549590496,-0.7350679175549781,-0.5270043895373439,-0.6498351358401571,-0.5543311077613483,-0.7362387463099779,-0.5497679378675646,-0.7146776930112837,-0.5017038141846492,-0.4206177082472029,-0.4964909016442519,-0.6114969821359024,-0.7993956734971034,-0.8086070962067656,-1.0092025267943476,-1.031375667898947,-0.932239783371418,-1.0959231617304952,-0.9683263618542484,-0.9576826975839461,-0.8443271302315541,-0.8910783787339308,-0.8401233535829793,-1.0061668421779135,-0.9766875966165233,-0.8766061607470963,-0.8540504299573042,-1.0757556013321423,-0.7210414326163026,-0.8455010673767794,-0.8209708575799121,-0.7246014007737017,-0.677197141557943,-0.8488170204268745,-1.0448919720477512,-1.1187997757103798,-0.842760668976402,-1.0067866673076118,-0.9245677369105236,-0.9108545829752073,-0.9477052908688679,-1.04281477090668,-0.9284213900104714,-0.21785443015853237,-0.7454533350923402,-0.7709382480928396,-0.6630364920635787,-0.6921841297237284,-0.4127077812895268,-0.3660096994828142,-0.22699231371427261,-0.28728101494913916,-0.05260630182522073,-0.02456221677601078,0.01137103944628233,0.012875913027490324,0.022542258871716955,-0.11854766139977478,-0.021126867617046605,-0.04189167750769865,0.1877610473522152,-0.09498432821879225,0.14240389021386624,-0.04323431930919294
Stanley,0.2559908242983931,0.953482147359417,1.6454336662505844,-0.5310156392817827,1.3322947878562514,-0.38940825259033346,-1.314407291213379,-0.051802615278436354,-1.3333279397658322,0.09718359457044554,0.5230814150420843,0.8809458436491984,0.24716017013563923,0.6411339797957973,-0.08299910094219128,0.18894074870473324,0.8828018439499762,0.6807468306719305,-0.207163664896944,0.049898605255541614,-0.2574473961611888,-0.20821893099770913,-0.3082735889545925,-0.16420824942934864,-0.05202789303649501,-0.1439481081756872,-0.30975222960960574,-0.1666432616703924,0.0009015664282991801,-0.12070651293891778,-0.16026414832349833,-0.08293819642529163,-0.2943389643508028,-0.09765534556227508,-0.1274140607356426,-0.02099077719216111,-0.019041834395022085,0.14568852413024694,0.01537456527719267,-0.0982562007991854,0.056680906851390676,-0.07528205856481532,-0.12042295814087506,0.21573796569026493,-0.020682072677897165,0.015245389517652424,0.00571177426227761,0.10958176994022237,0.12071502137092245,0.2893363020710261,-0.035095533474690715,0.12732874369362554,0.14153448325103135,0.1412137779584727,0.07451872053291649,0.054502738923096275,0.054598500659530744,0.2904591758398343,0.07981672326124199,0.2084349678156415,0.12000447177962474,0.21521731820098186,0.21862881298096193,0.2849873966502071,0.28269826577622353,0.1875736389009102,0.07029455053683019,0.07661442525070095,0.10255688328038799,0.08792207717355308,0.024233121264703048,0.00684924240073825,-0.06329776391078293,0.043075501996644235,-0.035946130991812486,0.08884555283096739,0.1478265595324083,0.05600201652813779,0.012490133095059827,-0.06481044875941859,0.06500617098202734,0.15101670070214812,-0.028302592150476875,0.15603702501612685,0.061460478751321025,0.0806601275703217,0.1488404730229676,0.1747289036350285,0.044343506978914315,-0.17324244043865306,-0.2497002806914194,-0.11757235997787913,-0.23554204382455105,-0.17992947398813788,-0.11335484483536577,-0.34348218029828953,-0.3341525153846619,-0.23019593241138778,0.1619054940858267,-0.19566838284873528,-0.36312208132634577,-0.40523337484616556,-0.3809398790707315,-0.19745467747439263,-0.014422857628110417,-0.09430391217278895,-0.13152607596175747,-0.021993166275923792,0.06993250986965244,-0.05539079900456908,-0.09502502175424457,-0.05070760161773774,-0.1648840790583075,-0.05711272580080252,-0.0033464675345671346,0.1083445549614723,0.0027669735147626633,-0.09676518315063927,-0.022319853242507234
Rebecca,0.8611861272081652,0.7481478007283127,0.6826992417662063,-0.0869392688641115,1.076166696089037,0.3396083129048034,-0.860595997877341,-0.04402268064833243,-1.0713071345127756,0.9740311177776249,1.5125110761701792,1.1602461887956816,1.4126817505545577,1.8947114968775771,0.6078465418912792,0.6026076269047592,2.136734250197622,0.9614737763172985,-0.7441935734963688,-0.7058073503302059,-0.6887584828485708,-0.6602473512202258,-0.8379331615537003,-0.7303774727241882,-0.4140333396923877,-0.7273010005442002,-0.670033586716954,-0.8718005598526684,-0.6622726903657987,-0.779879465064616,-0.7921945027845062,-0.6461832226901315,-0.8788317490058122,-0.7516760557577596,-0.6724863863847502,-0.7117338130734001,-0.6329626168995747,-0.5336028000943946,-0.7055604313496627,-0.8814686683197199,-0.7023855403301494,-0.6032021979487948,-0.6748475365398721,-0.4336423530511451,-0.7087005289284419,-0.6247010404625771,-0.4824806832490852,-0.4954614484208997,-0.647162209163188,-0.538406217360321,-0.5313150706269475,-0.49498915446262454,-0.7199510251013458,-0.581037150030702,-0.4840841496714502,-0.73725989859785,-0.5694661088772437,-0.40920737580705857,-0.5961312795346431,-0.4267086122592521,-0.4263617416369038,-0.19555912277345774,-0.2852117715514154,-0.2516864896553481,-0.165607901939568,-0.16704488991711802,-0.4216768539385554,-0.42526952359195913,-0.514354282595064,-0.43980417348366097,-0.4077831456703434,-0.2899520737596244,-0.3546032648638514,-0.2681289815677702,-0.15612313702496475,-0.11242553457948043,0.017633551219466827,0.05749221741245545,-0.03715980683560051,0.19448469482980651,0.25617769090332765,0.40208527363704316,0.14357451886666084,0.3439638207547809,0.3615052652650194,0.29885687402086725,0.3670673381042807,0.3566382360523891,0.21999673427532024,0.17236156314474677,0.026328283172821775,0.29078065217937865,0.2597676634271908,0.2119530213045044,0.38077567336943813,0.1096079957761566,0.07042226852562687,0.3073091749248245,0.6529420256898688,0.35278897507627605,0.39795637183713517,0.4463336306111749,0.5000232855733389,0.5676436516191945,0.777632460031139,0.773983190455954,0.7644406381347295,0.8491750144017339,0.9045067622327226,0.9723057651745916,0.9066715147435525,0.8207205888075341,0.6274829173405534,0.7008142758425382,0.8610326551788919,0.8770373300643671,0.46625025229511075,0.13608109612307573,0.4198265651665813
Ernest,0.5115958164251864,1.0719283478453658,0.7120418994199958,0.40850657533997065,1.6174117518281592,0.42277080538404826,-0.5932526399777205,-0.014857130487164447,-0.7637749537647248,0.47231018139922376,0.5601340901975806,0.6672259205038562,1.0916024547994028,1.0402139093452343,0.39873508194730817,0.050183029694189106,0.9778437873834538,1.3666494992995752,0.3867278258202199,0.43415225777588456,0.45696619671528865,0.608881194410106,0.3626742096695881,0.4237858119998201,0.5825398193499617,0.4496719347131434,0.4599203715640273,0.22534668522480805,0.2242204701384252,0.2984349219710548,0.2373103592340557,0.3471556522877969,0.15099451619999793,0.22230782652170006,0.2702209848418926,0.22689882106670456,0.43826526248621417,0.3940916749209777,0.12036641758967584,0.03411238930006765,0.14959670221271457,0.20545995237134812,0.3387441953861534,0.38912137448407663,0.21690300871110602,0.14691979409732264,0.2163472910058846,0.1964172904186587,0.04988071081564192,0.2433880436108836,0.16108614002108193,0.3039686536298659,0.17840052004623516,0.17613968369636054,0.17611146483803958,-0.02418758417522768,0.05219809803047662,0.13287581186750766,-0.08888888410901201,0.06156629126211714,-0.06660444999296149,0.0292249258075841,-0.07222308739143603,0.00779369371402294,0.005740327143497774,-0.027028871888724687,-0.0862005761602144,-0.30851641508220873,-0.33801357217788625,-0.41202971506238284,-0.2943143745862701,-0.3048323535410938,-0.44950803672032313,-0.4120238738954457,-0.3833135274915189,-0.36239973597100206,-0.1922801500907524,-0.3084337586534254,-0.4445844063930345,-0.4201083333542087,-0.23937795403001375,-0.23586361185878885,-0.5203816058663546,-0.20280429755616014,-0.2553645313679583,-0.3302224656075585,-0.27516478283943485,-0.34258000013212847,-0.5600288810659416,-0.6529818666010029,-0.6631347649533968,-0.4743406138405596,-0.5786839741908874,-0.573203064227715,-0.5348817326800827,-0.7365675536619443,-0.6525901889057693,-0.6011934657786455,-0.23108373240599256,-0.7218538389777645,-0.689100957354301,-0.6925398762706082,-0.7925114586579468,-0.7264826619282209,-0.6765089311963663,-0.6722137169919886,-0.7228107860913702,-0.8133992819254154,-0.8439984531235741,-0.878894351121188,-0.9100545666446674,-0.9319495400613639,-1.0406026578576018,-1.0148268633939108,-0.8994871445282308,-0.8560495970723975,-0.9063011519673431,-0.8628748797684416,-0.5521672317577823
Dawn,1.2753047784061389,0.8581478617765279,0.7006149758474916,0.433635547995724,1.6507244556891958,-0.8009770888430308,-1.7602940958741777,-0.6435959668043688,-1.7473942351313354,0.46137845139304057,0.6809747875609369,0.7285169009878062,1.2651175466943771,-0.14548323376315692,-0.07566983703363377,0.1407972918993312,1.31528537139704,1.6637556440664234,-0.8966781873282721,-0.9008226723720879,-0.816974176569489,-0.8065324362508455,-0.8929591419125896,-0.971129986425776,-0.8077274632939451,-0.913063372268425,-0.8502101884748374,-1.0437975822759142,-0.7236063646994406,-0.7902952625110524,-0.9253349279143505,-0.9432599384284428,-1.0780801912220104,-1.0837389158992279,-1.0956868025683446,-0.8777611563868087,-0.881272390778279,-0.9070148213579239,-1.0449301463447147,-1.0555986463566052,-0.7651077775396411,-0.9489090014751318,-1.0491826174134729,-0.7522378483933188,-1.1251744652666793,-0.8191571525434139,-0.7064849006204706,-0.7625877633048506,-0.8658699794612825,-0.9097239986896148,-0.8124733795519936,-1.0019987008766473,-1.101609045659287,-0.8806681141467871,-0.9196776029198024,-0.9870462521735622,-0.8037464075868835,-0.6908022745852495,-0.7888073445260748,-0.6212709350996312,-0.6548071614600481,-0.3667642926904653,-0.5375003784043075,-0.5297756773887594,-0.4912032008852585,-0.3963634859059598,-0.6764173633075328,-0.7337592540018706,-0.8324729287301565,-0.8301223705958166,-0.8544785780177311,-0.7626463179624557,-0.8855198936260322,-0.8550199811125389,-0.7827881059909476,-0.5810845539212206,-0.17735200057911973,-0.3059062316719077,-0.46766905897316824,-0.21064752556291302,-0.23308194867376053,-0.1620156179360668,-0.2599343423023535,-0.23316060376574949,-0.19550854214309235,-0.07342300865082951,0.02766354773316567,0.018127002325234277,-0.15413048495082746,-0.1109689451438917,-0.21738443501008897,0.03334043893859894,0.0772209333799801,0.01415193150296703,0.09054209393564769,-0.14634290004429773,-0.15906122082736754,0.12703809207671726,0.40996629020542813,0.15776337776968863,0.2106973180261719,0.2915765606489983,0.3171177780847505,0.37321120268417235,0.46190684309559654,0.6871468523115409,0.7500091529627713,0.7328431765303235,0.7252865084377101,0.7675034322063221,0.7789188086127953,0.45574340855660583,0.3241398444351793,0.42571232860201125,0.6179435483033248,0.8991163090443088,0.5777288732047885,1.033595465468968,1.5519020545975968
Judy,0.20728511363228652,0.03821318870677197,0.2843554337304358,0.6864702265914995,0.6778206573581786,0.6832313988715999,-1.4906076708868297,-0.1615504802802427,-1.4130586318635328,0.4701592555873243,0.6751846665795251,0.8340820620982892,0.6170363528550585,0.6294584070001532,0.14580362416592763,0.08055710417954906,1.0572896609898468,1.015565896835025,0.2558699400155757,0.22564949802334017,0.08517278286817394,0.057339675502262925,-0.04145481623704051,0.2214453057616194,0.494715716935467,0.2803551601403785,0.2436014576552527,0.2459011139344009,0.4799999255799172,0.17691316332360577,0.27437417155688404,0.3758737653346024,0.06253820977736631,0.31497888621410747,0.29811652081128887,0.41418481384700745,0.3035793882251869,0.4514782484136759,0.3876176152511457,0.10196025354960328,0.24075411788796347,0.2335496503332317,0.19317165637940628,0.6420192043026751,0.21295328272699002,0.24849907400490498,0.2718836151070179,0.4160988653294607,0.2922116190434744,0.3495871267551644,0.3382305660197697,0.3727315035547356,0.1155866166753427,0.25603982428130445,0.17442715971087916,0.08619062056064285,0.1471785593718084,0.40621390938281615,0.24400505638428763,0.3886221857003404,0.3181275150802951,0.5392920387192672,0.45857193001583474,0.5229981114702569,0.49508220454151297,0.576282538500644,0.323797066296896,0.29950865896640644,0.1854377458174967,0.006627099584853285,0.1363105010504358,0.2123978241173309,-0.017026796194388523,0.10082725975277444,0.2765494225740368,0.28861728060859715,0.31905068798030856,0.24126951374657696,0.15300360486665707,0.3724166805584195,0.47628125019723255,0.5214304033085931,0.2842155779755143,0.5165241489269159,0.38045323816643134,0.38332248443182226,0.48005544801896116,0.4956786824455868,0.2953603764737221,0.10113210855415881,0.0029385058936219513,0.289218232352185,0.051180099082227315,0.09660258033762721,0.18734478403434096,0.053487319176818066,-0.1460757189648215,-0.024725109423383282,0.4389903540013757,0.08570114243175218,0.07990484871298315,0.08368286240652334,0.020041173821140353,0.3032526091418825,0.323365251556399,0.336963803733042,0.36640996639843365,0.5858167834178368,0.677872350111284,0.5354043302321384,0.5018864440749141,0.45445906303806444,0.22114956314533452,0.3917385858679409,0.4068647454485603,0.478146122758904,0.176393500801662,0.0551416077690687,0.22299486380647265
