index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Virgil,0.40406940266606467,0.3151728442674842,-0.9681893720054936,-0.18187456370228494,0.006259980284707672,-0.2630214528648886,-1.5729621553101585,-1.2696300760368704,-1.3855206370112565,0.4660736948961611,0.8162367660474047,0.8487356526507931,1.5754263112006852,0.936145088054944,0.08576567719362917,0.05329942181185436,1.7734034280606328,0.4677070257624838,0.9286287801928089,-1.272816882496708,0.5533094136828862,2.302534251516973,-1.0352203401136866,-2.1476516805812222
Kyle,0.643195251807624,0.43238112410142093,0.3124136558503602,0.5370068945428448,1.519462645868685,0.5637632388341992,-0.2376120305877364,0.7614360006402437,-0.16964895420672438,0.4223286666058233,0.7801383178445062,0.7317382292378488,0.4886282044496565,1.2308780841355162,0.08113212970404243,0.21593028598705916,1.309332292666352,0.161965653644355,1.8444464815628236,-0.4588451350095883,-0.031044749688241634,-0.12861757907002513,-0.17658054460631248,-0.996504731939738
Dakota,0.3415294739195841,-0.2814343478707088,-0.8475796885660433,0.374751455299235,0.6541665595980196,0.30306456448336516,-0.6753206317000062,0.4548395040078983,-0.5777281208403139,0.06386551809756749,0.2937519069834261,0.25630277059173556,-0.6320292662201343,-0.05089824170934833,0.22395831252405848,-0.43423870427188194,0.7949519420998523,-0.8194248393766038,-1.6971506548922959,0.6226254171290071,0.2382100010561615,-0.7182694540702581,-0.3260155556995734,-1.0311765359143281
Fred,0.8229880775701781,0.8442471316856582,0.4139605460998689,0.873883115598129,1.0354755352998875,0.7957404799062453,-1.1318614121998092,-0.522605402988413,-1.3176293251988833,0.16501954969028798,0.3276618311846528,1.0680820883687672,0.876358505531759,0.7723624987482348,-0.15410002922750574,0.3418000999206631,0.9896070619910202,1.318987055264349,2.0046684110238595,-0.335236970382314,0.03215298287522184,-0.9905249607610402,0.017430428984024974,-1.2791914157093711
Henry,1.7515973612430273,0.78295114216996,1.1007600550775754,0.13383705662472709,4.013216104708995,-0.9147561159922085,-1.8219226394060974,-0.5868630167888965,-1.6955659591024355,0.6172995492723379,1.3059027639452365,0.7448375806966393,2.485321948216677,1.4956914580229244,-0.038014475744990346,1.006933901442331,1.725617093022989,1.6832765201678588,1.5835237031474918,-0.8676710752532458,-0.08960905250688815,-0.1653038956704658,0.017934684348502164,-1.2878695597045107
Stanley,0.2559908242983931,0.953482147359417,1.6454336662505844,-0.5310156392817827,1.3322947878562514,-0.38940825259033346,-1.314407291213379,-0.051802615278436354,-1.3333279397658322,0.09718359457044554,0.5230814150420843,0.8809458436491984,0.24716017013563923,0.6411339797957973,-0.08299910094219128,0.18894074870473324,0.8828018439499762,0.6807468306719305,0.5820854037120873,0.3235080414756575,-0.032075012096563923,-0.383680077881249,-0.02204036047345122,-0.841682105394203
Rebecca,0.8611861272081652,0.7481478007283127,0.6826992417662063,-0.0869392688641115,1.076166696089037,0.3396083129048034,-0.860595997877341,-0.04402268064833243,-1.0713071345127756,0.9740311177776249,1.5125110761701792,1.1602461887956816,1.4126817505545577,1.8947114968775771,0.6078465418912792,0.6026076269047592,2.136734250197622,0.9614737763172985,2.1015973835865402,-0.6934592491829147,-0.2535639964221689,-0.3660683400289901,0.7581708239678784,-1.5527169197689432
Ernest,0.5115958164251864,1.0719283478453658,0.7120418994199958,0.40850657533997065,1.6174117518281592,0.42277080538404826,-0.5932526399777205,-0.014857130487164447,-0.7637749537647248,0.47231018139922376,0.5601340901975806,0.6672259205038562,1.0916024547994028,1.0402139093452343,0.39873508194730817,0.050183029694189106,0.9778437873834538,1.3666494992995752,2.525121079673057,-0.4897596139967598,0.12038527311669046,-0.4625215151361205,-0.01596805539995128,-1.5023906945510574
Dawn,1.2753047784061389,0.8581478617765279,0.7006149758474916,0.433635547995724,1.6507244556891958,-0.8009770888430308,-1.7602940958741777,-0.6435959668043688,-1.7473942351313354,0.46137845139304057,0.6809747875609369,0.7285169009878062,1.2651175466943771,-0.14548323376315692,-0.07566983703363377,0.1407972918993312,1.31528537139704,1.6637556440664234,-0.731213859904863,-0.408917753020443,-0.6773750746037401,-0.5698375769787474,-0.3078874634175769,-1.7683210965573675
Judy,0.20728511363228652,0.03821318870677197,0.2843554337304358,0.6864702265914995,0.6778206573581786,0.6832313988715999,-1.4906076708868297,-0.1615504802802427,-1.4130586318635328,0.4701592555873243,0.6751846665795251,0.8340820620982892,0.6170363528550585,0.6294584070001532,0.14580362416592763,0.08055710417954906,1.0572896609898468,1.015565896835025,1.4597685559780413,-0.23011314683822168,-0.34283942599608735,-0.6763695214432242,0.5462434228240989,-1.8821956227553813
