,sport,gender,direct_correlation,indirect_correlation,same_correlation
0,football,male,0.04891491222821148,0.14724363513208993,True
1,football,female,0.1892637676245948,-0.2564023244812029,False
2,football,boy,0.3861284567402869,0.2504968169190527,True
3,football,girl,0.5124830194025181,-0.24613786449451486,False
4,football,man,-1.105876143739195,0.3116158330022851,False
5,football,woman,-0.9651996124545476,-0.20356396832331256,True
6,basketball,male,-0.4340842878572755,0.11919273769916144,False
7,basketball,female,-0.3657336332211272,-0.26630651473938044,True
8,basketball,boy,0.4903389517917557,0.21104540826271806,True
9,basketball,girl,0.21167413246439426,-0.2600766370811916,False
10,basketball,man,-1.6349706915420397,0.2775309193288374,False
11,basketball,woman,-1.7675265817316368,-0.2281203690814228,True
12,cricket,male,-0.3868691183869956,0.14048536207084672,False
13,cricket,female,-0.5901411837917202,-0.10900719883226688,True
14,cricket,boy,0.0728950475125401,0.1935414961360416,True
15,cricket,girl,-0.2170158014957544,-0.10575766254322427,True
16,cricket,man,-1.335919269581208,0.2430625273282289,False
17,cricket,woman,-1.3185931482044275,-0.05419764689602902,True
18,hockey,male,0.8306345047317187,0.19606760804866724,True
19,hockey,female,0.9264992035211571,-0.20544944473597854,False
20,hockey,boy,0.3879638872542219,0.29281634797988915,True
21,hockey,girl,0.41373185911301696,-0.18353714685428388,False
22,hockey,man,-0.4777098120336492,0.35196030875837914,False
23,hockey,woman,-0.6450108410394704,-0.1322968086963732,True
24,tennis,male,0.6491571232021373,0.042640749704029424,True
25,tennis,female,0.40701508707142575,0.09562700304010628,True
26,tennis,boy,0.5360061117709602,0.09752236360578094,True
27,tennis,girl,0.527482229941594,0.1837096375626925,True
28,tennis,man,-0.15240102492658064,0.09329049859033732,False
29,tennis,woman,-0.08407689829156399,0.2140217878237188,False
30,volleyball,male,-0.05425430135662556,0.024887864681808584,False
31,volleyball,female,0.01954060035500524,-0.07800034432860754,False
32,volleyball,boy,0.04992682379177475,0.11168781906685783,True
33,volleyball,girl,0.1742539582425087,-0.024902290335948582,False
34,volleyball,man,-2.20016100722496,0.10838550895562037,False
35,volleyball,woman,-1.9089568221037467,-0.017259564312750452,True
36,table tennis,male,-0.11022570715602656,0.03877230340778218,False
37,table tennis,female,-0.12660211652314912,-0.01989434655822815,True
38,table tennis,boy,-1.1927639936043346,0.104324417029806,False
39,table tennis,girl,-1.0227803113561018,0.044648641196411945,False
40,table tennis,man,-1.6957769536138718,0.12512890597630513,False
41,table tennis,woman,-1.1674968296021608,0.08704507649334489,False
42,martial arts,male,0.3875405300430228,-0.04238438067225242,False
43,martial arts,female,0.5881100333601154,-0.018528409131246086,False
44,martial arts,boy,-0.4723724148840105,-0.006071819342904291,True
45,martial arts,girl,-0.014717410643007469,0.014125944945386106,False
46,martial arts,man,-0.8719778451291605,-0.0374787448064874,True
47,martial arts,woman,-0.6573974654699425,-0.020950124514913796,True
48,baseball,male,-0.04204057899814433,0.1611095500420316,False
49,baseball,female,0.5963923963124447,-0.23579419348838604,False
50,baseball,boy,-0.17729674760217504,0.2639153144504478,False
51,baseball,girl,0.2976938756332109,-0.22202601948989947,False
52,baseball,man,-1.2961627346135307,0.3323698590293026,False
53,baseball,woman,-0.9259056712126792,-0.17435286659565086,True
54,american football,male,0.8644959939062921,0.057541746413691384,True
55,american football,female,1.100402972835277,-0.3320404511792217,False
56,american football,boy,-0.4306104268533032,0.14663037653946762,False
57,american football,girl,0.3121858808204234,-0.3550829115373047,False
58,american football,man,-1.345528571231082,0.20839359915319455,False
59,american football,woman,-1.174337465429499,-0.3371077271912787,True
60,rugby,male,0.3568027736939652,0.11766666821163135,True
61,rugby,female,0.3401640069761291,-0.1053877696671216,False
62,rugby,boy,0.3337605403717953,0.18158390730451773,True
63,rugby,girl,0.4205416193770125,-0.08523153273525985,False
64,rugby,man,-1.053115363339803,0.21721901556345968,False
65,rugby,woman,-0.8151791716068246,-0.03203127010914899,True
66,golf,male,-0.014170145779093287,0.10522037791496693,False
67,golf,female,0.049780667118562716,-0.03445075890303713,False
68,golf,boy,-0.2045932898674485,0.15124668165090008,False
69,golf,girl,0.1024344748747664,0.002168373137579724,True
70,golf,man,-0.3143930312186181,0.21568998215834165,False
71,golf,woman,-0.06965431481837164,0.07130588498354375,False
72,athletics,male,0.21393812153185693,0.06918377586916047,True
73,athletics,female,0.09762512641862138,-0.16735828583186518,False
74,athletics,boy,-0.16204427782804354,0.10902246197156992,False
75,athletics,girl,0.1043249331149692,-0.17426625192437933,False
76,athletics,man,-0.8613989971734509,0.16682905337207807,False
77,athletics,woman,-0.8099216800172029,-0.123233435335178,True
78,badminton,male,0.15925634564393945,0.06408710017656613,True
79,badminton,female,0.06483243487477439,-0.06077000247056352,False
80,badminton,boy,-0.3553319685354517,0.08614155812177858,False
81,badminton,girl,-0.2543782767542307,-0.05400418549507472,True
82,badminton,man,-1.4121949227131998,0.13899510156505013,False
83,badminton,woman,-1.1363957649085077,-0.0030944375967144585,True
84,boxing,male,-0.25692548027978024,0.03540673510015386,False
85,boxing,female,0.1389759864300753,-0.14695441513592175,False
86,boxing,boy,-0.9219063803172164,0.12301693965700833,False
