index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Lauren,1.3157112296719113,1.2095626014360994,0.8431174340128572,1.1132157021832205,1.0759583353272995,0.8393732791604439,0.54978181331152,0.48169279425433176,1.233354513112891,0.31814144279754186,1.2578216515864757,0.9425081379488532,0.43925763507179416,0.36852130746278505,0.6534446139277776,0.20396248054501104,0.18605567453333177,0.3143797972177935,0.5448161683475533,1.2469811990736472,0.651464948261351,1.225161973466574,1.0982055598549436,0.35032227015074374,0.56400467223176,0.40757188480845413,0.7199673327863377,1.2053190034808747,0.5100087512892119,1.0275704415962812,1.2455594120728897,-0.8045469221259156,-0.30445696422342544,-0.7189735901776768,-0.4256333454325626,-1.605262586054954
Terry,0.8372937720260153,0.5171440563337003,-0.056049813369205816,0.5831340927180093,0.43311724227510645,0.05151770594483605,0.05021247022947807,-0.5570920376318832,0.6922043640333607,0.11605297472535879,0.5714636534539886,0.455181050562483,0.13851455946736208,-0.11274952357943369,0.2360750778430927,0.03182631280854731,-0.6076006535638573,-0.44501053132452834,-0.06979559597030184,1.295860506268156,-0.018962306103237393,0.23117260632717537,0.39116074428176056,0.2791524201420622,-0.11695067776514725,-0.23113538057836533,0.23620986544146752,0.6132673411510422,-0.23458548217848388,0.44947708806645575,1.644055399359238,0.007803913868503275,-0.056934346794742054,-0.02385017271360966,-0.026729696463806754,-0.6439458684957899
Diane,1.03625745926914,0.9212075901344874,0.2885738901563825,1.0039873900042031,0.8942005326385697,0.754030807072023,0.661784449906337,0.22919574304092866,1.1419765801333552,0.5670897218135849,0.8799660186250065,0.9820218405130632,0.43549992046355646,0.24154879117950406,0.6656264757806962,0.11189914992497606,0.11695450976133089,0.016041056700255858,0.21249745920046534,1.3593577314944312,0.6033053542990888,0.9788911516066624,0.8445515063748318,0.35658258381799196,0.42004163808372075,0.4951189687391928,0.6698184286562784,0.82472785626397,0.48456926566037045,1.1753476414907709,1.6946250917334411,-0.23963740824782764,-0.513974075394415,-0.750386232426709,-0.009766829181740495,-1.530209999227727
Aurora,0.3298358413506595,0.07720913191113908,0.06312633627784503,0.383789256901322,-0.2205484602030079,0.11216459135351142,-0.19842679686351583,0.20532800374216925,0.21426033376579426,0.05932678067618272,0.2646391622271106,-0.29935916665599654,-0.07746839896689274,-0.14592777983835067,0.2707537857501934,0.05259254838280507,-0.04060754726102594,-0.32627973798022464,-0.2022418819164953,0.28108225167921325,0.23965796378737167,0.5066396856711253,0.18834766889362195,-0.05708057713681306,0.08793087540511578,0.23248476193573733,0.40270232990585114,0.20873022294935034,-0.1632912258222828,0.027544317249796457,-0.2647856555174029,0.7978031648621926,-0.1073276598955187,-0.6487209598379922,-0.35113311106792905,-1.5058971929357365
Marc,0.6284680485452278,0.7171662959521374,-0.03326619900246256,0.916874757796148,0.5830770590766751,0.34538513185572284,0.24061255905061713,0.02600875281251034,0.7084224258020579,0.21648927669054846,0.26988442262971546,0.41324716270874035,-0.2563200293189291,-0.15987041838135388,0.11872332012241295,0.11271440542745015,0.11698274715151946,0.1141149394748668,0.25569549511256207,0.6951756680745736,0.3490992324484684,0.3786838723979062,0.275936685764657,-0.028382432592774925,0.5350254999342381,-0.03988000983862803,0.25395207837187406,0.6603235888295483,0.018789973670309764,0.4199866211342576,2.1699248069755197,-0.4489125637255164,-0.5838531509524163,-0.2726044320093198,0.47640481587283656,-1.3185918277459485
Richard,1.3585857948175797,0.9373209706215335,0.8663026552108086,1.2312613182901708,0.9364928820913612,0.6342455140040809,0.5736874152671934,-0.17378398732838823,1.2403507673899123,0.5822179542502174,1.3334376450330252,0.9214428479301281,0.5709319787164852,0.1569222345042718,0.42248476283272585,0.6475570950320013,0.02168048413249954,0.4249032690021543,0.5252775496508804,1.3869019355675918,0.45082192607068183,0.6090849750631524,0.7888605670511216,0.44825389130030485,0.43106146323710937,0.3500908310114033,0.7046959437949346,1.0139941073050596,0.40951509360506066,0.6441796067080197,2.546034284366159,0.017798706816699726,-0.13513779723622804,0.2842093021718055,0.42538267795645085,-0.9715853189594706
Donna,1.0551732108196608,0.7531660173536919,0.4090217226811468,0.9650952177454728,0.9431859430009109,0.46257568241750274,0.4417132446712319,-0.021071589883349704,0.9825869455869571,0.0236852199020932,0.9217807090227038,0.8096923686120818,0.35353722184327396,0.18053373396323338,0.4674974362921599,0.49597507605706115,0.19498858201936078,-0.05124155903085604,0.20884785975949896,1.2728614122941002,0.5775057099696259,0.617232972613189,0.6816119139096063,0.4073731810296623,0.3357932043733731,0.23980468270407634,0.7993740316840378,0.9621607269049579,0.045742894201113514,0.8851440104613885,0.8688768723900557,-0.2730463054872758,-1.1645888358399876,-0.18563464225160975,-0.5256452037280873,-2.1037705306822065
Jesus,1.136892746839701,1.0955588145107975,0.4511197847845649,1.106993953240268,0.7477461766878255,0.8676255142721173,0.24688042275717514,0.18153327590880647,1.2402484728220984,0.3723572658591562,0.8823389970523848,0.5353104646559215,0.3245535282023088,0.27428749059495977,0.5121416821234306,0.605931586868517,0.534393518515624,0.32647910722781204,0.6050104739366663,0.5467979749174156,0.6322070186517358,0.6915678485858846,0.9150768877115832,0.4821551472519686,0.48973367367515325,-0.07813208920048002,0.4697343954335028,0.9992083118458751,0.5089025429613455,0.4288424414005973,4.296342054832376,-1.747212077846646,-0.15447105702927075,1.5962645789869876,0.9512475509108718,-2.712350869850121
Chase,1.3948829455560015,1.3538687238628495,0.6240500700587458,1.2141018573880582,0.6955199001294945,0.6681106550626581,0.40604508785781535,0.1556337279917106,1.450458417494371,0.8070038020066089,0.9758399799556977,0.9597146607741353,0.7967264342870506,0.22809074784250896,0.37080536722949403,0.04003982939474868,-0.3999015513577747,0.22827564812204665,0.8752508851776617,1.1714425037541862,0.7853130073902883,0.807071944915406,0.7557561254138503,0.637301353613271,0.5395363423766559,0.46544361749015606,0.5845488007255382,0.9590955455606187,0.3308514780471338,0.8774562526969237,-0.3978455004402998,0.6462313208651953,-0.23033279706392806,-0.015232556627332174,0.8620594699429776,-0.6848345045387942
Eddie,1.1140802699069114,0.8437052906990122,0.5264803809832448,1.1706079428979246,0.5173509121974389,0.5449001421522756,0.3218579577147986,-0.09834109986881574,1.1569119535821089,0.3517420602484817,0.9728700639765446,0.5956742399995141,0.2595987851174512,-0.038961692202394954,0.48358309630691915,0.04887903642439268,-0.16616371780098915,-0.03324399596278013,0.46543024355839463,1.1802633868401202,0.3695130378714769,0.5039810663034657,0.6977523671395304,0.5837303498110952,0.28704112084546096,0.3823337287209867,1.139385561381347,1.2487441203651584,0.2516555844669096,0.6997382076560894,1.8346545856458225,-0.2536814443004862,-0.1920970902285582,-0.6844782993955582,0.1494599289011329,-0.9682043969858724
