index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,male,female,boy,girl,man,woman
Michelle,-0.5075693221755261,-0.4970822840196479,0.5437342266520017,0.6588694040513794,-0.48390918619080026,0.24943515727140633,0.26737173592807056,-0.14232830126019766,-0.40605987637506824,-0.4642344296657198,-0.7754170293358008,-0.3331156686542864,-0.6083684713930758,-0.9585888448298039,-0.997143975219638,-1.382210239981685,-0.5983014326570523,0.18508654529628374,-0.9979795362736021,-1.4597031343594622,-0.8037007855551241,1.04096569148435,0.1217115730105712,1.0990117045623857,0.04561943885698292,0.9074468622390109,-0.5540737832449782,-0.80194463287558,-0.4611286552856799,0.6120254016929648,-0.22953384773900667,0.4682491285228593,1.5967678561949628,0.5662134481765778,0.7803387360565477,1.4835656817080285,1.2679338076273072,0.7951584682095167,1.2295718819953778,0.44344063471841666,1.1836092716412974,1.2357613412398547,0.9758711850919449,0.5447717985482761,0.5512441797602913,0.5835596517775814,0.6962928465032673,0.3618621060103765,0.2839864716132492,0.32426829814580926,-0.18104088056066106,-0.2756388106315409,0.2393648063375832,-0.09001546936947656,-0.5181796313209728,0.41356153685057934,0.04435465089597649,1.1092765210509987,-0.5187008477174779,-0.3585452040017109,1.440547837889989,3.100229332718465,1.4952296425307348,3.4720250299062,0.4653720524553635,3.459079826868978
Deborah,0.14754946979775038,-0.07497900863741269,0.2978776964281093,0.28207753594871643,-0.006966688943606104,0.6194610648636748,0.42063514771962346,0.3366755094375293,0.14246815871064028,-0.32462349634115384,-0.3515518301803353,-0.38131079080788177,-0.524803810569771,-0.5533370445373272,-0.35945439546389685,-0.5993357670920458,-0.41918985775804785,-0.39036125184973713,-0.3653191790728943,-0.9604209678976888,-0.4362253317611762,1.486032639619403,1.3952087472075858,0.4522092811832549,0.23693488510642596,0.39740766978457026,-0.1260821362822649,-0.43972265257329635,-0.5195456061277222,1.0273325977946417,0.5562552471105451,0.5735769165842578,0.5427353890359317,0.8303602283904903,0.23219106636011488,0.5138433103600607,0.13782802723397425,0.35564522054054004,0.5069636882279843,0.010591113502029091,0.35375085204120904,0.14007192747935027,0.3520316275603301,0.24703616937944223,0.2135433067765068,0.2001683054592357,0.4337762876006932,0.033431011760857714,0.3154058068396306,0.1858644233147911,0.4613405319995425,-0.00723592157065997,0.632194421333995,-0.1912193853448272,0.22028238328439226,0.35962866483958666,-0.12893997614788447,0.7449345915722918,0.032118049575134144,-0.14204529949725117,3.0371817980776346,4.496292116375222,2.331184358322128,4.016300244594595,0.527326513137716,3.3370037595029265
Scott,-0.6028690572238895,-1.2206695308677704,-1.1438012441005814,0.017310491196160013,-0.8213226516332032,0.5688409075304014,0.23868276260006313,-0.29984342512674206,-0.7618650469701783,-1.1682920825632488,-1.2134139865293734,-0.11357608728042215,-0.9557477594512306,-0.8167159179116992,-0.8446491431797559,-1.045671442790994,-0.560120779817987,-1.0411449038956342,-1.3369174699516755,-0.8565293108534622,-0.6532533489058912,1.3295512284995938,1.4258351267929632,0.2419565052029457,-0.35723909105368845,-0.4075429539682659,-0.21156846099484336,-0.32556299615129775,-1.2030113561230709,1.0941450312018266,0.40887421855813966,1.3586823768960086,0.031465153377210085,1.1600342712631726,-0.34801773254303714,0.46220806671528086,-0.4058411924264489,-0.15767420507059982,-0.06636244646515703,-0.8070291967063675,-0.41983426694426124,-0.1362139152311123,-0.2097153423829626,-0.47371100772477287,-0.42619808338954385,-0.2972167743015153,-0.2881473908357106,-0.5743092013367808,-0.6090086754622401,-0.4321109566560651,0.6628148283934137,-0.017219158499303545,0.9829499495109306,-0.03788986473524406,-0.44596680960737517,0.35849372556338116,-0.02674505959721692,0.9259052563815535,-0.2764809070919539,-0.30813243372327365,2.2539634756206377,1.2152805083690883,1.9641533544342444,0.3972225740230997,1.2403202399071536,0.7115993698184853
Wallace,-0.24999620128909827,-0.5334448942897655,-0.6911326984787453,0.22010301546848662,-0.17592493467194065,0.3914185602630227,0.1930610700871448,0.07842622402574789,-0.28161242707503564,-0.659605009010345,-0.603180704625513,0.165743761057371,-0.17704826737442053,-0.16133914360381216,0.3173705804733259,-0.8775360369686743,0.038034412361105274,-0.18506794315264474,-1.0608312875871666,-0.6805787064584304,-0.9035523855652597,0.2262981942101121,1.0388370362150963,-0.5012481296403725,-1.3309995343336507,-0.6454207276563443,-0.707140058583566,-0.3409820221760331,-0.489708404731356,0.579729906129203,-0.30247422401552626,0.3431552129904148,-0.46862783065478,0.15599986178559813,-0.27093405289433387,0.07034604005715332,-0.7231251916444987,-0.6378170284603014,-0.24175442766879274,-0.4766967537241939,-0.2604501668613306,-0.2686460804093654,-0.693005533901981,-0.6127199632446441,-0.6290945227327801,-0.7143741178338426,-0.4128892981781266,-0.29446296761144186,-0.6669463300015815,-0.5235604727258306,0.3896771549943183,0.19124360879896324,0.5727971680436148,0.12080112262175528,-0.010059064215151568,0.5101725455717152,0.21384285837181524,0.569450470661445,-0.33937953364630646,0.20609152710206974,3.4128723367766938,1.5736407623217898,4.186780947929073,1.6537113901273743,2.3595580202098936,0.8785152611908436
Hazel,-0.20125314443023426,-0.14338086075110376,0.6322695142188637,0.38272961409464745,-0.3973694875700243,0.31357054076661006,0.22426206171746368,0.029798108718618245,0.16030124447415367,0.060834350597264365,-0.6652392117522469,-0.2654421176323965,-0.5877075047817606,-0.32605514185200796,-0.4570015505049026,-0.8939067217931324,-0.6476873689033866,-0.11284310947224176,-0.2985941983869698,-0.42982834318814195,-0.7510734410441273,1.0599573635000457,0.9256253904083899,0.11621531482238942,-0.2821744939040789,0.042532442808166517,-0.06770438968855837,0.6732266823234945,-0.25928119845326025,0.6817172389365926,0.24588070435177095,0.5129997273217564,0.26261620584584033,0.7315994496830154,-0.07367041717038962,0.27495183078088853,0.07335069057322734,-0.36484553942543196,0.10942103583085237,-0.19299575177328357,0.04374102296294233,-0.2192730399206433,-0.07173953197268637,-0.2734190513833728,-0.2759661219249103,-0.05319259679263519,-0.08177411395443579,-0.21944129849743607,-0.2776620955347175,-0.3797564445964104,0.5510816494262057,0.049790838099268646,0.8282273927374728,-0.015186431114230705,-0.27939654854854545,0.33039455485725955,0.1957536489882849,0.5716176258367924,-0.3694020832985923,0.22449873431440662,2.571598041858242,2.261804592163541,1.712425264287562,1.1439629137140397,0.5567340385707286,0.45896536202922505
Whitney,-1.1447410924910295,-1.2126431352773979,-0.598558788720714,-0.3832774716714561,-1.2555124912388256,-0.4757465517309478,-0.399364300365631,-0.926679226293673,-1.2205576722664295,-1.6350575233412012,-1.4548465239982433,-0.6069735036966178,-1.5614423459683473,-1.220210397896016,-0.959307503355648,-2.0393922779869076,-0.8845696113155497,-0.7296131927954096,-1.9642542795453521,-2.217085922542308,-1.1926794280227215,-0.8035180049468598,-0.651486462300686,-1.011477186159239,-1.9570748034141978,-1.6354218336392825,-0.8112262904139812,-1.533161697277987,-1.7028562140179961,-0.9156300125418605,-0.7507343405626261,0.1251833109738565,-0.3229623840945179,-0.11365323615796505,-0.7146727986017152,0.3429150278076908,-0.4165197533949511,-0.6088551027347656,-0.37427995718249213,-1.1101350322020938,-0.6658695065008962,-0.9174431816912322,-0.5971879777188157,-0.6607927268109428,-0.6629815312337005,-1.231273509519144,-0.691233842865176,-0.7482086466959712,-1.0775628224586244,-1.066433094124705,-0.7983607703831304,-0.7299925010083851,-0.3640730504073989,-0.8321953568433116,-1.3116392281308629,-0.2614949720476877,-0.6947490664847946,0.34124743897892795,-1.1301054268849169,-0.8270790207779434,2.420232746574518,3.9892330143279056,2.3197535679620582,3.829704324563362,1.1138839945868402,3.8111381987240387
Paige,-0.27922104502387984,-0.7678347202437728,-0.0026346852363440827,-0.03426527188685891,-0.30468533780973456,0.15498359595191627,-0.3298739939672061,-0.3015226958570559,-0.27066283221707915,-0.5358626656039495,-0.7634752762067559,-0.8156943954778211,-0.6719444271282771,-0.48555160452394996,-0.6153166964576633,-1.029057186133226,-0.21113090867533313,-1.151994775140882,-0.1695601929286498,-0.9627544870761598,-0.8033487550947795,0.20971449528614267,1.0152764650073192,-0.1506702618980356,-0.8261139854122899,-0.08809252014727242,-0.4557427142142467,-0.2517651819733474,-0.7163460596648086,0.5812382186685539,-0.36037361468814516,0.9967883726505109,0.428376730197061,0.4613246502157886,-0.06308561533373415,0.32192683007378814,0.0448002558611771,0.017978029949194625,0.27981836582786174,-0.05163682024581026,0.0297933509145764,-0.10242611805044233,-0.2983932372081819,0.002393088266530543,-0.0076259742395184795,-0.31899896995850163,0.0039703554923227755,-0.16119514770974122,-0.10694391764629917,-0.36249134077955736,0.2607107131246806,-0.24944343491916735,0.01641300640000763,-0.6242484442873221,-0.1433595609944715,-0.008644631151302243,0.037870022607024496,0.37309140867708684,-0.6101136498285442,-0.6845368815468931,1.9184703307915913,2.958610526269569,0.7415695286950129,1.856889758023163,-0.5803394051666548,1.0726146767279179
Sylvia,-0.3455960494962787,-0.5748681331237687,0.5715781941915169,0.560752932907177,-0.34556875873067955,0.4384200274357799,-0.11969983611010046,-0.14419864980458164,-0.12786801045002325,-0.04403326360007462,-1.026486641865816,-0.710534640899256,-0.5264573823635738,-1.1445453035005297,-1.0669710078175128,-1.6423263436585334,-0.5952909386961792,-0.24018943446815597,-0.7013872450909892,-0.876867916245959,-0.4433131189229814,0.9937139027878428,0.7624841097193654,0.9113500088673985,0.4858591053102758,1.2962278043178606,-0.061368359951561466,0.1476282186880501,0.026715597474888192,1.0387091615880824,0.15892987553361898,0.5481445038907367,1.6667954876679658,0.616360792632425,0.794349145688372,1.0555946758373949,1.2105279566490352,0.5111732684479359,1.179623584408726,0.722514036459298,1.3265227350081938,0.890916465236553,1.1252890910764994,0.8188291822390399,0.9504398461126183,0.7532577421454981,0.8768596648595557,0.5470797438755928,0.8160771912829973,0.6020617030531691,-0.04661998442562808,-0.030427095327731628,0.37186057883084284,0.025108054477954226,-0.18445236333821086,0.49863495613023007,0.3609067248200592,0.7157688543351822,-0.29386648336976556,-0.11718350149585882,1.3305645029620454,3.5602169034089246,1.3882427193247027,3.860050259352582,-0.6602820700000203,2.699823346950012
Shelby,-0.4445731625605559,-0.44606994738736766,0.3113236743109325,0.243004888731016,-0.6429631318149991,0.05817169562615284,-0.09784170405280082,-0.32803985725824275,0.21759715752001846,-0.5029002794104407,-1.054625848664816,-0.6951693651949509,-1.1464968463355965,-0.8163661454026057,-0.728320218317514,-1.716423726640433,-0.5717785949203649,-0.24687898741058528,-0.4372234649492718,-1.39709487034827,-0.9868015140937173,0.3665104999481195,0.24561543847201275,-0.31194087792512526,-0.6345408036737981,-0.3160861863966012,-0.48895725121405426,-0.915662128297722,-0.21274411224285378,-0.37393747683784023,-0.1400237078362058,0.8020320117499278,0.4425783841099467,0.31354826991432355,-0.007836702730721262,0.40129340926025026,-0.07195220032817062,-0.14963271802131536,0.4138286638611562,-0.2530271159322289,0.31059369848901885,0.22478883209664355,0.058893550002932386,0.03803236454851042,-0.0013600121449708355,-0.32019890594538564,0.027809030140398268,-0.06279665691101903,-0.022634939708416457,-0.198425517897148,-0.24659725127318424,-0.4274353749343895,-0.10695490642235529,-0.22477027311901815,-0.5183196449827966,0.33524453063000215,0.5687215166589926,1.0727261276602353,-0.37197260830712653,-0.04994480508794128,1.8452509795905296,2.4609070074568575,0.9482478471987701,1.2598000459470324,-0.33160006573500245,0.6496334763252675
Olivia,-0.5215621343463572,-0.352052714787772,0.6769316568334897,0.38392016741306917,-0.6758644507500503,0.024763879477720515,-0.08178060061075278,-0.1438104822921076,-0.5624755574956324,-0.12675369607320586,-1.04318564479092,-1.1688250559183642,-1.07372686241946,-1.244124010945536,-1.3161415482012693,-2.276714803107552,-0.8618619850646525,-1.2797398740017107,-1.157507273850195,-0.8035488616501267,-0.025460468324869742,0.5146016841295324,0.6210698445173544,0.6598908665468448,1.247345056300305,1.2994504020509563,0.19294180441921374,0.24399404393586935,0.7254023857213493,0.304497684274156,0.292693296758341,0.07129134547668196,1.125175883554335,0.38829509370073095,0.7388199061364084,0.9880311984121278,1.341253583151369,0.8579020802631162,0.9960435155296722,0.5041238030340829,1.0875589458780777,0.7782583090292996,1.3743311089150758,0.8288490924322993,0.5387467491292849,0.8685991087756882,0.5671367294111146,0.46977125829590427,0.6483180596867324,0.8234712088722663,-0.18017160717395783,-0.14204200706268963,0.18823089500854068,-0.10617254402835688,-0.28617966840180703,0.2581582864629071,0.05339697699357027,0.9181280873653885,-0.5771389760503316,0.01660461986465931,2.78867530820274,4.655832242705494,1.7782212029466788,4.009216372775669,-0.06907266564725331,3.1953067411637157
