index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
Nigeria,-0.4623845835471617,-0.6850768015585804,16.843967,-37.069603,-1.2536666,-5.9900594
Ethiopia,0.6140400617967041,-0.769424198965925,39.462822,-14.06964,-1.6448989,-6.7901416
Egypt,2.702246934152086,-0.19872603902529073,130.17273,63.324966,3.7774055,1.9959259
Congo,-0.21871526513649195,-0.46057398384931386,32.626198,-67.84216,0.00807892,-4.9682803
Tanzania,-0.7505480463750464,-0.38549778300798243,-7.425843,-52.25113,-0.73612857,-5.2210884
South Africa,-1.3528358261800468,-0.09516424116183644,-83.1726,-120.40631,-1.6075165,11.108462
Kenya,-1.745323200510729,-0.5758252685226855,-62.65254,-134.04175,-1.7155013,12.043979
Uganda,-1.2730519459505145,-0.5273424174724194,-48.617516,-143.69539,-1.6992257,12.492946
Sudan,0.4318018692861884,-0.673020564467734,43.48873,-19.771523,-1.8254327,-6.8705287
Algeria,1.48198220358089,-0.0109313904751776,91.02764,81.3345,5.443268,-0.037868317
China,-1.0712315618508976,-0.383655957178523,-2.0613837,-62.259438,-0.98237336,-5.2346816
India,0.14822832024408508,-0.5894082997507643,32.326206,-23.726967,-1.7106676,-6.7351265
Indonesia,-0.32945330108986787,0.3014207251958215,-23.948477,-18.07312,0.54492813,-3.5696495
Pakistan,-0.28142969288935216,-0.2950998942059296,25.140587,-29.515146,-1.4771439,-6.3087077
Bangladesh,-1.2828825423607846,-0.3650309944105748,-44.9265,-136.94768,-1.5421772,12.574227
Japan,-0.438057003100158,0.19134946765838107,-23.490356,-25.211153,0.17625467,-3.9341755
Philippines,-0.7396887222082813,-0.3897665696738697,-0.12053461,-51.5748,-0.9276642,-5.4259696
Vietnam,-0.7503755893101691,0.05324822455460216,-21.027533,-39.13244,-0.45529717,-4.4743776
Iran,2.179443856893031,-0.11582178875414173,121.79201,69.3362,3.970995,1.880041
Turkey,0.14722436300569675,0.3381295538986468,-9.024466,54.19106,2.2521014,-2.225569
Russia,1.6283125771842901,0.028472209611246406,100.34535,76.69035,5.6580877,0.23386328
Germany,-0.4076756553032696,1.6477720132576248,-44.832775,39.654484,1.2192922,-2.6160393
United Kingdom,-2.4665126355855516,0.34785342251773743,-106.69258,-99.47873,-0.5313626,10.958172
France,0.15657140863745656,1.0106737650064392,-22.207317,52.14339,1.8081106,-2.460854
Italy,2.03135665852851,-0.07496861732580842,144.33775,85.619484,3.4167464,2.7201552
Spain,1.6597686910775604,0.05509492311028928,143.32579,92.97253,3.282135,2.750987
Ukraine,0.38619301943211454,0.1835572567703718,-2.1358244,50.774784,2.600302,-1.985834
Poland,-0.36568505633809034,1.129691613587519,-35.3696,47.272274,1.3163491,-2.6764643
