index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,accountant,architect,artist,attorney,banker,bartender,broadcaster,builder,businessman,butcher,captain,carpenter,chef,coach,cook,dancer,designer,doctor,economist,editor,engineer,farmer,filmmaker,housekeeper,journalist,judge,lawyer,librarian,magician,mechanic,musician,nurse,painter,philosopher,photographer,pilot,policeman,politician,professor,programmer,psychologist,scientist,scholar,secretary,server,singer,soldier,surgeon,teacher,therapist,translator,waiter,waitress,warrior,writer
Evan,-0.4404103942663098,-1.3055738052183776,-0.9861277231082923,-1.5747537424784694,-1.0003184583656644,-0.7496760079317576,-1.0058757852774984,-0.956176846518868,-0.8348000876324025,-1.5382658985500206,-1.9535695973751277,-0.7118031104051542,-0.6481343957071508,-1.0046945853976041,-1.0013891202598333,-0.7314120840313164,-1.1151263614541922,-1.8267499042625124,-0.47927105734179387,-0.4035677447056324,-0.8487718200791354,-0.7644709437252304,-0.13518954050603454,-1.4062325362408803,-1.0391931009222894,-0.7148457415582082,-0.8251124143606662,-1.1175204735368178,-1.0307043128434494,-1.036596901677,-0.7615509815705043,-0.10528330392238268,-0.6414769040635522,-0.5019249130756206,-0.5987720600901091,-0.9429083169527569,-1.2758959378773322,-1.216686022731075,-0.29474006448868495,-0.5997255776231171,-0.8454461124737306,-0.7700856122621774,-0.8036063942338127,-0.5011262690118508,-0.9352985124082126,-1.0245098693974388,-0.7222369182135012,-0.7708479337940304,-1.171727261586879,-0.9469979841754729,-0.0011753201946256837,-0.29001998602900114,-0.1650842175125694,-0.6822734357816754,-0.4664613366949198,-0.5467295305533751,-0.5308712483760686,-0.66118562509033,-0.5405792560062825,-0.6565528559961382,0.23439985105229397,-0.9034575807709672,-0.34828115336119886,-0.48488187781361436,0.20322212624963734,1.8998077569788465,-1.4296411510650135,0.5380377619475434,0.2045596472287888,0.6736753821289952,-0.12437341278140251,1.3689311865373994,0.8528181588678054,-1.0915059929658575,1.1800364918997506,0.8165081716072629,-1.04307140966242,0.43537882885866425,-1.4804115161576619,-1.315764022518437,-0.052216210181949364,-0.7546021942224269,-0.07250121672517831,0.4361067626721842,-1.1552352750606474,-0.5335741447449605,-0.13716169603526945,0.016084995488498594,1.2555256373777504,1.9692864369146574,0.9785909599328078,0.08208973152176577,-0.20328974009941808,-0.34244112075353805,0.3285344132422808,0.6134238275829199,0.7557006308916403,-0.6586426805271242,-0.3449580092109712,0.7187976410922421,0.2891579801806106,0.6069994922770461,0.10994343920285517,0.476366079632934,0.6789326290872252,0.4499434832243534,0.7745877082163753,0.058857516758578726,-0.2201827943935553,0.14281969663371655,-1.3450714462212368,1.163553873207845,0.6732692981459637,0.22746685500503344,-0.37162249015017906
Gene,0.25244282766713966,0.00643038766294549,-1.0713291225808432,-0.025368185958198747,-0.4483496265634415,-0.10112709927418954,-0.04019438882940598,-0.0812552771233927,-0.39195412108449884,-1.4178121677172015,-0.691161115547405,-0.43605530240324436,-0.2753176096471233,-0.9835178510271889,-0.8112220257247428,0.48691594101980484,-0.10646702216276613,-0.18438271640827164,-0.6914567978487911,-0.602653930919619,-0.43654614151370313,-0.2875442258346139,-0.2051803837344512,-0.7247500454954893,-0.7368438501881331,-1.1549480654567126,-0.38159504002870864,-0.3447808389088253,-0.546036045254027,-0.45843661359448923,-0.7642522754244037,0.17283456787588874,-0.22202735334889095,0.17995492809217725,-0.8320159097678068,-0.21600983187424155,-0.14253632295970636,-0.5390614045808952,-0.565042694078946,-0.5036506323473179,-0.6209426523207834,-0.28023029504206604,-0.7125040882355617,-1.071152739835577,-0.44090760708924276,-0.7324415454803636,-0.8547633312560292,-0.9621782909734359,-0.9897415756538775,-1.1048227842635379,0.006548266146308423,-0.06124619408547316,-0.030961656645984253,-0.0178770438725034,-0.009430497125515037,-0.41693492548081995,0.16320708940813428,-0.34101615085128095,0.30294696393263854,-0.031348779452787946,0.2708776260138215,-0.9793792144198544,-0.38901989733206055,-0.5013971283405978,0.12014254250413378,1.4595915443714693,-1.0274113480235827,0.3302816759664896,-0.15031263539485387,1.1151698396735417,-0.1542217704166761,1.0816296478819465,0.5565867006003297,-1.3459067927506485,1.6635734862555729,0.0634402690280259,-1.2471799711736102,0.667583688178102,-1.3046720918194907,-1.1075256223818988,-0.0698491424293791,-0.1494477661351751,-0.41067024263928686,0.9147798724434553,-1.570779878491496,-0.42290334570316257,-0.29630108903378016,-0.03277872089015529,1.3279624120960627,1.968834400857203,0.560315927509315,0.4937822871023271,-0.4201317217541895,0.34784687999466024,-0.5062348211664895,0.7222531760048393,1.003006359468037,-0.23364784576895542,-0.4308263871523237,0.5481942058427541,0.48200939201934123,1.2195526077479866,0.3095838629644643,0.6345078565259223,0.4663073493938694,-0.19996941432119741,0.7294515352070939,0.48711210613272554,-0.48238497670348207,-0.18786776645303005,-1.1702857924477146,1.0759461215326478,0.5871351658846239,0.8456363451747174,-0.7389916001768572
Dillon,-0.24841665478925626,-0.9286503289971347,-1.2104741822527356,-0.3531142851767249,-0.1334399957390389,-0.2172081228547949,-0.10057860996209675,-0.2535702302704594,-0.817902972332338,-1.1566971640137609,-0.26361333829980826,-0.40046459218788527,-1.0047565468347652,-1.1163803750406518,-1.2619610341444125,-0.5690202005174857,-0.7391961622513362,-0.2508589143921186,-0.49093218180195,-0.813484684459362,-1.2695150399522117,-0.8421290180323013,0.14036933755260525,-0.2521647816314135,-0.24270117694597237,-0.837838805463481,-1.0676130803325834,-1.3501181819496655,0.07814455652118851,-0.7544906147900712,-0.48246169479142265,0.20421072126646322,-0.07521021416282764,0.060476466337415,-0.3648688661932572,-0.012345653973284564,-0.625742265710874,-0.3661446661971283,-0.47168907075642985,-0.10121702325657292,-0.750047933725473,0.06911097676219197,-0.8186025779378302,-0.5920263567879277,-0.12886715023547973,-1.0135513172473736,-0.524762918640729,-0.8959256310915162,-1.2399952090840292,-1.0874095697196398,0.11069654691556935,-0.32124967533384063,0.33974836704261424,0.08535779467274161,0.04676736265153802,-0.3537307953962272,0.07706142319270222,-0.11411814130860921,-0.38547504073783645,0.35970316696957816,0.26963381768807176,-0.9175853609282656,-0.8396172642416372,0.0836309476394449,0.48885260124794394,1.3857426389654415,-0.5645833373762222,0.7970071749235337,0.31811025969955403,1.052848326648416,-0.21121827763188059,1.2154610608257304,0.4200763419147808,-0.604653911425464,1.3749998996348065,0.16645554568476054,-1.2487385489188119,0.03895590416555676,-0.9711625078121886,-1.0379319920953847,-0.11607170234006539,0.01004994239302226,-0.23450126486289133,0.851535115809231,-0.9526891100273799,-0.29741553143020333,-0.04870044465088096,-0.21894720742863913,0.0843440105231159,1.4671102720828604,0.11990630783102071,0.252574931551575,-0.31105430639973514,-0.4579126598493925,-0.20380118961737273,0.25645770891150915,0.65266621818429,-0.006466920722960728,-0.7284705693391138,0.17823495101299966,-0.3592566911378132,-0.6858021233529275,-0.03277343488778843,0.748190684515279,-0.00457359875849897,-0.21242985317254298,0.11372568099608807,0.2803727643656374,-0.2094520936276973,-0.5294002376531987,-0.8484756137467141,0.9258209801682404,0.826067522503413,-0.8808717198800254,-0.5264232965873019
Marcia,-0.218286179880752,0.6013359850110136,0.537893716946213,-0.4277372641422029,-0.1185166501198699,0.054528218339451706,-0.278979985479852,-0.3821405104994229,-0.3810867495501211,0.5507330715582438,-1.2460500451465608,-0.6062597611023941,0.14316747464124271,-0.8809778669221019,-0.679290293704186,-0.5087966697741964,-0.09413313329355588,-0.48726832984556673,-0.30323255436783775,0.05568259766306297,0.02463414402864585,0.30292450516568226,-0.12451435975162031,-0.1423641519133622,0.5326913627081782,0.6709892130962213,-0.32896057883426444,0.28744105731511355,-0.25767659961326794,0.34886190678621076,-0.10884646567493138,-0.08869204082713168,0.2795566307061218,-0.26030817841681075,0.18735462209858897,-0.49833764775418915,0.14272337106156818,-0.06789946331283113,0.15248098454665343,0.002611964840388707,0.242552349070918,-0.3569902296820703,0.4072569402984296,0.14346905475761082,0.32818937746172316,0.6203116604620622,0.2658933734798165,0.40297370758903556,0.4860264834345317,0.5236239764580469,0.1030726990828351,0.2302188294844693,-0.05299845133882222,0.0763212149701499,0.22953817344221902,0.07246734466444439,0.04939364678406391,-0.17471686926498783,0.1845644110476814,0.12679894616155998,-0.0031903142260816517,-1.145115595664208,-0.0027017059280186467,-0.7666680582964824,-0.8152651583338594,1.149961609503913,-1.1860144137353004,-0.8917817121703793,-1.5091475031592496,-0.301853937079794,-1.1710511630163707,-0.5841157130730844,0.152883859435062,-1.4640090587147343,1.7913486283034938,1.4368028485202613,-0.9180025330027709,0.2786470970300337,-1.1512939263669124,-0.8775599435986308,-1.0203458475407456,-1.4151892591867046,-0.5729195902675913,2.2326840425259586,-0.9665639676939208,-0.8698246717417649,-0.570709141465868,0.755672075728387,0.5213393692330218,0.45015535270780127,0.17643100842258103,1.8697603877307312,-0.09103906848548095,-0.13235697001308105,-0.30761249355313036,-0.24462838165411196,-0.3668259877289928,-0.432725773404278,-0.6243659646312977,-0.13010110578903444,0.6779760525991232,0.38710722906483813,0.4670483265189234,1.3733601356538236,0.3558480137510388,1.0208665720788106,-0.3228406966893548,-0.4072158381220541,0.016791982256571247,0.8177946006738945,-0.9694509573864638,-0.07791443655048028,2.6055538213847234,-0.3062239888414251,0.11443909977300663
Annette,-0.3807432167993748,-0.35630596905349915,-1.0411319276164412,0.012082580467904313,-0.38694502785566637,0.1337698558201907,-0.2350101045701642,0.08139334915215034,-0.6784595548148356,-0.7411476615192352,-0.473935404634718,-1.0050795101876862,-0.48942575505597175,-1.4650829313922427,-1.3735174474469645,-0.41716076470444496,-0.4124728572792085,-0.7054255881927397,-1.4017779423895198,-0.6539982049218411,-0.5249473840505532,0.5338148076912189,0.054817714352850606,0.5424719814531145,0.028531552118111606,-0.06536964825609301,-0.4241219916746485,0.3291210972310393,-0.006848803031641991,0.7154581881691122,0.7842164733516187,-0.019812971103056787,-0.12502294453892454,-0.026299261709967405,0.2929632508639449,0.26435207585365916,0.13177120758404345,0.3701391753607205,0.22790212370566776,0.040123520298889326,0.228158390001552,-0.447966186991152,-0.18354669559511472,-0.4380073218569616,0.030586713437024727,-0.2736697928159538,-0.4996657720832061,-0.2862988431471422,-0.36724721127982907,0.13748923585924455,-0.3144235292143714,-0.18803302017872303,-0.20944830718498506,0.1531730494140977,-0.18201239085590992,-0.06237870640929339,0.04571797368975064,0.04466037597019534,-0.07274688907370502,-0.38601781445947986,-0.2660683485415519,-0.9641138482284256,0.29460804663705764,-1.304896406841977,-0.7801277127798542,0.5239016090262966,-1.346324031990224,-1.2823010439955738,-1.6975754989071894,-0.0007249119204160969,-1.3829490621597658,-0.7723802498658946,-0.013850593040116956,-1.6380798014412135,1.9881454619295198,1.46097267731902,-0.7184018922220505,0.10906091810212466,-1.1121529947499977,-1.142047856030459,-1.1353399296677065,-1.6094372475748906,-0.4709145769006201,2.3885233228052267,-0.9391339918266882,-0.8382009169253286,-0.6874081271256344,0.7110546990191142,0.3785289348838438,0.08795185639966296,0.3222565732942656,1.983491988018244,0.614470563343431,0.4027531424629247,-0.04675995115238196,-0.48980584866704296,-0.6692927771770081,-0.2126390816500093,-0.6243442754493522,-0.40476593118042326,0.4270775135136948,0.521645859062041,0.6295430850130957,1.4955554824824981,0.2939726299179107,1.2070379576637704,-0.5978017359767699,-0.467878287859282,0.01217573373111929,0.529010340257272,-0.6521308827684632,0.006426191000023332,2.3476067114966868,-0.3159132233562621,0.22945839611901808
Gail,-0.8004249634959382,-0.6127828439441749,-0.70277792349388,-0.3222287845927525,-0.4383317200010045,-0.06375274082799064,-0.18772529059358878,-0.38702976062615807,-0.46027024305439634,-0.3620817617384732,-1.0017971276760684,-0.28881173636999974,-0.5870958576416502,-0.7142530083651272,-0.5516814666173376,-0.9619931845400884,-0.6693220218513259,0.2230404621843147,-1.191538433616584,-0.7850407662504295,-0.8708880460884061,-0.0949865095659106,-0.18276012683302703,0.1233083702489853,-0.42917463967436204,-0.9798387900742449,-0.5013296877894377,-0.49407153769634626,-0.34486402066599,0.15281863674910162,0.09403564819177448,-0.0196558991573554,-0.5709391946944138,-0.012114646405711374,-0.7734018905735722,-0.502182169132235,-0.7092207441999354,-0.5516106026611799,-0.6902788769674043,-0.7692676052400425,-1.0142989532034457,-0.7801472570286926,-0.9476397833317277,-0.9673365085678572,-0.817359039468872,-0.9849925533914097,-1.0988770570249926,-0.9332274512322303,-1.177304574681133,-1.187103814582834,-0.15333012719504613,-0.3950743952324628,-0.16045921233575772,-0.1277594273061403,-0.10963568931831306,-0.36399362876698527,-0.5546300121680325,-0.5033646352611454,-0.390964433614682,-1.0096868013791815,0.044339637444508424,-1.1550721240175905,-0.25561314439226446,-0.44216607440207023,-0.5731172448654641,1.160066200165386,-0.9188696023839545,-0.5817446879648301,-1.227357284866641,-0.20474721545916194,-1.2027164918373308,-0.19079758886641188,-0.05861105368527048,-1.4370561297577535,1.7471143179338513,1.1999249780054457,-1.158520999850476,-0.030956195799634344,-1.1378398212683785,-1.3199611858363849,-1.034867146461868,-1.1109307215604427,-0.278447948894882,2.205221183829596,-1.1606560969853048,-0.7674668031104175,-0.4765499215401714,0.7006512425348613,0.15432552337593375,0.6202780081346602,0.1004609009260455,1.9877282635279048,-0.24195118549390326,-0.49659898672340014,-0.22703321621825523,-0.1850502112421466,-0.37304051359566737,-0.5623232504676804,-0.8384174993007774,0.11046728332793583,0.6316242896294254,0.03847994147295337,0.4300163784231159,1.4964302870738926,0.44645710005148154,0.8304999997868078,-0.652818836021389,-0.4472720781741401,-0.038199154373224166,0.5292202022801351,-0.9983289572856265,0.030605438527947258,2.5965583981217137,-1.0206495991872322,0.17811476035133836
Courtney,-0.45922909107127324,-0.7491159350989843,-0.543379389227894,-0.1604270683397009,0.05387514840915484,-0.21582148398930376,0.11829503709223756,0.3867309795462682,-0.22875055765640456,-0.36120060387562297,-1.0077819396737986,-0.22688333464481575,-0.48515086158511367,-0.3749015022658457,0.41218170000121646,-0.4636746830103468,-0.4142496416578212,0.03222724003540126,-0.4999958502856928,-1.0738670443737626,-0.7405665575018001,-0.9485554786632497,0.0446776510904724,-0.4262212264458476,-0.7128629669033285,-1.0158071748286237,-0.6919419440528386,-0.3141010894929227,-0.32444033038301245,-0.9295983158699458,-1.2553420299362705,0.1733803288352509,-0.7495102843085342,0.05856112532661505,-0.4627852589081434,0.22805746624005896,-0.4549027639120064,-0.26884973435366705,-0.48333174619575286,-0.7651860100907422,-0.7029464767155599,-0.47955026856729427,-1.1246024711961784,-0.6555177195268168,-0.37525697785870393,-0.6654753218798876,-0.44053472311882025,-0.559426226950661,-1.121877988348513,-1.3581979992587032,0.2908096214010222,-0.16781744971900964,0.27679050003086214,0.3274389230357833,0.0762024031887665,-0.31518113899210864,-0.04099309051830529,-0.25651567078609055,-0.06971967421811041,-0.09980235080589421,0.1725523352450946,-1.23002213945904,-0.4462607159475951,-0.7454581077948589,-0.27777179866704155,1.3363838184891996,-1.127242679948148,-0.22742933418730038,-1.1563150770454032,0.24246547222561762,-0.8130393801520082,0.4816175580826361,0.5652615484759015,-1.2542040307725462,1.422337776680329,1.4133763805502144,-0.9454069423222285,0.42660138018426574,-1.3894423810579564,-1.3446713348022439,-0.7633405333512592,-1.2937142559891703,-0.3240345780557125,1.7202220437730809,-1.0503397099626413,-0.7524136063756062,-0.44589722987175145,0.4496063930476153,0.35569987038906825,1.4087467638382292,0.4017982635128312,1.6138989417643415,-0.3541307933912446,-0.867232178753559,0.15754829105007315,0.15477191093476453,-0.1462810345467814,-0.9217262843597017,-0.7521007613299984,0.5474069655575127,0.5140199835712574,0.27947344115285155,0.22393240224995753,1.2744967116710697,0.4410227673724614,0.9522399976573432,-0.0810257914946446,-0.19829038625584058,0.06895683028242536,0.6777995217802177,-1.0327659831255693,0.4775650527339076,2.0368004841370753,-0.5386321681174059,-0.021736074634670217
Ruby,0.11502254371961265,0.26410528611408585,-0.5031575623659266,-0.17032007019246329,0.15658895445368357,-0.05909694027127284,0.3756440855909931,0.32283173745431615,0.08195551572405241,-1.0918937689631993,0.42640123572827066,0.22630625097610965,0.16855866168473205,-0.3884623728125655,-0.13383890443112398,0.20818623577988715,0.05147948111576412,-0.6606345389415352,0.06656818941057487,-0.5990694201758368,-0.6156006188312406,-0.6746402193710566,-0.17595362499508826,-1.0033669281656838,-0.47181169601282846,-0.9428078634741005,-0.73833121422363,-1.0148588273852588,-0.5498938764873105,-0.8815468715234699,-0.5072485213039276,-0.24875889897483747,-0.5385579214345514,-0.2851303788619726,-1.0473251689628538,-0.5275124658990825,-0.7117759069529384,-0.8739699189052348,-0.8377095853295355,-0.6028590892941214,-0.7786922901993333,-0.5113122006045294,-1.1434765173974029,-0.3882449641587308,-0.5747760743116109,-0.8531687730811591,-0.2642967140169944,-0.6434438344542239,-1.2355746795109415,-1.287617822964076,0.021536261598088306,0.1113296885689931,0.0035755992950526846,0.26016604191002485,0.1967153072093037,-0.3367791031198697,0.05910350313845674,0.05555638610340043,0.02584665863999602,-0.14666574644387648,-0.32981209352758073,-1.7076929620664119,-0.09541503671941455,-1.3314707965938952,-0.8695987011852392,1.1191846377929169,-1.3302139786543141,-1.0848053251698155,-1.5585632844554453,0.013443963399390925,-0.8491110512976081,-0.5259208237913977,-0.26415741659542447,-1.745692774835654,1.846559895332524,1.304683993234761,-1.187347694036381,0.2571088622166935,-2.1944557652081165,-1.2974878477170535,-1.2512944550219094,-1.391406639744301,-1.006940121648561,2.225098714553078,-1.4276472793370207,-0.7630801566918117,-0.8106709931633158,0.4603621178036006,1.07119539194133,0.7440394901908819,0.4215579496135897,1.8304807946316295,-0.2936244686438053,-0.3134689093053993,-0.5041175564463684,-0.03864161825893758,0.13968470547703882,-0.4214618281216249,-1.0677404455164685,-0.14305709878324172,0.3084458225288974,0.7502045424680457,0.22583400537094583,1.3647508096607093,0.3416365830214471,1.1791923039221186,0.11806724057872557,-0.34573072189140014,-0.35416928870255304,0.17835214961487086,-1.2493267981870957,0.05598181690634882,2.40836626228855,0.6947223503986611,-0.17250534120077668
Jessie,-0.5114059701511204,-0.9175026690069651,-1.4471793363106866,-0.8901268617405771,-0.46751904698474517,-0.23978246934009848,-0.45695623859258466,-0.5648301089190787,-0.7934698205043713,-1.359788309318998,-0.6666588668385898,-0.2960872994008591,-0.4207013874123616,-0.8115405200451411,-0.6507739770083445,-0.5483621116457497,-0.12052095940503854,-0.1577337307611575,-1.3001501467964403,-1.1667261840188605,-1.4231059570145235,-0.8087244537621828,-0.17163254421944432,-0.46236747157732866,-0.8320192880215425,-0.8688763064999129,-1.4968973310343177,-1.150715100962704,-0.889034316797722,-0.153680771152564,-1.0164930211883507,-0.04273290642165448,0.03142395321836787,0.2307613208918631,-0.3701744619801366,0.2173171265637148,-0.4158495070030612,-0.07623707646784254,-0.13141490627321287,0.18934859256715503,-0.3219926053991346,-0.7294349544491541,-0.7254424294855727,-0.9110554629096915,-0.2847717817777575,-0.571500893809247,-0.6474368884199522,-0.6310494260313959,-0.9149307843661536,-0.9939259277907987,0.11280470874467775,0.03207525746720824,0.21109605119836586,0.14753194333061564,0.05426283425652157,-0.17921828609751136,-0.020996148158485953,-0.3763285363126647,-0.048585430527356276,0.2864116540582392,-0.19244312765178798,-1.5839852101005338,-0.0857944002683861,-1.0753568812803522,-0.8939958875744122,1.203801021238225,-1.4844427130176607,-0.7572266067749774,-1.416239991065308,0.07803254768342974,-1.0030025997609628,-0.116512546444875,0.026722401277072164,-1.6986860616254669,1.9273149171326536,1.5057026021713158,-1.4708098310417195,0.19713795875812756,-1.8061165752482362,-1.643644163007336,-1.1831336773195382,-1.3911984088414657,-0.5424775999030221,2.2217258029915135,-1.438953479452861,-0.7433122902585625,-0.6846558552775835,0.15401982424714944,0.5586174262390916,0.9041516391909665,0.3845522179620304,1.994152832138157,-0.2674377191287403,-0.7123775892129073,-0.31473906348240205,-0.24478492188633286,-0.12060849282499168,-0.3682081680440135,-1.1942741649447688,-0.19153597962034027,0.3084113268299255,0.3477602126499289,0.30267523581567046,1.3378693522512386,0.4970895903023709,1.1088911141125786,-0.047449584797964184,-0.48732010624138067,-0.26389509140558653,0.188941056470531,-1.5298231731621847,0.07619995012395508,2.672268778273493,-0.16308153886259596,-0.0019365452081869965
Victoria,0.12015941132569886,-0.1610262830153604,-0.06927155001511545,0.5618047870335428,0.8293042967111993,0.4628115301121464,0.552937102240944,0.7673735755750097,0.2570950581055754,-0.00216254348708574,-0.2728611108320342,0.27079634922913104,0.24575183257857952,0.31836856128966373,0.4712548776724137,-0.14523489618226362,0.4241827401113127,-0.9107359113403684,-0.4050118167942654,-0.14103517473563745,-0.09548288882551181,0.10208646360086879,0.47566924398505817,0.020823561085033946,0.2856028429185538,0.4449965041696341,-0.598289132786594,-0.12082166346485719,0.5800238128704523,-0.1244071075432973,0.39144295975028737,-0.045115837054798526,0.4233040526394557,0.49395704607975505,0.39728111835482827,0.1433743806882627,-0.1524368567099604,0.49396766034778394,0.6700606139872182,0.1708456960310173,0.455497918251668,0.6056178749195561,0.9334646674679784,0.8848098139713009,0.5931532604305155,0.9867088531791851,1.0549079157857535,1.05512636395075,0.8705359928898774,0.8849363780403638,0.7563268294158556,0.38450768740478414,0.5728679494741507,0.3436905201927785,0.34421719826483826,0.3661954328390952,0.0719647806254922,0.6387954201128494,-0.12395163019294209,-0.006806764077445879,-0.4570413101616619,-1.714172649774372,-0.2687637181497589,-1.6336428724892837,-0.9405246086862135,0.3816654893367782,-1.3691339381247494,-1.2160706484822774,-1.4028975622397348,-0.7677177336424074,-0.37494539505731517,-1.1215042968297042,-0.46780074237839286,-1.1506592408397078,1.4932546926358439,0.9007865275858756,-1.3392805757733595,0.12442437605507459,-1.8112390364345992,-1.5536173279637915,-1.17219839862975,-1.2534927611161064,-1.1043476355302246,2.1859797884748824,-1.3120658070383309,-0.6555328587679958,-1.0340598688798075,0.08773446195782594,-0.4084407450823417,0.09715782600329802,-0.38683610378845784,2.2401695186575297,-0.5414083565776122,-0.5219812016942984,-0.9159958854074408,-0.31093921781220446,-0.3892177768377612,0.5721892726732778,-1.078882062539853,-0.8109706490936587,-0.07307382046467592,0.14839110102240238,0.41315313904487516,1.5335009739641536,-0.09758158774923983,0.6675583869386902,-0.4899407989203505,-0.5500654292738231,-0.2348039534812875,-0.11912187922735866,-1.364466572466147,-0.5151165358887322,2.360832042938199,0.10690233413109038,-0.48985384918019204
