index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,Arab,Asian,Black,Hispanic,Latino,White
Evan,0.15787717124805237,-0.41946913268137803,-0.6495916835638254,-0.48378559408139626,-0.5203286396814176,-0.48220009194630636,-0.45106301240580604,-0.8108047758382908,-0.4599016109651895,-0.3114965524576041,-0.3962844504675931,-0.6712806513551506,-0.3510903045778912,-0.918647806801443,-0.8760869465612595,-0.48929568781991145,-0.45914362656901603,-0.3927251025868515,-0.39155896910502386,-0.37962583844784564,-0.43957009238635303,-0.6243087224375191,-0.9716673239082181,-0.46890898166709527,-0.3925639319042047,-0.9613480828742874,-0.6890384270757055,-0.4761019996975447,-0.243032572034327,-0.4793643495836847,-1.669785914236275,-1.3891599834437443,-0.28184349964606614,-1.2443739187175618,-0.4932193524702652,-1.667384557015141
Gene,-0.08255447108887484,0.12600990858372993,-0.23446376021426435,0.44130041370013356,0.0990548643269002,-0.006572063803913668,-0.21076565980622783,-0.08305760959266088,0.36280500781626707,-0.448148261664661,-0.3042634463624835,0.15312495670323933,0.0632082114178595,0.040949516328934336,0.2862041948761996,-0.08918215937881893,0.24811584277193977,0.13813139195748964,-0.06920196415564629,0.14966011606130553,-0.13680612247487772,0.05850337322774544,0.04318816989367288,0.3265944084252663,-0.14579256856700493,0.15606331344799196,0.04404537705178794,0.39578133428419465,0.08222021732206318,-0.030552345353000384,-1.8133827521901469,-0.05039031060395905,-0.5072214758134098,-1.9293487319937226,-0.8667728554747675,-0.5276138853458884
Dillon,0.3100852225084773,0.17027936008890615,-0.40854540300652803,-0.2885621428202066,-0.16214273450108563,-0.128234241161142,-0.14318011709642958,-0.3831907693603945,0.17829546077119252,-0.30698111274416173,-0.11076980912217502,0.27250642828238236,-0.3655485747888435,-0.4065424665941777,-0.21948409232011284,0.5873209283194395,-0.32911517176796834,-0.44360092449772337,-0.15923232279377333,-0.27045989958504635,0.018038398530131988,-0.3872323834909001,-0.8367390813359936,0.19108590738035836,-0.03114725773244089,0.43979047655519243,-0.1144139600039556,-0.12129975470144275,0.22192526722704436,0.12823355517342055,-0.502376909828007,-0.10244874930207698,-0.27652734925516376,0.2526293525785633,0.1374816519252726,-0.8961212786432362
Marcia,-0.10633464945661263,0.14870907042959067,-0.09713345978100772,0.17544954774522212,0.039038093859037414,0.11700803051549995,0.08319701492639431,0.013889992613751947,-0.0989970667107325,0.1703117338849886,0.045171563352568986,0.0693270738134245,0.49259318099468885,-0.010944605043342746,-0.016405273510447526,-0.22577719858065182,-0.25739992272572704,0.6059624618040831,0.09202406578696606,0.2950379648942941,-0.3567392698471141,0.4954603832833289,0.4336146665394554,0.09277597675583343,0.17297047315199143,0.25014505680600047,0.19794162303738116,0.3421564219035694,0.08706675301724547,-0.14097723492848047,-1.30552041544162,-1.1793065302622006,-0.31474232944768676,-1.439571591430329,-0.8921672410477341,-1.6214195028743492
Annette,-0.7990912339889084,-0.520230007288736,-0.3557555600912826,-0.2065474316302711,0.0038810593084380503,-0.2594884313309713,0.30381575809381484,-0.7007053280403416,-0.31027612692146644,-0.530934404889562,-0.5827762928431964,0.17065839503959462,-0.2758228030310514,-0.4166232459275643,-0.582748170894528,-0.8803464901627928,-0.7665787193035243,-0.16421047918392243,-0.1270059766443536,0.16745082180814647,-0.45829881134839984,0.007459545674238954,0.05895168553513665,-0.5749953068440881,0.1795730730422652,-0.3101291227061724,0.22419360023426788,0.12523051446171143,-0.2637768154041508,-0.3500876049988788,-1.16061357473619,-1.656396532686625,-0.9623506327969419,-2.592296928161544,-2.069192180231085,-1.8673250815329638
Gail,-0.3247948674389242,0.14192958133065606,-0.15153130001954673,0.04540255324643819,0.33390810636815177,-0.04655208081342027,0.31007805606378885,-0.15502539744508184,0.089997544262654,-0.7612165292887462,-0.2675235261295936,0.6865246171757309,0.03870921573229242,0.029860157609996572,-0.13235870230529875,-0.7763999498906876,-0.863058277456525,0.13775272106232742,0.07525345796020246,0.2748453068548497,0.2579668659138593,0.17758734284276745,0.07226111506460525,0.05652135836761222,0.3895324440242248,0.4143219508711619,0.24935129144218063,0.2537156867719572,-0.03636130600987214,0.38787077466652503,-1.0661565992897817,-0.6883488147996429,-0.520160284929669,-0.8714247485564593,-0.48910817595371675,-1.69730590984848
Courtney,0.24684647484718902,0.5102026228364756,-0.020077738467590908,0.07676101753522947,0.10205394394168751,0.27427922812234673,0.0019252073131296279,-0.29198370910887644,0.23167130578358422,-0.6387576649646917,0.23563720904465843,-0.0023859282964880857,0.1848585824923669,-0.24163611574571983,-0.015203833407565374,0.5234301328632477,-0.40766307900416915,-0.03038782818236331,0.15087260416239331,-0.16110714445769364,-0.2162514985354913,0.12537162190248172,-0.3704780277776658,-0.012619090308805727,0.009323998567250406,0.18315841160320392,-0.06631545473333943,0.04305727909262088,0.2618490276934714,0.30929770495649034,-1.5184741741963652,-1.0598738058162551,-0.4336203063588328,-1.5263954084198923,-0.9493061600434886,-1.8053362686934566
Ruby,-0.24575405524304528,-0.43898218350596174,-0.12160405929758851,-0.5631595048710045,-0.055263418702894064,-0.1804016908961463,-0.0005758449560117467,-0.14796673741473115,-0.1046220245326919,-0.6287989797651017,-0.5554964932177807,-0.2605532895463014,-0.10882971684320412,-0.0388543189767422,-0.21162261183926157,-0.43588878618666016,-0.28301695598823584,-0.34363197618244323,-0.01722040113353181,-0.2265451034517814,-0.3327310888596147,-0.04686637612611433,-0.8832780444571834,-0.3074241168616289,0.04626831330429603,0.008520669736073662,0.03234638636025867,0.15576101468191683,-0.3150860743011639,-0.06965777663056485,-1.3112566391205698,-0.576442223306896,1.018557016162361,-1.8741081295475925,-1.0346488658483637,-0.25727764788705587
Jessie,0.13550790305786684,0.024986891802059708,-0.11480192404624744,0.06953923215726161,-0.14093853251223057,0.20856510078411314,-0.4212740145145771,-0.8947451526509594,0.3260558683548131,-0.5936900191202495,-0.026692329926180567,-0.2434217710482802,-0.34574090441920735,-0.274297386550665,-0.5842913776416878,-0.5537331423335534,-0.7120089487946385,-0.2929747646071701,0.25580343229689956,-0.3803786140396094,-0.32121069198452057,-0.09240734404244752,-0.26602470578798737,-0.005833348222618026,-0.036441082753005755,-0.028755876979853632,-0.2002252989896775,-0.009148964846631866,0.20847926415754098,0.03415349174374246,-1.5283141341434314,-1.0492282022486954,-0.479987517920301,-1.500211758940836,-1.1285926580585766,-1.5918265324584602
Victoria,-0.10821773278281784,-0.24345107635053803,0.48870252732472563,0.2563178839056672,0.025166827737913736,-0.10352975154114652,0.14903696051862547,-0.2415920603928364,-0.3526756871834999,0.5205895066126033,0.44036053364261435,-0.4364665498588744,0.23846846288259738,0.31122624933343623,-0.1868058261427354,0.0016575461744764062,-0.07155277639564132,0.21041363105134794,-0.13159110627724346,-0.22205072117512947,-0.46258236603565506,-0.001558228862820813,-0.1330679472664976,-0.15263788564791983,-0.08253884169668976,0.06143231654210907,-0.30193723467533,-0.29426604398755807,0.06765877471737868,-0.16825091190721875,-0.37051867475884215,0.08479918368530014,0.3460206081666236,-0.7006483955248126,-1.1794862918402125,-0.05549864765452101
Erica,-0.2866748074673323,-0.02289986697326428,-0.13208154317216728,-0.055086825416021626,0.08024063259274042,0.20155321389255826,-0.12122851768075367,-0.4526149751665767,-0.19448099477731537,0.02344373054950648,-0.22904999390814168,-0.13971856245762504,-0.2254629424672298,0.01317685868550967,-0.5709339997704657,0.07876050279533822,0.17370741286702618,-0.22797135083162565,-0.07675384418265999,-0.04832611540268968,-0.7080659777142869,0.08234648331451502,-0.05124512303823235,-0.30531504182711366,-0.18386183711574947,-0.21349629680969148,-0.3414125197162556,-0.07936497752604642,-0.0011481976730304715,-0.027730361605871008,-0.8352553488559312,-0.5199086304091619,0.46183365865816983,-1.275204517189185,-0.572827379091334,-0.9428585463824873
Brenda,-0.2282638948920048,-0.09742391115511517,-0.008906332978665438,-0.045758541325888795,-0.33384318513723293,-0.36168783176755126,-0.22320744280002336,-0.645326859694433,0.05651809741089707,-0.010736816294413318,-0.4156522016661867,-0.051262891247932776,0.01225601907554572,-0.21955350509790383,-0.47652216852320106,-0.498574723251051,-0.9298981426818907,0.05316244983454655,-0.18681157936590112,-0.06546013516930795,-0.39107542032103493,-0.08287477285580468,-0.4287125805720285,-0.5325981926638662,-0.4042592065564283,-0.1405882557758612,0.13408602435421946,0.14683761956861627,-0.2639644895203428,-0.13212195959710607,-1.6243226979264624,-1.2888669918322144,-0.6480162932596885,-2.2046053650943462,-1.733923260766009,-1.9504981794852956
Cameron,0.6710252778250422,0.3257179936831967,0.28887216463361926,0.647547836253922,-0.08120985693372157,0.18127535979913054,0.06802215869325558,-0.39030548283051225,0.2072462684084474,0.03913975650731565,0.9231452877716902,0.38040979041847384,0.49660707695066325,0.13042534224746283,0.03687294637789973,0.777543999440251,-0.17908978340063492,0.1054186753307887,0.12722399860296277,0.1505368011577768,0.027236902610779108,-0.18002363920314882,-0.04966292665292988,0.2957062120934413,0.6877261418384842,0.5285049952042727,-0.1913241976587247,-0.1151721709856772,0.6251663710723337,0.22255260806490898,-1.2301275050768268,-1.058953849520176,-0.3322450522556957,-0.9723105755198468,-0.4481880762383662,-1.5563521292334506
Joe,0.45939394802786687,0.2614191709181353,0.1844915891922982,0.3646208647869634,-0.2537177209813802,-0.32225612291965655,-0.15904438448735772,0.061938156104762415,0.7423939710811942,0.33916495400663565,0.1815006427810965,0.6624146913239691,0.20752939664671455,-0.35929879128164677,0.8703345369861066,0.012972508313946952,0.2945952750020293,0.15606891173059492,-0.1709069468953487,0.39674963311288763,0.615989557972929,-0.21630085497683402,0.11962524680343965,0.6009926557987683,0.013487687240804354,0.48294156776398206,0.05418594668537095,0.3413659619913883,0.029323188451751084,0.4380447072871518,-1.194623146246499,-1.0091003899633666,-0.2223045423764251,-1.091635632467889,-0.503387666392332,-1.5111950965127663
Kai,-0.5548165236199399,-0.6685989961763896,-0.6119363698530359,-0.4352116656001285,-0.015399125414954752,-0.012850071658824944,-0.17463267361677642,0.9331497459928089,-0.6742215866700859,-1.0039745947188712,-0.47445989612234324,-0.7300936645315741,-0.43125876357609505,0.0567387930495258,-0.19692921433251262,-0.8378772375688622,0.38954987891248793,-0.2812925242748726,0.1295631791453279,-0.4445052481801203,-0.277271403450771,0.1008081169870365,-0.2021510588274175,0.0860151012181766,0.15130179048361656,-0.7434726163584509,-0.11506153641320609,-0.5152165870105847,0.17944382200291883,-0.47237802877469554,-0.720848374697725,-0.26476885465558037,-0.02727107786327067,-0.7744576316910461,0.002064209263895554,-1.4275927198171574
Isabella,-0.4459460321459249,-0.5563141138526142,-0.2856314453122071,-0.3606601495668281,-0.04886412728895983,-0.12260928673363355,0.1546809908925844,-0.45580334002401507,-0.5534295752467867,0.08056220024584561,-0.08743383474281197,-0.054584717784047145,-0.3084459627659923,-0.20798541303082502,-0.5132143975273101,0.3506085625506456,-0.19916319187870404,-0.0864173987104028,-0.1048940935568648,-0.0429588102732733,-0.4571048543674946,-0.047671265902047094,-0.23897696776427946,-0.38918054667926416,0.43634445333908345,0.25158573644651194,0.005269806847284302,-0.2646733128171983,0.08300008991236717,-0.323244779422329,-2.157737526822007,-2.125151185733608,-1.175607552908058,-3.0649806718602086,-2.369603888697064,-2.312009209025078
Adrian,0.10322857724236027,-0.3046667992832408,-0.208051628673218,-0.1606486176025755,-0.2875673511661591,-0.23893805453031883,-0.24066494944626987,0.17593875866849015,-0.5666040389703801,-0.06533564154378094,0.11085156563190851,-0.44154397557157726,-0.05473201982146881,-0.06663911965711139,-0.09620061933730016,0.5960003025611813,0.02388554352094201,0.11588080103277218,-0.26705771706991743,-0.1498019237216093,-0.25522705911524646,-0.1318498835645186,-0.4365813836077895,-0.12217773282973216,-0.2569768812225704,-0.15504674251831396,-0.3906571137991507,-0.5148774256628192,-0.10668259919196459,-0.3349018809791616,-1.6163405206871266,-1.5723659550688949,-0.7991226705501436,-1.9620117446585212,-1.074623078667784,-2.188774633507601
Beatrice,-0.4187989365750296,-0.23983275031459172,-0.0024296081171370928,-0.21091421134379712,0.00919774138314542,-0.013443741556968527,0.296574251177919,0.09195129999848788,-0.370210912152513,-0.06782556454511815,-0.21670768363320125,-0.4240319566987194,0.4348224595501874,-0.039706760687015966,0.19273091046999258,-0.5613129144065631,-0.5305261846889134,-0.0006682686611732872,-0.0018074702896215113,-0.18745695040531246,-0.3730058061714965,0.6610712306021225,-0.47020575177510104,-0.10766542947301536,-0.14467440612993873,0.451495444128839,0.3786549500916929,0.026814399283010288,-0.025011614208508306,-0.39420578170602805,-1.794381042865343,-2.1230330258129118,-0.9175549305637294,-2.7128422304856104,-2.1828164888624624,-1.9021216778514465
