index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
Nigeria,-0.3252904068846108,0.4724156742933818,5.5567480000000025,31.87430800000001,5.961012,9.272713000000001
Ethiopia,0.2918128004911315,0.5380881173573661,87.71415999999998,-23.636606,5.372413,11.121767
Egypt,0.0577742689490835,0.7655350339099427,64.80289,-27.753113,5.421602,10.90671
Congo,0.4656825495768633,-0.0604618039294202,135.79928999999998,-102.600464,3.6476476000000004,10.909555000000001
Tanzania,0.7973070306736746,-0.12663513993780898,164.2911,-102.48416999999999,2.845829,11.059356
South Africa,2.091760728809225,-0.24632093314116754,332.5208,-75.47464000000002,1.6866212999999999,9.692965
Kenya,1.2048859630577078,0.3208683809288951,211.37013,-157.99048,2.5428667000000003,10.469031
Uganda,1.1556118722900468,0.11787011320943465,225.80693,-88.848404,2.1852,10.819485
Sudan,-0.2673576828559753,0.38267687234804776,22.491335,20.234344,5.9931397,9.179976
Algeria,-0.16334939884862948,-0.5473522204730316,-155.61397,-65.817314,5.551051999999999,5.85197
China,-0.10531343905099913,1.417803468102478,-69.97044,155.2212,5.930755,11.218214999999999
India,-0.015783235232848452,0.26441333213115736,6.390257,1.4809587,5.805107,9.3431635
Indonesia,-0.6399701742002085,-0.2476818150662808,-203.8271,17.542811999999998,5.1200175,6.394583
Pakistan,-1.0286742894206622,-0.09747615236696536,-242.11427,34.983902,4.4362407,6.3863363
Bangladesh,0.4602422273370592,-0.149074086620838,100.54471600000001,-164.81521999999995,3.9964497000000003,9.981667
Japan,-2.039175529069821,-0.4477406183326817,-186.75938,267.31857,7.665885,4.9930077000000015
Philippines,-0.8937179525514695,-0.05277929237004745,-270.3032,93.96862,4.4394264,6.8364199999999995
Vietnam,0.5053354418173271,1.4264501143002786,175.01598,55.276665,6.436814,11.438922999999999
Iran,-1.070793802418966,-0.3789743073076542,-217.96082,112.906906,4.684264,6.630136
Turkey,-1.0595080724915649,0.2528703519585664,-156.91704,139.91052,7.165518799999999,6.2646027
Russia,-0.9219887293481868,-0.5291304541952808,-212.87941,-71.90881999999998,6.037953400000001,5.1401763
Germany,1.1157912818163118,-0.2410007054578619,241.92017,-61.754031999999995,1.7967810000000002,10.881342
United Kingdom,2.2407834696219893,-0.3008566287012982,351.50763,-58.898674,1.5269163000000001,9.808631
France,1.4166430738280007,-0.2151805990512309,290.11044,-41.025196,1.4764347,10.17261
Italy,-0.4067414785328107,-1.0323884009857378,-166.36436,-118.52122,5.5937449999999975,5.428036
Spain,-0.5221499934867291,-0.5143300393497121,-187.97285,-75.01151999999998,5.7093415,5.3201865999999995
Ukraine,-1.20037608980397,-1.0619021989034323,-83.96806,213.03246000000001,6.257453400000001,4.946523
Poland,0.5770395623249127,-0.486088450546785,164.13291999999996,-70.5998,3.0024702999999997,11.208153999999999
Romania,-0.07708213096126681,-1.1137869096854662,-174.31874,-137.85172,5.5103493,5.321936599999999
Netherlands,1.67528017727018,-0.4510087601095129,314.48282,-55.113944999999994,1.407945,9.986231
Austria,1.215709435917241,-0.4141965754648835,261.55795,-47.787514,1.6072701999999999,10.572426
United States,-0.07150278672841738,1.8727517424701616,159.16446000000005,117.77736999999999,5.9948883,11.188001
Mexico,-1.2061414102748738,-0.3053221716739068,-179.44931,236.36253,7.50288,5.225172
Canada,1.7717181449279913,-0.0964282716820752,331.314,-105.88563500000001,2.6531038,9.815909
Guatemala,-0.7337062216582805,-0.16185267103880185,-235.4559,72.38436,4.332836,6.380372
Haiti,0.03437401876480425,-0.18959877962109964,-72.26100000000002,-38.45166,5.273130999999999,7.777558999999999
Cuba,-0.11038921289561852,0.9448745538303304,131.37666000000002,40.88171,6.0172004999999995,11.569564999999999
Dominican Republic,-0.3523660989316743,-0.20931013538190585,-158.92911999999995,2.3987362,5.568818,6.7478074999999995
Honduras,-0.5540980844808947,-0.013962687093762126,-168.01747,28.514181,5.2219467,6.8554955
Nicaragua,-0.88927662601776,-0.1409795587010013,-240.4254,91.29401999999999,4.5098267,6.808973299999999
El Salvador,-0.35331170695205344,0.1160650510207208,-123.04796,45.984425,5.7878428,7.2198505000000015
Brazil,-1.4118885806957802,-0.22409644969472248,-152.87493999999995,242.97876000000002,7.1469827000000015,5.0349913
Argentina,-0.505310912650024,-0.08350673154636057,-177.66428,-5.8122295999999976,5.677684999999999,6.583187599999999
Peru,-1.105851816896526,0.18376671245684872,-157.85103,180.74365,7.290008500000001,5.9355720000000005
Venezuela,-1.2912724205551305,0.07851299597565421,-174.9582,197.5666,7.401867399999999,5.7794967
Chile,-0.4477227933895819,-0.35556902316445416,-160.8123,-33.728054,5.6028785999999995,6.1737275
Ecuador,-1.4245008568005817,-0.2986463757397062,-132.03938,238.39941000000002,6.8871913000000005,5.0515294
Bolivia,-1.0178027228985294,0.2423556787639093,-172.09727,164.14851000000004,7.2920985,6.1080804
Paraguay,-0.5350863829449821,0.3540468125903974,-113.95727,71.05863000000002,6.20338,7.41483
Uruguay,-0.6756441895062477,0.26103851370277464,-119.27621,92.955986,6.5976753,6.926817999999999
Australia,0.98043327980551,-1.6093077296879224,390.26724,-195.83055,3.3937285000000004,9.635156
Papua New Guinea,0.8628281268843677,-0.1704067630362509,122.31206999999999,-166.24928,3.444861,10.112
New Zealand,1.3229231937837649,-0.7259267487467249,373.40976,-188.5125,3.4437279999999997,9.854582
Fiji,1.222095050340838,0.1025193812336035,185.21846000000002,-159.57639,2.8867017999999995,10.395455
Solomon Islands,1.2427615033292994,0.5578498183822577,221.94972,-139.96568,2.6078349999999997,10.693810000000001
Vanuatu,0.03552072254441612,0.9593539907629692,114.29358,26.092457,5.786496,11.582088
Samoa,-0.3121898626849715,0.7389840292105996,97.4413,46.348816,5.9157257,11.706828
Kiribati,0.823888346311532,-0.1983940706459612,159.84521,-121.99795,3.1351397,10.895572
Micronesia,0.3749774717215383,1.1656240193175305,157.74075,34.96753,6.359307,11.354447
Tonga,-0.2078446500741656,-0.03906049880554612,-68.5961,-18.35584,5.3562864999999995,7.46378
