,beverage,yob,direct_correlation,indirect_correlation,same_correlation
0,water,1920,0.8648868947297467,0.060569571614134274,True
1,water,1921,0.7904306310309565,0.05028219095647496,True
2,water,1922,0.7672450044993022,0.033350269159541514,True
3,water,1923,0.8008906072915847,0.04793777104528495,True
4,water,1924,0.8154547875855584,0.052629682020982206,True
5,water,1925,0.7636818300483698,0.06739696850663679,True
6,water,1926,0.7567359643622612,0.06305402719087609,True
7,water,1927,0.7666775735533107,0.06332316023326197,True
8,water,1928,0.8367096336447738,0.06424276517485496,True
9,water,1929,0.6836073124783336,0.043219377031062836,True
10,water,1930,0.9165203930156618,0.07179760720239332,True
11,water,1931,0.7638225513025503,0.056312542309503076,True
12,water,1932,0.9286583267563656,0.05776414914898605,True
13,water,1933,0.8188239536575648,0.06671856678263988,True
14,water,1934,0.7906297048971929,0.01355453516386086,True
15,water,1935,0.9023373597345208,0.0013803304054348714,True
16,water,1936,0.7515880128426471,-0.003683790080229818,False
17,water,1937,0.7200550167968641,-0.006311195918757029,False
18,water,1938,0.7577233924314971,-0.023454366300912775,False
19,water,1939,0.7333555522575429,0.0032173477470328737,True
20,water,1940,0.7936346769550416,-0.031451470808884815,False
21,water,1941,0.8397357383386643,-0.005425777650259035,False
22,water,1942,0.9017397956765232,-0.005233645751601097,False
23,water,1943,0.6960826248006301,-0.029787578195187476,False
24,water,1944,0.7512045609129809,-0.058107752687453024,False
25,water,1945,0.9139717306150528,0.014096089975610503,True
26,water,1946,0.7957139379538523,-0.06088217257916133,False
27,water,1947,0.8745934667706813,-0.04117860344213445,False
28,water,1948,0.9444393568894448,-0.014849115238901582,False
29,water,1949,0.8871149095297811,-0.02951077577977738,False
30,water,1950,0.9006932085816586,-0.03330904302923695,False
31,water,1951,0.7935783170217185,-0.08441595737308671,False
32,water,1952,0.9098301022770762,-0.05063434452784399,False
33,water,1953,0.9326224575017236,-0.019336686158116196,False
34,water,1954,0.9075535487943356,-0.06414639484852609,False
35,water,1955,0.8026787263469355,-0.06519131673066501,False
36,water,1956,0.8585187822248248,-0.0765369582140205,False
37,water,1957,0.7643708272985091,-0.09808217428649027,False
38,water,1958,0.8183356936216277,-0.08903804200130969,False
39,water,1959,0.7417658527177312,-0.10827120904714448,False
40,water,1960,0.7721189573255287,-0.1183789782064335,False
41,water,1961,0.7031678947870491,-0.12711383181620595,False
42,water,1962,0.8582401331134446,-0.11152370394392228,False
43,water,1963,0.7525212035314424,-0.1126141476491957,False
44,water,1964,0.7850916349642877,-0.10629009904907352,False
45,water,1965,0.7737775917956076,-0.10567112638786992,False
46,water,1966,0.7122199631352447,-0.11382370330324212,False
47,water,1967,0.6488795954827121,-0.1054982327746425,False
48,water,1968,0.6865923280294954,-0.11145756189474568,False
49,water,1969,0.5139929018675833,-0.1289616580690016,False
50,water,1970,0.5513501676242281,-0.13944118890984095,False
51,water,1971,0.5261804268099555,-0.15868604937716427,False
52,water,1972,0.5119028154314547,-0.1742265182887327,False
53,water,1973,0.4706410436256518,-0.15787647276805133,False
54,water,1974,0.4572907005477188,-0.16234361714914536,False
55,water,1975,0.4038926759537402,-0.1672601273087879,False
56,water,1976,0.4309313192784629,-0.15250825710136265,False
57,water,1977,0.3971630501264584,-0.1587772176201251,False
58,water,1978,0.4698909478398161,-0.12281227390082172,False
59,water,1979,0.4813689117414575,-0.09492369946875072,False
60,water,1980,0.4559964146190264,-0.12124445815602927,False
61,water,1981,0.4669748898837511,-0.12167126891860253,False
62,water,1982,0.4776157827096736,-0.11766636080161284,False
63,water,1983,0.4514958311037967,-0.10819375345319557,False
64,water,1984,0.4940969661803998,-0.13074806201555414,False
65,water,1985,0.4750774262393394,-0.12188732045485408,False
66,water,1986,0.5450487931808203,-0.10775374827949648,False
67,water,1987,0.467794993066573,-0.11336142794183768,False
68,water,1988,0.5595462392979748,-0.0938219576738364,False
69,water,1989,0.4716941650747461,-0.05449189731018232,False
70,water,1990,0.6593539187563404,-0.0606885679780577,False
71,water,1991,0.5516073692289594,-0.09300810946160296,False
72,water,1992,0.5641445178377485,-0.08866313305082818,False
73,water,1993,0.557768838376526,-0.08188528165660826,False
74,water,1994,0.6599489433907487,-0.07501886613046907,False
75,water,1995,0.6078674852983764,-0.08325193192118813,False
76,water,1996,0.6187250157166451,-0.07152091096175206,False
77,water,1997,0.5984450839935763,-0.050129099898709686,False
78,water,1998,0.634802078961819,-0.04574921447253971,False
79,water,1999,0.5462306559066987,-0.042540759966032585,False
80,water,2000,0.5902152188391989,-0.031701187987909024,False
81,water,2001,0.5171335345831116,-0.040026418975447266,False
82,water,2002,0.4839267241661977,-0.004402648355325309,False
83,water,2003,0.4851064467394955,-0.024426900994068284,False
84,water,2004,0.4397689440301236,-0.05765538303053545,False
85,water,2005,0.4674570249533929,-0.016228034469732186,False
86,water,2006,0.4778584015079068,-0.017557061360560074,False
87,water,2007,0.4421038570252244,-0.019720003193866586,False
88,water,2008,0.4364679940680991,-0.028128893489114726,False
89,water,2009,0.3811882415729699,-0.016394859800519516,False
90,water,2010,0.4573927710450012,-0.01263190021797028,False
91,water,2011,0.3803159011437509,-0.03923932854161456,False
92,water,2012,0.3095324742234544,-0.04471911910211535,False
93,water,2013,0.3054335448753888,-0.02698533222489064,False
94,water,2014,0.3925048934334313,-0.01674846519131367,False
95,water,2015,0.3691243228321732,-0.03370923945269971,False
96,water,2016,0.33566512384477776,-0.018430868897275254,False
97,water,2017,0.2916462215070593,0.01092921137857766,True
98,water,2018,0.2782484675451932,0.026127642558753092,True
99,water,2019,0.3547832778589961,0.014813005223167494,True
100,water,2020,0.5738271655250272,0.02998987432892834,True
101,coffee,1920,0.4898923053937994,0.10683430495603108,True
102,coffee,1921,0.4209159248788962,0.1157459590063924,True
103,coffee,1922,0.4440329096757138,0.1302864496362447,True
104,coffee,1923,0.4612921190913863,0.12295930218898063,True
105,coffee,1924,0.4672250672659892,0.13435321148020002,True
106,coffee,1925,0.5583323408992593,0.13297758656107395,True
107,coffee,1926,0.5161345524757899,0.12122939071387025,True
108,coffee,1927,0.4946785415418321,0.1032987713311928,True
109,coffee,1928,0.5007759726039905,0.0964151469532577,True
110,coffee,1929,0.6285555523322092,0.12616587716553368,True
111,coffee,1930,0.6209907859142684,0.1498970941936535,True
112,coffee,1931,0.599228729394531,0.1651122593536668,True
113,coffee,1932,0.6202963313393425,0.17133898188450425,True
114,coffee,1933,0.5637165549291818,0.17364570383220007,True
115,coffee,1934,0.54264535870814,0.19129530908979966,True
116,coffee,1935,0.723568021130213,0.19268994697639644,True
117,coffee,1936,0.6279824889115846,0.18114929627899834,True
118,coffee,1937,0.6662686828108411,0.21514258673772774,True
119,coffee,1938,0.5990697263673656,0.21568456683694048,True
120,coffee,1939,0.6533356400753583,0.20551510600467,True
121,coffee,1940,0.7144136155344799,0.1930939432881031,True
122,coffee,1941,0.6529839433538361,0.1892746603525366,True
123,coffee,1942,0.6509911769036474,0.18781794410097125,True
124,coffee,1943,0.5655067931706987,0.18897246616582766,True
125,coffee,1944,0.5181540860503673,0.19517520468187294,True
126,coffee,1945,0.6894366039473692,0.17643048640451406,True
127,coffee,1946,0.8109351800474582,0.22996568731274594,True
128,coffee,1947,0.7453063726342032,0.21768861898241448,True
129,coffee,1948,0.6962491771755053,0.18398406409556808,True
130,coffee,1949,0.7708283310821417,0.2365922577378192,True
131,coffee,1950,0.9259344419627156,0.17636379850582345,True
132,coffee,1951,0.9108600647009903,0.27593490961025263,True
