,sport,yob,direct_correlation,indirect_correlation,same_correlation
0,football,1920,-0.3037704253522885,-0.3168991147997115,True
1,football,1921,-0.2554939049045196,-0.3012299122531951,True
2,football,1922,-0.2609303385410013,-0.2853026774917018,True
3,football,1923,-0.23398622064813604,-0.360932455927796,True
4,football,1924,-0.2938290384088547,-0.3635099362003679,True
5,football,1925,-0.2670983598521301,-0.4009068387822089,True
6,football,1926,-0.2192139257881645,-0.3870430904569467,True
7,football,1927,-0.2583690325192939,-0.3974275391834411,True
8,football,1928,-0.3471117535489859,-0.3911775578232679,True
9,football,1929,-0.2536188182101608,-0.3695982135613995,True
10,football,1930,-0.3639447637000138,-0.3991956326467833,True
11,football,1931,-0.294762054199388,-0.4312431043560777,True
12,football,1932,-0.24392918651491566,-0.42097707185086414,True
13,football,1933,-0.338689033258588,-0.3889458872165086,True
14,football,1934,-0.26179603419733793,-0.386434154581266,True
15,football,1935,-0.3441696949774655,-0.3481487684784622,True
16,football,1936,-0.3182325704868277,-0.3811741010744691,True
17,football,1937,-0.3020932837272979,-0.3753304937487976,True
18,football,1938,-0.3258603729206075,-0.27577707433678883,True
19,football,1939,-0.5322170046220541,-0.2830817106987082,True
20,football,1940,-0.5044823182396322,-0.2843909813654791,True
21,football,1941,-0.27055067481530226,-0.2476298785690343,True
22,football,1942,-0.3831811061416715,-0.23581382549862095,True
23,football,1943,-0.4492815412214305,-0.320829003841034,True
24,football,1944,-0.4574472080212098,-0.3142086387366357,True
25,football,1945,-0.5194245253615081,-0.3973098606658667,True
26,football,1946,-0.30635425143315403,-0.3033877841392078,True
27,football,1947,-0.4607367622046484,-0.33011672120541224,True
28,football,1948,-0.3994958032287993,-0.3503559045598454,True
29,football,1949,-0.3164439931903125,-0.3580309732854541,True
30,football,1950,-0.5059664111986338,-0.3961504758968386,True
31,football,1951,-0.24920434147346066,-0.3330243607075004,True
32,football,1952,-0.32277646615655103,-0.3495800077918037,True
33,football,1953,-0.22457567450357496,-0.3593480857901116,True
34,football,1954,-0.30786144600346005,-0.3719611999463327,True
35,football,1955,-0.20967041817259247,-0.3428395891706044,True
36,football,1956,-0.24585811703110685,-0.30666859370485505,True
37,football,1957,-0.2253294629395557,-0.3058163643274325,True
38,football,1958,-0.4553986494901511,-0.3339948211175259,True
39,football,1959,-0.2656020522072985,-0.280877471900275,True
40,football,1960,-0.28894315604506,-0.30676170084663623,True
41,football,1961,-0.07061006753348538,-0.25694062075852764,True
42,football,1962,-0.19382463112429735,-0.2744091109332528,True
43,football,1963,-0.16034712410567284,-0.2388343175123777,True
44,football,1964,-0.15050743007254944,-0.22081269312718568,True
45,football,1965,-0.14088762480149308,-0.27109779101271314,True
46,football,1966,-0.12830666096505802,-0.2549267067129924,True
47,football,1967,-0.02481709467589766,-0.23130207548425166,True
48,football,1968,-0.18509783991659215,-0.2422166759182174,True
49,football,1969,-0.15765461955518775,-0.2227084134606875,True
50,football,1970,-0.2916183710750245,-0.2049304428571226,True
51,football,1971,-0.12242951255533367,-0.20856437303505554,True
52,football,1972,-0.1283448728717673,-0.21094901095582624,True
53,football,1973,-0.21483555036716054,-0.19777650702483976,True
54,football,1974,-0.15994843699804556,-0.14793194307100954,True
55,football,1975,-0.2366760143878669,-0.18802036753965068,True
56,football,1976,-0.232980661949056,-0.2195091643281625,True
57,football,1977,-0.19762739175392927,-0.22610286373116936,True
58,football,1978,-0.2982797585091712,-0.25284316136295626,True
59,football,1979,-0.26124126812095155,-0.2123538351841148,True
60,football,1980,-0.13229594102458367,-0.2375339099184252,True
61,football,1981,-0.06263640637792373,-0.21702722991346665,True
62,football,1982,-0.2028148807575482,-0.19703407366625486,True
63,football,1983,-0.2394826893692035,-0.18605792226231185,True
64,football,1984,-0.1699797812606821,-0.18582775782459912,True
65,football,1985,-0.1367203836077464,-0.21285209791099355,True
66,football,1986,-0.2344986307362506,-0.19296725113763427,True
67,football,1987,-0.18585613207426108,-0.2159725541629237,True
68,football,1988,-0.15105944620507486,-0.2034452253211937,True
69,football,1989,-0.16204921347934154,-0.26915306061051875,True
70,football,1990,-0.20983482272072668,-0.2322440128087949,True
71,football,1991,-0.15474105122877735,-0.19928410000273197,True
72,football,1992,-0.2507889118831429,-0.2008938372349716,True
73,football,1993,-0.20808726515388706,-0.17203731370858752,True
74,football,1994,-0.2555157131075254,-0.20326148053993875,True
75,football,1995,-0.15028581781349168,-0.2089017611911884,True
76,football,1996,-0.12413225627308533,-0.17128109848196582,True
77,football,1997,-0.18036641184742866,-0.1870636309615777,True
78,football,1998,-0.20799453471402324,-0.17814343079968012,True
79,football,1999,-0.2054724269956428,-0.14424557945488894,True
80,football,2000,-0.08965667184515047,-0.14808757530904784,True
81,football,2001,-0.1889197414859137,-0.1855250207372001,True
82,football,2002,-0.15374797565704884,-0.2287332359688433,True
83,football,2003,-0.10922292029684072,-0.1805599384895944,True
84,football,2004,-0.039672038936212725,-0.17045563348585072,True
85,football,2005,-0.021195597104840383,-0.16907103297768666,True
86,football,2006,-0.056477323820767936,-0.17208679447499245,True
87,football,2007,0.022566060560048697,-0.17188547215988478,False
88,football,2008,-0.05089223511140988,-0.13720583197227515,True
89,football,2009,-0.01979147643659548,-0.189848393036728,True
90,football,2010,-0.15621125977782174,-0.15512468140066726,True
91,football,2011,-0.10171235876782668,-0.13609707848192307,True
92,football,2012,-0.15839105455155728,-0.14923571318951984,True
93,football,2013,-0.10851770955944584,-0.14809041214874846,True
94,football,2014,-0.12839635253174472,-0.1439082648215956,True
95,football,2015,-0.021897219006539008,-0.10835423805716067,True
96,football,2016,0.0495720673939456,-0.12081734671245566,False
97,football,2017,0.007262577796733559,-0.13644316550843574,False
98,football,2018,-0.1143250272288378,-0.13419868730157028,True
99,football,2019,-0.10278163542768684,-0.0985261530209164,True
100,football,2020,-0.2009688458314042,-0.15698449773780174,True
101,basketball,1920,-0.5136312849933591,-0.3221352176498275,True
102,basketball,1921,-0.5197044878366792,-0.31490456932495103,True
103,basketball,1922,-0.4655477595224233,-0.29448032268045343,True
104,basketball,1923,-0.4729943606380148,-0.33033777119636104,True
105,basketball,1924,-0.4930004125345866,-0.3111098902446654,True
106,basketball,1925,-0.5188433784740115,-0.3510258444527563,True
107,basketball,1926,-0.4461655384179907,-0.34209225630049417,True
108,basketball,1927,-0.4796102270625672,-0.3531442246906501,True
109,basketball,1928,-0.5046371632533111,-0.32905554191692704,True
110,basketball,1929,-0.4210881630971101,-0.3346593622040916,True
111,basketball,1930,-0.5497801844690783,-0.3619031262438879,True
112,basketball,1931,-0.5507441083670066,-0.3614393866954625,True
113,basketball,1932,-0.4838164878398059,-0.35880851212562537,True
114,basketball,1933,-0.5579567089314083,-0.33398284409856904,True
115,basketball,1934,-0.5219642397355826,-0.32768934333966365,True
116,basketball,1935,-0.5478100184637756,-0.2940392429033932,True
117,basketball,1936,-0.5077781098204971,-0.3157121705001486,True
118,basketball,1937,-0.5495576351490342,-0.30489272060146777,True
119,basketball,1938,-0.4937518868528083,-0.2340617177688949,True
120,basketball,1939,-0.6528468178111361,-0.24159366770762386,True
121,basketball,1940,-0.5834917262851288,-0.2383148642093656,True
122,basketball,1941,-0.4078615842384001,-0.20605901736244767,True
123,basketball,1942,-0.4837535052634802,-0.17747386276086755,True
124,basketball,1943,-0.5624731013038958,-0.23640814947598385,True
125,basketball,1944,-0.5658076791359002,-0.2192044502063568,True
126,basketball,1945,-0.6605271657440049,-0.3105598706123009,True
127,basketball,1946,-0.4746238847894991,-0.2358208577291482,True
128,basketball,1947,-0.6317549622485764,-0.2397847491357931,True
129,basketball,1948,-0.5001517869575438,-0.2435025159512233,True
130,basketball,1949,-0.4504304939234596,-0.2392111825559369,True
131,basketball,1950,-0.5931353696618209,-0.2623314158851071,True
132,basketball,1951,-0.3847069593336105,-0.205860087432025,True
133,basketball,1952,-0.43646132830618345,-0.2055976165498456,True
134,basketball,1953,-0.3540838153680021,-0.23928147298465455,True
135,basketball,1954,-0.4347736730331308,-0.2341757258837236,True
136,basketball,1955,-0.35507841069455065,-0.20983390446704814,True
137,basketball,1956,-0.3376232617314315,-0.17509931158946174,True
