index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Evan,0.15787717124805237,-0.41946913268137803,-0.6495916835638254,-0.48378559408139626,-0.5203286396814176,-0.48220009194630636,-0.45106301240580604,-0.8108047758382908,-0.4599016109651895,-0.3114965524576041,-0.3962844504675931,-0.6712806513551506,-0.3510903045778912,-0.918647806801443,-0.8760869465612595,-0.48929568781991145,-0.45914362656901603,-0.3927251025868515,-0.39155896910502386,-0.37962583844784564,-0.43957009238635303,-0.6243087224375191,-0.9716673239082181,-0.46890898166709527,-0.3925639319042047,-0.9613480828742874,-0.6890384270757055,-0.4761019996975447,-0.243032572034327,-0.4793643495836847,-1.3461901512214611,-1.905221376723996,-1.3994083530438093,-1.7017891665512255,-1.388438501878129,-1.3653727711693715,-1.33712056407744,-1.9005169986479444,-2.0762202556833467,-1.1266727646083292,-1.5140503779798042,-1.9004496579162957,-2.0843263719883884,-2.323663807526864,-0.7500336299889276,-1.204405534202836,-0.7514387293996752,-1.929861532015039,-1.2884165862750996,-0.7687059775821921,-0.4716149271695231,-0.4073998016667119,-0.7659883312665798,-0.6466277408045034,-1.2998939583524356,-1.0402908575713916,-0.7711812750278159,-0.8724277606646295,-1.0432877869103458,-0.2391437586675751,0.04075675988453106,-0.6718586975433158,-1.0094802930839257,-0.7862738105495203,-0.3101566824209604,-0.7025515749880635,-0.612199230496942,-0.750323798826385,-0.9544044474208887,-1.2686973455023831,-0.5971256383200274,-1.1228015118518406,-1.0701455035375382,-1.0682608496216084,-0.9887883052936647,-0.017185583170758467,-1.2420797292052275,-0.5390986841154556,-0.932457593736956
Gene,-0.08255447108887484,0.12600990858372993,-0.23446376021426435,0.44130041370013356,0.0990548643269002,-0.006572063803913668,-0.21076565980622783,-0.08305760959266088,0.36280500781626707,-0.448148261664661,-0.3042634463624835,0.15312495670323933,0.0632082114178595,0.040949516328934336,0.2862041948761996,-0.08918215937881893,0.24811584277193977,0.13813139195748964,-0.06920196415564629,0.14966011606130553,-0.13680612247487772,0.05850337322774544,0.04318816989367288,0.3265944084252663,-0.14579256856700493,0.15606331344799196,0.04404537705178794,0.39578133428419465,0.08222021732206318,-0.030552345353000384,-0.5360712838055975,-0.6076936557186902,-0.48311667800342795,-0.6438158203251886,-0.573374065657349,-0.31428802118547366,-0.6738101020609539,-1.0325170328049957,-1.3461153886373072,0.07145104989934911,-0.5296258819589307,-1.2752317197210161,-1.4111708257088318,-1.4410839352365303,-0.00724155183745641,-1.2910391387994293,-0.049883860179426184,-1.1540759625158967,-0.9623761701660816,-0.13366145739846394,0.03154507849036721,0.010083385687701646,-0.37054565613433166,-0.5525571878753328,-0.68360419387874,-0.07059198042730448,-0.12229177964512625,-0.7893791741733167,-0.588106743111545,0.1390907383015665,0.7682974917716202,-0.4114177962748727,-0.06161159143418626,-0.1359720844342132,-0.2094496573359751,-0.516920324454112,-0.07842902151339867,-0.6841700715108403,-0.5094181690997542,-0.939015662777436,-0.535060380640244,-1.0181003560182142,-0.7959431332341138,-1.0381581132786561,-1.0056754892391961,0.26660216912850665,-0.33231197439018695,-0.10471569976034896,-0.44395568647037437
Dillon,0.3100852225084773,0.17027936008890615,-0.40854540300652803,-0.2885621428202066,-0.16214273450108563,-0.128234241161142,-0.14318011709642958,-0.3831907693603945,0.17829546077119252,-0.30698111274416173,-0.11076980912217502,0.27250642828238236,-0.3655485747888435,-0.4065424665941777,-0.21948409232011284,0.5873209283194395,-0.32911517176796834,-0.44360092449772337,-0.15923232279377333,-0.27045989958504635,0.018038398530131988,-0.3872323834909001,-0.8367390813359936,0.19108590738035836,-0.03114725773244089,0.43979047655519243,-0.1144139600039556,-0.12129975470144275,0.22192526722704436,0.12823355517342055,-1.2962748931826906,-2.1169416520838285,-2.403088780761398,-1.9233891644340555,-1.5432186696258179,-1.1475628400658955,-1.275016198046645,-2.507536595075642,-2.23119372336325,-1.4774641736040162,-1.6808389322687476,-2.9169561547139438,-2.7097086553478933,-2.7966050655383135,-1.7978058747183105,-1.590376363954581,-0.9030253784792984,-2.575469037341038,-1.928611162431206,-1.9042425157527807,-1.1327773805877437,-1.0761275261700367,-1.4269272113406695,-1.5838789657063108,-1.4284190981776077,-1.297650866258458,-0.8113608843274868,-1.5164500685333304,-1.300017539749248,-0.7956657673705614,0.07383481677321672,-0.9532671707981163,-1.2458936562488478,-0.8348934931402973,-0.09230402032158906,-0.824884902253784,-1.1168675343141716,-1.3129188439697215,-1.303351881734158,-1.5141152928079056,-1.3104215277016924,-1.8172461850309527,-1.586700597674262,-1.3730261865748363,-1.367598347743038,-0.29108805693706713,-0.40992108036368563,0.03777928072733572,-0.46838778293619526
Marcia,-0.10633464945661263,0.14870907042959067,-0.09713345978100772,0.17544954774522212,0.039038093859037414,0.11700803051549995,0.08319701492639431,0.013889992613751947,-0.0989970667107325,0.1703117338849886,0.045171563352568986,0.0693270738134245,0.49259318099468885,-0.010944605043342746,-0.016405273510447526,-0.22577719858065182,-0.25739992272572704,0.6059624618040831,0.09202406578696606,0.2950379648942941,-0.3567392698471141,0.4954603832833289,0.4336146665394554,0.09277597675583343,0.17297047315199143,0.25014505680600047,0.19794162303738116,0.3421564219035694,0.08706675301724547,-0.14097723492848047,-1.2832990573560015,-1.1385399639532365,-0.8811182017443907,-1.543424758202681,-1.1997250845410918,-1.1859751858917356,-1.0650881845940006,-1.6904479672504935,-1.4736948326337664,-0.8889791346612482,-1.3909877885303081,-1.8494381416511039,-2.169921629987148,-2.2768864806705706,-0.6857113284504243,-1.1150065589927085,-0.7654982673498736,-1.8917543110856845,-1.1590779922433614,-0.64234559314022,-0.48107380590841875,-0.14732270155031166,-0.12705266413633146,-0.2952010491283931,-1.5531353072456817,-0.6438010750537969,-0.5959937193405419,-0.8488134127839156,-0.8311818674960647,-0.02520064406528877,0.20415590551606433,-0.4048299483411852,-0.6320262936310247,-0.3608401307861704,-0.20232586230090344,-0.37059609449402553,-0.668425736165013,-0.40266097312632854,-0.5868541466159091,-0.8855744847832596,-0.3268450859641777,-0.9115481793014849,-0.7242765871056516,-0.9085667942801233,-0.8793748173291301,-0.0640529686613828,-0.9169174142037387,-0.4209446081120367,-0.7147330408447392
Annette,-0.7990912339889084,-0.520230007288736,-0.3557555600912826,-0.2065474316302711,0.0038810593084380503,-0.2594884313309713,0.30381575809381484,-0.7007053280403416,-0.31027612692146644,-0.530934404889562,-0.5827762928431964,0.17065839503959462,-0.2758228030310514,-0.4166232459275643,-0.582748170894528,-0.8803464901627928,-0.7665787193035243,-0.16421047918392243,-0.1270059766443536,0.16745082180814647,-0.45829881134839984,0.007459545674238954,0.05895168553513665,-0.5749953068440881,0.1795730730422652,-0.3101291227061724,0.22419360023426788,0.12523051446171143,-0.2637768154041508,-0.3500876049988788,-1.8673202318601883,-1.7934983353502627,-1.4627414365110625,-1.4944192996409833,-1.642345379050156,-1.814742377596731,-1.5800993986339056,-2.1777521850054784,-1.2366806800410628,-1.4796996156454119,-2.0002773638089404,-1.6706887248564406,-2.6560503574298133,-2.472952113559848,-1.0211491060190132,-1.894823253249914,-1.4741677043170673,-2.4933840363033624,-1.0014616109835741,-0.2571494496539693,1.0274584558818691,0.3891821820822192,0.11262667929810577,-0.2267554137075047,-0.7633511643057637,0.2142834324214732,-0.005908763342827523,1.097353416274996,0.8178889515476089,-1.0724777952198574,-0.26507679163846287,-1.1181271066910174,-1.3928866742281285,-1.3929864593328358,-1.1692078633949767,-1.3879369159318338,-0.6065656464919057,-0.30704061097707264,-1.6838367904654503,-1.4461931666873633,-0.774095174188669,-1.8117397024470776,-1.2547021318868647,-1.0209726185977313,-0.6904830171978779,-0.29935432553058733,-1.799053957057541,-1.6010052979999598,-1.2235793248100557
Gail,-0.3247948674389242,0.14192958133065606,-0.15153130001954673,0.04540255324643819,0.33390810636815177,-0.04655208081342027,0.31007805606378885,-0.15502539744508184,0.089997544262654,-0.7612165292887462,-0.2675235261295936,0.6865246171757309,0.03870921573229242,0.029860157609996572,-0.13235870230529875,-0.7763999498906876,-0.863058277456525,0.13775272106232742,0.07525345796020246,0.2748453068548497,0.2579668659138593,0.17758734284276745,0.07226111506460525,0.05652135836761222,0.3895324440242248,0.4143219508711619,0.24935129144218063,0.2537156867719572,-0.03636130600987214,0.38787077466652503,-1.1557097770956932,-1.4881358846534736,-1.2148398745694828,-1.4914131556098111,-1.1207422722528124,-0.8626919549098779,-0.8881355302401873,-1.5845687341418526,-1.7275637609131123,-1.2189002944798302,-1.185256925467605,-2.1645897103409295,-1.8871536773040523,-1.8885714160757474,-1.0295204357403718,-1.320772488649579,-0.7001456019947554,-2.147593626595326,-1.450423210955719,-1.1885384228368117,-0.6728785415828182,-0.44118551613511703,-0.7275921802196113,-1.030654882612144,-1.4588480356126639,-0.9088446471305137,-0.6917651627997722,-0.8362869868712309,-1.0976109846345148,-0.787805003521214,0.21163942558468415,-0.995296217815401,-1.1278608803355374,-1.0559011362594863,-0.5868237322760671,-0.995495182693086,-1.1261136643325411,-0.920324885776263,-1.0563640681130313,-1.5919638243292753,-0.8936470897940363,-1.4742817933568013,-1.3377067549813444,-1.3114486727724253,-1.2572812572755518,-0.03725759476345865,-0.6632785936607316,-0.5258745067352009,-0.7074881788785713
Courtney,0.24684647484718902,0.5102026228364756,-0.020077738467590908,0.07676101753522947,0.10205394394168751,0.27427922812234673,0.0019252073131296279,-0.29198370910887644,0.23167130578358422,-0.6387576649646917,0.23563720904465843,-0.0023859282964880857,0.1848585824923669,-0.24163611574571983,-0.015203833407565374,0.5234301328632477,-0.40766307900416915,-0.03038782818236331,0.15087260416239331,-0.16110714445769364,-0.2162514985354913,0.12537162190248172,-0.3704780277776658,-0.012619090308805727,0.009323998567250406,0.18315841160320392,-0.06631545473333943,0.04305727909262088,0.2618490276934714,0.30929770495649034,-1.407597832351212,-1.7584114352387694,-1.2660091049682063,-1.6032500627836168,-1.2620923358689016,-1.2463242113303272,-1.175915393432441,-1.7406570907313523,-1.9125774869932426,-0.9123481383167761,-1.2271043994764455,-2.0947080721314517,-1.9864175976882563,-1.7994157833628586,-0.7225779491001129,-1.4051865758436488,-0.47069478771981216,-1.956332635876435,-1.3439078059116372,-0.7243175074078201,-0.502953180038046,-0.14410637347597902,-0.7074275791596193,-0.7558323836269943,-1.4768934736552906,-0.9724228792698947,-0.5118412485683834,-0.9873687857562744,-1.2623846390796907,-0.5729505611261945,-0.03968165465331471,-0.836656540942973,-0.9660861954405644,-0.8907339272338048,-0.4390652348107928,-0.8311955029686353,-0.6434639177091078,-1.004851824029281,-1.0859983982784498,-1.434816808988798,-0.6738092165823834,-1.278765675808313,-1.206878291705735,-1.0564560725916408,-1.3312344813085621,-0.10274558137490146,-0.9045691236190372,-0.42529472798558676,-0.666538342820913
Ruby,-0.24575405524304528,-0.43898218350596174,-0.12160405929758851,-0.5631595048710045,-0.055263418702894064,-0.1804016908961463,-0.0005758449560117467,-0.14796673741473115,-0.1046220245326919,-0.6287989797651017,-0.5554964932177807,-0.2605532895463014,-0.10882971684320412,-0.0388543189767422,-0.21162261183926157,-0.43588878618666016,-0.28301695598823584,-0.34363197618244323,-0.01722040113353181,-0.2265451034517814,-0.3327310888596147,-0.04686637612611433,-0.8832780444571834,-0.3074241168616289,0.04626831330429603,0.008520669736073662,0.03234638636025867,0.15576101468191683,-0.3150860743011639,-0.06965777663056485,-1.12094612548814,-1.3274947162083652,-0.8293476596200691,-1.3632571290496187,-1.0688003548043328,-0.748667732529602,-0.9484231046463417,-1.3635728475817637,-1.643602500685982,-0.4087767437178771,-0.7277552156668092,-1.6119221204035221,-1.6222915643086835,-1.6127991905608925,-0.5068068282923738,-1.4128217394744407,-0.3706203593434321,-1.496469888165113,-1.1072445117871135,-0.3978942951755454,-0.3479684845958608,-0.24611426432267472,-0.36241307391253363,-0.5323554837991723,-1.1638738416183232,-0.5056389898161309,-0.20216034384691337,-0.8286753176390844,-0.6805888763744118,-0.37835560339489205,0.1239606615463915,-0.8869758926316101,-1.1326493978232925,-0.8376273629657134,-0.5307965789348209,-0.749138851888044,-0.6509658890893284,-0.7231940182788935,-0.9179320079747345,-1.3060704256245106,-0.6415787410049175,-1.1967784720721835,-1.0835148743679537,-1.1148711415090264,-1.1469430043961555,0.22256619417070694,-0.44894545568910177,-0.3956349915696484,-0.3643975352405064
Jessie,0.13550790305786684,0.024986891802059708,-0.11480192404624744,0.06953923215726161,-0.14093853251223057,0.20856510078411314,-0.4212740145145771,-0.8947451526509594,0.3260558683548131,-0.5936900191202495,-0.026692329926180567,-0.2434217710482802,-0.34574090441920735,-0.274297386550665,-0.5842913776416878,-0.5537331423335534,-0.7120089487946385,-0.2929747646071701,0.25580343229689956,-0.3803786140396094,-0.32121069198452057,-0.09240734404244752,-0.26602470578798737,-0.005833348222618026,-0.036441082753005755,-0.028755876979853632,-0.2002252989896775,-0.009148964846631866,0.20847926415754098,0.03415349174374246,-0.9562221482974942,-1.2495505440814587,-1.0869015534544104,-1.0246399548778484,-0.8346952579607476,-0.8136066922028017,-0.8379513095350221,-1.4550737005532752,-1.5410167456211803,-0.4597857086111782,-0.7749308014310551,-1.3016174741119197,-1.3865319873734743,-1.365447945839431,-0.4554528261643255,-0.6515629069706697,-0.1076121755950055,-1.4962213440345322,-0.9517216898451386,-0.48021994932107437,-0.3551327086000758,-0.3618578563786182,-0.5401803657353184,-0.6794123382795837,-0.9889665113335923,-0.587027489422008,-0.4477519535243301,-0.4979508655916707,-0.8280082162549784,0.08515499276124303,0.3938691113025606,-0.32839743029749113,-0.4031777950576263,-0.4183749483290834,-0.04342727276976067,-0.326121465763395,-0.4839455311335983,-0.6439045623881997,-0.7388311688783712,-0.947304103561017,-0.4725768363112069,-0.9698542046935968,-0.8316813035934317,-0.738037999634344,-0.9020085188804996,-0.01473918362857825,-0.4461375505763967,-0.04959800223818963,-0.2843100636467519
Victoria,-0.10821773278281784,-0.24345107635053803,0.48870252732472563,0.2563178839056672,0.025166827737913736,-0.10352975154114652,0.14903696051862547,-0.2415920603928364,-0.3526756871834999,0.5205895066126033,0.44036053364261435,-0.4364665498588744,0.23846846288259738,0.31122624933343623,-0.1868058261427354,0.0016575461744764062,-0.07155277639564132,0.21041363105134794,-0.13159110627724346,-0.22205072117512947,-0.46258236603565506,-0.001558228862820813,-0.1330679472664976,-0.15263788564791983,-0.08253884169668976,0.06143231654210907,-0.30193723467533,-0.29426604398755807,0.06765877471737868,-0.16825091190721875,-0.3566565943816253,-0.718347285629151,-0.5489600602323911,-0.5959109079871469,-0.2051629654763891,-0.3429517497741343,-0.12097705657243027,-1.0028313644595728,-0.5987114944296603,-0.5855674187401397,-0.4777777279837292,-0.825979612136071,-0.6949096343325241,-0.692463581675435,-0.5108726802586379,-0.2393789146460253,-0.7143120683177024,-1.1412579010594148,-0.7181555481025974,-0.3811416358049129,-0.23448953434004438,-0.009041861113041878,-0.12602440979138652,-0.2647266294058958,-0.6575110462576412,-0.3315351876649171,-0.12626565549799326,-0.06982894501656149,-0.18637726348078767,-0.17336467965136443,0.33454904040321454,-0.18025449773692445,-0.358400377630922,-0.47869988043783757,0.15119415173179168,-0.20952451825679935,-0.1408790933502598,0.2623068007048106,-0.44606854174870725,-0.23933520699172162,0.06349461742077869,-0.32466005762817696,-0.046208051508195444,0.19445905943910954,0.03867987435140043,0.6561018809839624,0.020038811751804102,-0.07747650240257942,0.3096773100559942
