country,religion,direct_correlation,indirect_correlation,same_correlation
Nigeria,Buddhist,-0.391278136898055,-0.10732536196198593,True
Nigeria,Christian,0.7988503907720309,-0.020742061385365572,False
Nigeria,Hindu,-1.1536092947514178,-0.027187310543198586,True
Nigeria,Jewish,0.7170030459973149,0.09118337215420402,True
Nigeria,Muslim,0.8658332985837095,0.2801538664034281,True
Ethiopia,Buddhist,0.2576974391117057,-0.009309592358335504,False
Ethiopia,Christian,0.8231320734530565,-0.14159440964579378,False
Ethiopia,Hindu,-1.400953274949312,-0.019293219128871775,True
Ethiopia,Jewish,1.725460522007101,0.27230380990811,True
Ethiopia,Muslim,1.005182302480391,0.28287558090421056,True
Egypt,Buddhist,-0.5636820198544625,-0.09435424765873104,True
Egypt,Christian,0.07812444286656167,-0.2738211551012189,False
Egypt,Hindu,-1.2258431754558237,0.02104153066843072,False
Egypt,Jewish,1.4520043683816657,0.3115333573963816,True
Egypt,Muslim,1.2345440776619745,0.345124070928047,True
Congo,Buddhist,0.0153283467463937,-0.002230292491773245,False
Congo,Christian,0.7814048296091551,-0.0565285392947486,False
Congo,Hindu,-1.2980760508802178,0.004278233798180236,False
Congo,Jewish,0.6188697453766019,0.03801364341945581,True
Congo,Muslim,0.6495136253228564,0.26970951588911496,True
Tanzania,Buddhist,0.3228565108801746,0.050304633495629913,True
Tanzania,Christian,0.6911770442741763,-0.03169691378631773,False
Tanzania,Hindu,-0.9432172240937264,0.03641459079164165,False
Tanzania,Jewish,0.9210004879540832,0.0851504742460529,True
Tanzania,Muslim,0.9212438692775772,0.2883416894316995,True
South Africa,Buddhist,-0.25177147216663176,0.012224273922578284,False
South Africa,Christian,0.7897049350930879,0.023177488401005517,True
South Africa,Hindu,-0.5457851292315643,0.036401722380679916,False
South Africa,Jewish,1.2685797990116638,0.098571036074394,True
South Africa,Muslim,0.11494851172948756,0.1126861794082048,True
Kenya,Buddhist,0.3394445530047171,0.10883897803825644,True
Kenya,Christian,0.8137868247510153,0.07439529808062519,True
Kenya,Hindu,-0.8504898158048939,0.06528183790962347,False
Kenya,Jewish,1.177395010671927,0.14159423186400374,True
Kenya,Muslim,0.7222952458967741,0.2256910214363461,True
Uganda,Buddhist,0.3411252276287928,0.033412025930859776,True
Uganda,Christian,1.1105502273273145,0.022848655364292488,True
Uganda,Hindu,-0.934504375600484,0.009770167299723593,False
Uganda,Jewish,0.8865744386645129,0.08081626104501177,True
Uganda,Muslim,0.5737944413639041,0.22166895006814086,True
Sudan,Buddhist,-0.2612608252335286,-0.051822678912438885,True
Sudan,Christian,0.3573709245273091,-0.11642268767353407,False
Sudan,Hindu,-1.161836457488156,0.014554297178666225,False
Sudan,Jewish,1.0631723485957836,0.18733073772517125,True
Sudan,Muslim,1.3249092272669858,0.4490827803194024,True
Algeria,Buddhist,-1.452963435259754,-0.13315038341616195,True
Algeria,Christian,-0.3756790283244985,-0.1801579702223004,True
Algeria,Hindu,-2.806286377314157,-0.07869340185397487,True
Algeria,Jewish,1.1013174695942212,0.16826084135178918,True
Algeria,Muslim,1.3381093055298066,0.38565880310594586,True
China,Buddhist,2.126778804678077,0.35585339455830345,True
China,Christian,0.30696378045802764,-0.04642421230128863,False
China,Hindu,-0.8101538494459096,0.07825710025583675,False
China,Jewish,0.36186779798378216,-0.0011662849232829133,False
China,Muslim,-0.0837334943965813,0.128484824925944,False
India,Buddhist,0.4435251744422367,0.2824566988824112,True
India,Christian,-0.2082833852443615,-0.16069381312150244,True
India,Hindu,1.4959622049022026,0.4608057305294521,True
India,Jewish,0.016273308849877842,-0.04117470905163456,False
India,Muslim,0.1137745744672926,0.3068186533036906,True
Indonesia,Buddhist,0.702071608318678,0.3310070998241041,True
Indonesia,Christian,0.2242356207720304,-0.06337901928492125,False
Indonesia,Hindu,0.30504758901824763,0.3459288558055257,True
Indonesia,Jewish,0.7159047055013931,0.09887864253654637,True
Indonesia,Muslim,0.8308790294649647,0.3851662899624701,True
Pakistan,Buddhist,-0.3486546657650916,0.10278304203839866,False
Pakistan,Christian,-0.6393542861703119,-0.2044194962066226,True
Pakistan,Hindu,-0.18668387658014726,0.25204024971254474,False
Pakistan,Jewish,0.2769985725452601,0.10981630979107064,True
Pakistan,Muslim,1.4092550108413175,0.4970472037042855,True
Bangladesh,Buddhist,0.717259716847771,0.22061694694303274,True
Bangladesh,Christian,-0.7358199542103662,-0.1590349035830138,True
Bangladesh,Hindu,0.4369477912902469,0.3191677632455655,True
Bangladesh,Jewish,0.3858149629575501,0.10071275428965093,True
Bangladesh,Muslim,1.3448947488132947,0.4656611901425531,True
Japan,Buddhist,2.166730843563234,0.2890151458981675,True
Japan,Christian,0.712580131724381,-0.01425708807832136,False
Japan,Hindu,-0.4190440743323042,0.24785268612992575,False
Japan,Jewish,0.720616065919426,-0.10648993268698584,False
