index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,water,coffee,tea,juice,milk,soda,alcohol,liquor,beer,wine,vodka,whiskey,champagne
Erik,-0.06770546642118809,-0.23434244610421162,-0.7903120281113775,0.12563480131178284,-0.32710838510393775,-0.02051949346977507,-0.329744148382514,-0.21035520406177155,-0.20271827358244202,-0.1322563192985176,-0.3613743929101023,-0.3972030973956415,-0.29610823844440676,-0.24502558146178777,-0.3468447603457194,-0.17926612991596447,0.2693899812886799,-0.289570752387408,-0.3066757444162693,-0.39401721613584595,-0.28379019718443343,-0.2052401016164865,0.4338224559916038,0.06959788157056339,0.15916785654440016,-0.285327120110091,-0.04132726706895034,-0.3820084187626029,0.011146331553723549,-0.31810437700265076,-0.2147334075136189,-0.05611439116340181,-0.33021931782974023,0.1611666181740811,-0.10711844002214714,-0.032249480503848814,0.3374838983703723,0.36186967031375783,0.2833382401303251,0.2103583546999992,0.45062559481075776,0.36816198324553384,0.4194974454521294
Jennifer,-0.3744748488531465,-0.19411249996575622,-0.0542048308137423,-0.10751349939609067,-0.1437720584034619,-0.07676165478528345,-0.11753125691832296,-0.3700341736178714,-0.2428054369684752,-0.5487678672991726,-0.334899386946209,-0.3449310998575847,-0.05154480946815197,-0.11311053875833368,-0.4163271819499518,-0.07062401991516501,-0.3456144511193489,-0.15127225810410683,-0.3035965346344658,-0.135224110204148,-0.23106669604507868,-0.043544017539565175,-0.3082886891888404,-0.3633163050930374,-0.26396245443442434,-0.18633460265424673,-0.14411286817203714,-0.1461946460267717,-0.12360792874395127,-0.2549883083679819,-0.026628895849824093,0.8149221070306325,1.4159376293797423,0.26797754581011535,0.5879390382942338,0.1720854868183049,0.10780541314305839,-0.27699772522589466,-0.49706479415291244,0.2770531710197864,0.16547609523001575,-0.5882056950102766,0.5353703075339411
Shane,0.273938854096769,0.27760276321157523,-0.22321528227100312,0.25701092168319534,-0.045916181889227914,0.2842517791724637,-0.3938586909616926,-0.24741305596065297,0.20840983351182651,-0.4261258987022281,0.25792460485556984,-0.19411736389370735,-0.4428841397124482,-0.21271752974629876,0.1287291955019929,0.14155139294531918,0.19725680531883186,-0.5252837036579012,-0.24265747854007344,-0.07615818741311747,-0.22047095711099665,-0.47338276976593474,-0.24628264836220115,0.44373228691053634,-0.21924667470959816,-0.2720835852655886,-0.5581517647752391,-0.14142727663525537,0.32161526933763335,-0.13958341043631708,-0.12371623280513604,0.013362540323811924,-0.5425478724662347,0.06921877741889873,-0.5708556134955477,0.2632229772038367,0.22092219477178143,0.32516059525093693,0.4542619189633208,-0.27469577163491427,0.20464101549415734,0.242152517254669,-0.11069226763915384
Alicia,-0.45158377025125696,-0.5454283750375435,-0.26871168684064956,-0.23500103387434806,0.03417839879043596,-0.1920584413603064,-0.012859311740993296,0.058505777477741876,-0.8646274147313401,0.45620927486400714,-0.2617210028938613,-0.3851504275467026,-0.3682248268900043,-0.3145067474567274,-0.4304166688443732,0.3570096714503338,-0.09819953968181426,0.027880434242598975,-0.08343693713911671,-0.24447686960308052,-0.20470724243436453,0.1208312926928737,-0.399637948714879,-0.4725013942972097,-0.15245587189844667,-0.45765248438387607,-0.2852489603391544,-0.39753235857071895,-0.046172851914704785,-0.5624896627595654,0.1603008877454247,0.3471973889862245,1.1837318517077444,0.3546104587241326,0.34705533429726315,0.2461439030748911,0.35618526853198046,-0.038463959669135205,-0.3824506280150635,0.24638393296635563,0.4173977814896738,-0.46774567959197166,0.6877843387975188
Grayson,0.846778172939094,0.5971070384334871,-0.635118370394789,0.5967040530614964,-0.3173219073654187,0.3338696612205702,-0.0023002306052207996,-0.16196049998798023,0.5574849897805962,-0.2968393422216735,0.18320830986123585,0.4804457979941489,0.36640518619622847,-0.4785160248382695,-0.03177992583560764,-0.13897945512773266,-0.6586049889792769,-0.27144776052042413,0.11256250873688496,0.10247256928882054,0.027232292464290913,0.33993147257817474,0.35910000939926534,0.32477618528650887,0.5570368928049567,0.2806922560185036,0.17617905960982008,0.28361032940664077,0.33112046701493614,0.305385249097186,-0.27166657511703646,0.1452391588864506,-0.6652807033954709,0.061519785243269405,-0.3130805772930679,0.3006499298903758,0.1659133345946392,0.5339281372834828,0.2851504664135107,-0.24313495944732771,0.4194774159984284,0.3610144443856531,0.5041182631796799
Cooper,0.485707648966442,0.47440176777549814,0.04179541228164128,0.17572382864991468,0.17588496689098973,0.29880682117918295,0.2065889629533393,0.08390207366675188,0.36277017638886255,-0.7580650649960933,0.31655933079052356,0.44512305595291296,0.23603766875285523,0.16384216922203879,-0.035446495904055346,1.1108514580170332,-0.20669760339605536,0.09008201910920474,0.362780907203365,0.1211267307485302,0.19484079346001937,0.006681485041286488,-0.0757617287660709,0.30914938601896697,0.12639507533077923,0.489640356052895,-0.22583337159060196,0.02567742668759256,0.5418408634110502,0.5062112218105499,0.17645820087829703,0.05506482521149461,-1.1578354696264688,0.09057882368224489,-0.5370452951987545,0.20708816485562392,-0.09052446345866202,0.4096828982777315,0.34620951407455874,-0.44775698551321136,0.19716056787975786,0.44159950712289486,-0.04527648036749742
Jay,-0.01933458720436938,0.12897362909175866,-0.07908833328187358,-0.15549809352908492,-0.3980238363232519,-0.14857651611621767,-0.27693788143911646,-0.29107360612460104,-0.024352763956980703,-0.19664782613131382,-0.1523595037380448,-0.015838434127350528,-0.09843984332421209,-0.1719534751138352,-0.06272861920344404,-0.14337373247954655,-0.1980529502694694,0.020945280229333705,-0.015961873804313985,-0.03747043737560962,-0.0858157424584441,-0.21572599760049205,-0.24210728192446374,-0.009512737885171912,-0.4025069402003824,-0.09242702437730381,-0.12071054378460222,0.012268942525809191,-0.03753548968890205,-0.20330121096725348,-0.18949519937011847,0.49809474742473503,0.13600794089712293,0.14374424665960836,-0.06426623506421643,0.2287225201990951,-0.01143090528527739,0.023650910986071493,0.4182093251217953,-0.03808565461848103,0.39684567014031413,0.21479101273367962,0.012713565770430582
Floyd,0.31511257335537474,0.17573979463561062,0.15805767499410356,0.29622016588365435,-0.0502420367114532,-0.06882208787360994,-0.12932297902529477,0.34120824100169483,0.5093232441461263,0.022826304472459077,0.18479947453785991,0.7493126653197383,0.3726297835454442,0.01590330246154242,0.6939687210200481,0.008552363364061288,-0.40662680196281137,0.17286287040165269,0.10299066692085443,0.47616104080115607,0.2877095096311158,-0.20240985306507603,-0.024973753972857456,0.5976136242474368,0.3521154381465082,0.4853109537441374,0.30922255008473476,0.40524615325543406,0.29440338776398434,0.25592696760376094,-0.2511412094057889,0.01114008062925096,0.15764520853064679,-0.24493391075332377,0.028093863357734734,0.3761746775456773,0.41028041147444905,0.38608081378521963,0.6361500814795757,-0.07824370077917688,0.46680278165919,0.7493243680839068,0.1974351832355918
Pamela,-0.4662152896685891,-0.2862201623175649,0.42541279233621304,0.031982170483267826,0.07422595335041436,-0.11771800229298765,0.23130907322598737,-0.4493762907528335,-0.21176742845930133,0.39612654695467386,-0.21977189451715956,0.3421695437631377,0.06883193700061699,0.03588608986966361,-0.23245394971782368,-0.1437945336143416,-0.4725816712465737,0.2721154191776972,0.012653614410556903,0.400349344841654,-0.2924183986276096,0.01170541744668128,0.09761361688004297,-0.47646436979616635,0.3186165753665485,-0.11362824940542282,0.1014230070015094,0.031904223754363956,-0.0032585018848520775,-0.12259333283103487,-0.12860442684956022,0.3609463576697353,1.2427030119502933,0.04233723015366496,0.7017098680349,0.13740857854786323,0.41020354210756393,0.22308653430137118,-0.5512790630220156,0.2505760483958163,0.3803037680228711,-0.35078426514121963,0.8121800617263591
Franklin,0.13218538892160075,0.23727382436794245,-0.1857604146587432,0.21574993311466964,-0.22642177530315846,-0.2997130596068632,-0.07174545383743336,-0.2668550232607049,0.22495450494661084,0.16019560169444258,-0.06675755120251169,0.17369900214498193,0.210238224349322,-0.1618258720170061,-0.02206857543511905,0.008072506436552121,-0.5298042097330582,-0.051953901451002156,0.12491607384969501,-0.012690289058007374,-0.2930377410491119,-0.305268881893048,-0.5143215797965004,0.040208714366186095,0.17076989298267506,0.2654167117624842,0.13031287130717675,0.23977774359201,0.26680054605362963,-0.05276840413397891,-0.16623035357282148,0.44489017815896553,0.2906745458970716,-0.037474037683083855,-0.04856116797433573,0.24101968492022635,0.2708861331494022,0.3105213580750245,0.2740634555474505,0.06277827500807963,0.06652415547174452,0.6570796019948815,0.3179741842483623
