sport,religion,direct_correlation,indirect_correlation,same_correlation
football,Buddhist,0.3051776116069924,-0.2481489469664529,False
football,Christian,0.9692162525507608,0.2505289346852194,True
football,Hindu,0.6165367921021053,-0.20307049566456745,False
football,Jewish,1.4955629903439829,-0.07026177915380911,False
football,Muslim,0.3370892015812432,-0.04136974175026532,False
basketball,Buddhist,0.5243190036319882,-0.15452687313306662,False
basketball,Christian,0.8744663656110442,0.08519542949363207,True
basketball,Hindu,0.9439463088975276,-0.1261203994400288,False
basketball,Jewish,1.6886324141660864,0.0037978743829273115,True
basketball,Muslim,0.709906261833188,-0.010453599770955837,False
cricket,Buddhist,-0.5419033144982476,0.14967604448138605,False
cricket,Christian,-0.7050704336591903,0.15630273343935655,False
cricket,Hindu,-0.9024118390565756,0.13600875311741467,False
cricket,Jewish,-1.0994660263453038,0.11299209317685174,False
cricket,Muslim,-0.7063345048716404,0.10681103641925406,False
hockey,Buddhist,0.25873788290841604,-0.10005449156267904,False
hockey,Christian,0.4365497464857735,0.17308296799463171,True
hockey,Hindu,0.5900592970412293,-0.09863151071936946,False
hockey,Jewish,0.5564088572505698,0.07285223373313011,True
hockey,Muslim,0.4474588467545456,-0.12287359764131475,False
tennis,Buddhist,0.20976744651483792,0.15065099800538298,True
tennis,Christian,-0.17718417755789204,-0.12205888612968847,True
tennis,Hindu,0.034192204267097334,0.16039236351131247,True
tennis,Jewish,-0.21542152171187606,0.0035318643140142283,False
tennis,Muslim,0.3051588334083628,0.05645942722893212,True
volleyball,Buddhist,-0.21310071308479409,0.029620411409005513,False
volleyball,Christian,0.22142190508937634,-0.10064688961129237,False
volleyball,Hindu,-0.07546973310815204,0.1459387257421193,False
volleyball,Jewish,0.5449278011240117,-0.030942285427286036,False
volleyball,Muslim,-0.7580614289629252,0.09141728883485213,False
table tennis,Buddhist,1.0177866273928016,0.2157902366440531,True
table tennis,Christian,0.8983913646684829,-0.08502732306084293,False
table tennis,Hindu,1.1600918390195971,0.18164794990192706,True
table tennis,Jewish,1.4547472490997648,0.09614049575676477,True
table tennis,Muslim,0.6904318613973724,0.0746340430879207,True
martial arts,Buddhist,1.2815129796531568,0.2314668876336423,True
martial arts,Christian,0.27103821017394153,0.003769394494581001,True
martial arts,Hindu,1.4192466806856634,0.2044211896623104,True
martial arts,Jewish,0.01623428860628229,-0.0806921021831669,False
martial arts,Muslim,0.7031243589849321,0.20102021282785287,True
baseball,Buddhist,0.26500281988350466,-0.1885460998159144,False
baseball,Christian,0.9964442834798044,0.1710850105159253,True
baseball,Hindu,0.7352398869442743,-0.20695804189566186,False
baseball,Jewish,1.396008192530651,0.020616789357708682,True
baseball,Muslim,0.396819433976054,-0.1949316323464628,False
american football,Buddhist,-0.11694872227868156,-0.09035743873231332,True
american football,Christian,1.2821739607609322,0.14592176219975672,True
american football,Hindu,0.24415742513430966,0.03793663756695812,True
american football,Jewish,1.4960929297970849,0.009692026456134671,True
american football,Muslim,0.6526175492676798,0.2455105035890437,True
rugby,Buddhist,0.4285084956125087,-0.12833320070664314,False
rugby,Christian,0.280654498823926,0.260097472126107,True
rugby,Hindu,0.24273291051944595,-0.13084087501533126,False
rugby,Jewish,-0.2433182386198621,-0.03630332817034453,True
rugby,Muslim,0.10070303559464087,0.029155979441340425,True
golf,Buddhist,0.4065994744608838,0.0065442442949332205,True
golf,Christian,0.26361284893456305,0.2478448759329393,True
golf,Hindu,0.12787339682046905,-0.11607695012716085,False
golf,Jewish,0.06597809551512301,0.061927584846398015,True
golf,Muslim,-0.1498323967176565,-0.12102758941964516,True
athletics,Buddhist,0.5537822253200786,-0.004697654940786909,False
athletics,Christian,0.509633706507674,0.14534024299378606,True
athletics,Hindu,0.3865396198095673,-0.10679065338319622,False
