,occupation,country,direct_correlation,indirect_correlation,same_correlation
0,accountant,Nigeria,0.4730725901926362,0.1435255306448214,True
1,accountant,Ethiopia,0.09931589310462936,-0.2458737263761324,False
2,accountant,Egypt,0.2226553379937036,-0.24228681128535545,False
3,accountant,Congo,-0.02216863211737571,-0.2261106340746623,True
4,accountant,Tanzania,0.5528899767462997,-0.12385512487943645,False
5,accountant,Kenya,0.5673744539917887,0.04163943535642856,True
6,accountant,Uganda,0.4845417173539665,0.07390169916466548,True
7,accountant,Sudan,0.09435953603720468,-0.14555007679721324,False
8,accountant,Algeria,0.1953929566557212,-0.07179684645276893,False
9,accountant,China,0.32578170610238216,-0.30090780624214397,False
10,accountant,India,0.3670283137512032,-0.1719197757806321,False
11,accountant,Indonesia,0.618587754595064,-0.2277847096425621,False
12,accountant,Pakistan,0.4799709612558466,-0.08919523186293378,False
13,accountant,Bangladesh,0.5558728667219447,-0.031031939795572363,False
14,accountant,Japan,0.09996754336997726,-0.3034387652386318,False
15,accountant,Philippines,0.21619207820277134,-0.06395225282597268,False
16,accountant,Vietnam,0.20172509841601516,-0.09309742244938472,False
17,accountant,Iran,0.3428410661766106,-0.22855960767606245,False
18,accountant,Turkey,0.475588845957866,-0.074778635849743,False
19,accountant,Russia,0.20293410646090898,-0.3160140590110285,False
20,accountant,Germany,0.3346805176002127,-0.0036693405416721673,False
21,accountant,France,0.10023010553872323,-0.18293617321439504,False
22,accountant,Italy,0.271822739854201,-0.19599574995149735,False
23,accountant,Spain,0.09079377189703676,-0.30444339578860424,False
24,accountant,Ukraine,0.1801193239269123,-0.1952837119433058,False
25,accountant,Poland,0.02595269853324201,-0.06577324883807041,False
26,accountant,Romania,0.3695540495701586,-0.27108494767496244,False
27,accountant,Netherlands,0.14323451352920502,0.050255055202565777,True
28,accountant,Austria,0.28098299279182776,-0.04395654356584172,False
29,accountant,Mexico,0.11670529748854627,-0.38704140957042543,False
30,accountant,Canada,0.2728214269726917,0.2045749919609276,True
31,accountant,Guatemala,0.11123263029996476,-0.3057965580930037,False
32,accountant,Haiti,0.041658945819932035,-0.1534928555637602,False
33,accountant,Cuba,0.26702273029349244,-0.20840130955446468,False
34,accountant,Honduras,0.3856408344301152,-0.14412026178536858,False
35,accountant,Nicaragua,-0.03691575014359711,-0.2772868991228515,True
36,accountant,Brazil,0.3136582627745374,-0.2291329883501124,False
37,accountant,Columbia,0.5586303718772916,-0.01188415359408627,False
38,accountant,Argentina,0.3036435361539322,0.0094755194108663,True
39,accountant,Peru,0.3740064267725268,-0.26595956425628065,False
40,accountant,Venezuela,0.2737275313090944,-0.2241518504631068,False
41,accountant,Chile,0.1933848930256928,-0.1285693674549568,False
42,accountant,Ecuador,0.19854249182798872,-0.3245945539351549,False
43,accountant,Bolivia,-0.0213193469995039,-0.22786624606447425,True
44,accountant,Paraguay,-0.007734061403285638,-0.05077495376531077,True
45,accountant,Uruguay,0.04535269124422396,-0.006030310122775063,False
46,accountant,Australia,0.5134903681240179,0.2599250528428898,True
47,accountant,Fiji,0.7944064671506278,0.2996327926106643,True
48,accountant,Samoa,0.40338209341261533,0.1009481344758902,True
49,accountant,Tonga,0.5247875758919911,0.1932745853203485,True
50,air traffic controller,Nigeria,0.4696065878800184,0.09496625539499366,True
51,air traffic controller,Ethiopia,0.5027748271883475,-0.09270469050182363,False
52,air traffic controller,Egypt,0.22218588134365827,-0.12445456066330295,False
53,air traffic controller,Congo,-0.04977388443643406,-0.07424550079497545,True
54,air traffic controller,Tanzania,0.7523274115468895,-0.07762450315242066,False
55,air traffic controller,Kenya,0.5304738464527603,-0.009107548266740628,False
56,air traffic controller,Uganda,0.5601900559847276,0.03626736258167717,True
57,air traffic controller,Sudan,0.4442273639695545,-0.053116047281196885,False
58,air traffic controller,Algeria,0.7229967930467351,0.03636370650083519,True
59,air traffic controller,China,0.6508738030910282,-0.15264094956794338,False
60,air traffic controller,India,0.3619350889920247,-0.10921578517568956,False
61,air traffic controller,Indonesia,0.8991090938665398,-0.056471511670370185,False
62,air traffic controller,Pakistan,0.9396139190843704,0.0012043276519938903,True
63,air traffic controller,Bangladesh,0.3222789163935521,-0.016829970086288434,False
64,air traffic controller,Japan,0.6866694472522317,-0.158573509504591,False
65,air traffic controller,Philippines,0.2873804456468951,0.021156215063671567,True
66,air traffic controller,Vietnam,0.6289853072801502,-0.07262619695297844,False
67,air traffic controller,Iran,0.7330296689889051,-0.07469118657990845,False
68,air traffic controller,Turkey,0.9427817730099244,0.010611890617777241,True
69,air traffic controller,Russia,0.4913433883872602,-0.14138438693019206,False
70,air traffic controller,Germany,0.8730721256930656,0.0782673347709392,True
71,air traffic controller,France,0.3024344837684268,-0.11034191182601644,False
72,air traffic controller,Italy,0.4200974592979597,-0.07732446743572999,False
73,air traffic controller,Spain,0.5580373037071387,-0.08507668708370215,False
74,air traffic controller,Ukraine,0.3300989485908625,-0.0449085272327935,False
75,air traffic controller,Poland,0.4688235239868942,0.06907809162257393,True
76,air traffic controller,Romania,0.3803247944336379,-0.1898817044660937,False
77,air traffic controller,Netherlands,0.5117525186510647,0.07244308764066572,True
78,air traffic controller,Austria,0.6646598334309005,0.09336020349972474,True
79,air traffic controller,Mexico,0.6277622428873173,-0.13637018499380565,False
80,air traffic controller,Canada,0.5661264281809592,0.14071105404070344,True
81,air traffic controller,Guatemala,0.659578037703792,-0.052113655231897836,False
82,air traffic controller,Haiti,-0.027880533727002072,-0.04185463445011119,True
83,air traffic controller,Cuba,0.7403041424105191,0.009476108341090885,True
