index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,water,coffee,tea,juice,milk,soda,alcohol,liquor,beer,wine,vodka,whiskey,champagne
Travis,-0.3155354255709773,-1.1988084756035253,-1.9887906348839546,-0.7292832651265435,-0.8207581461855503,-0.6178810914584261,-0.6356849755727028,-0.5632387062580484,-1.287706065762388,-1.6621801050682286,-0.7254316923741609,-1.2880860763765858,-0.7826629308514026,-1.7521371890730124,-1.8410287840503008,-0.1082058514004456,0.03328630309238928,0.08693597699474741,-1.8796972300291968,-0.7961181677576464,-0.25204272136054545,-0.1477775794791953,-0.08546324179226508,-0.572280125925438,-1.0673853127131905,0.05350826835464654,-0.4582113569451741,-0.336619816177717,-0.548436549238662,-0.4059582164979558,-0.2664244693095404,0.42414609945454307,0.5949787322473516,-0.01521307384544231,0.5570812387396178,0.40556581209087667,0.3239677841573338,0.31776741506933215,0.2280080311949318,0.2579351879327775,-0.050858778075109176,-0.27809005788431296,0.37197784901122316,-0.7174653335835919,-0.10095121249976428,0.12479931469478948,-0.33828741132743556,-0.21639711275050633,-0.3314163945269448,-0.7693517393130095,-1.1281019852171918,-0.09553139570619726,-0.3262310707002892,-0.1707880190729649,-0.1685853032134672,-0.08628068073186308,-0.7050159420700954,-0.1586177335968564,-0.8636526995242492,-0.1898142321397622,-0.44054042260274445,-0.21410572676310013,0.07230487136335886,-0.5847512146558203,-0.07070818444484797,-0.6230752725833602,0.030049986663820038,0.2640296657027867,0.468413470113916,0.4211636176000774,-0.32475132348673513,0.3316042647112665,0.37868586416425903,0.07632756660197336
Hadley,-0.11663521368360327,0.40395036036246806,0.2914878721666272,0.024779500942742342,0.5108669628472283,0.38894024705972696,0.6815552327830288,0.022784325706396803,0.05162424487848676,0.3840800643239365,-1.0398865664819823,-0.3578368370663527,-0.862941699991518,-0.1583531456183442,-0.4377130391412405,-0.8394700785824394,-1.4237670012127635,-1.2487482617236767,0.33972979825203914,-0.2960570700047529,-0.8605726832992748,-0.01048490534703929,0.7442631776104035,0.5238618781910731,0.08809983529644987,0.03842800458550435,-1.506951911368462,-0.6616852737822494,-0.6027085455699261,0.021074895356002026,-0.23744512692096092,0.4477219751628602,-0.5831249714895264,0.11715816902556662,-0.37754255598194103,-0.22114389687971078,-0.35956093094868463,-0.9471059454491546,-0.4176187281623978,-0.43831968637531704,-0.9313702021432176,-0.4871414902818944,0.16013681580287203,-0.30957769410937724,-0.3765972717101213,-0.6277302565039066,-0.4298405031486806,-0.4673239462885633,-0.3215413372157498,-0.5634937388713959,-0.22024632494630997,-0.020098669893515633,-0.6978023539318181,0.041014786255570354,-0.14189083994236926,-0.3784573183885693,-0.296944557271231,-0.6949043932376447,0.030983723310440546,-0.44414896581545615,-0.38582706144150264,0.07063005034748895,0.39653805032071504,0.6705265682723632,0.27074815546624914,0.07881826049068583,0.1787271394890494,-0.08303311749340161,-0.3852799537021478,-0.4628161405819986,0.11196249443018438,-0.3116180371461353,-0.5904065641763068,0.49863676909685717
Allen,0.17015726074309104,-0.3083545991316131,-0.5196821158113171,-0.12036260207305531,-0.20675937928517016,0.13102886482509757,-0.12800739278473125,-0.13234844309157476,-0.09689613512047505,-0.6549046601845332,-0.2677055786485481,-0.3555094119848867,-0.31104761233177525,-0.21667482165595103,-0.06509542339384954,-0.40695908691198823,-0.009813623783758014,0.33500767610233834,-0.35130819654393114,-0.3880907711130566,-0.13381030181564407,-0.04232177674541678,0.11226958235991799,-0.3155650355646769,-0.9923721093326584,-0.6266147125278689,-0.4395947927107631,-0.8382737612306804,-1.321733087361813,-0.21253834449098788,-0.27342567297989206,0.35871162336614115,0.008660528304235542,0.30477962925572727,0.30530479570108526,0.2895873270294333,0.272992410933891,0.1273361603432748,0.2636268640721899,0.30558190639168564,0.3605649215873813,-0.295214722569642,0.8058051874506296,0.0826956883486127,0.151926580073772,0.21262584432568457,-0.20074589835757992,-0.22094534455862647,0.08249152394917977,0.2208640850278969,-0.2528416610684093,0.2024009559067737,0.10099878284545682,0.1328402386335031,-0.1693789610129578,0.022371798599223607,0.1284168332048895,-0.15167010259550814,-0.3945173012733838,0.12925421664506148,-0.2528084648364349,-0.15968975435396743,0.2301691462445347,0.13697258161593995,-0.3399283131134176,-0.1375273854468106,0.07908396586665957,0.6549881439029599,0.10506190306827096,0.22212050957039603,0.009455327253491621,0.33289359394130547,0.3171729345479106,0.09090646478748358
Lance,-0.5864349725269913,-0.8387939673759452,-1.2528494012145641,-0.4890083182414699,-0.3483895423201657,-0.23584198276641666,0.02750336965459752,0.0042996766991532254,-0.9252829492413647,-1.4684832185709193,-0.6328141265459593,-0.6061922171195283,-0.834716673425442,-0.9186793943278994,-0.5496093405350042,-0.07042166203969026,-0.3334635214789777,0.30252824041868726,-1.531571374594205,-1.0316629806925084,-0.38629346446614654,-0.405594088844223,-0.00997711918429163,-0.7165973914429171,-0.9729939194092752,-1.1626178572300472,-0.8374306801993991,-1.3594165413517665,-0.789045541461161,-0.911649634022774,-0.7327826059687497,-0.0048477442760576145,-0.6676000653403327,0.1573204715539092,-0.7212040974199287,-0.6202037518814771,-1.0528753458196183,-0.7187288690233856,-0.5479647057170018,-0.7205161112232691,-0.869669305689575,-0.8215625937718307,0.3683145696512854,-1.1129351669214158,-0.9324145614406794,-1.0369321782207293,-0.7267424846953755,-0.4636937878662501,-0.8989956810526756,-1.333851544673291,-1.611983406681691,0.15873005532064696,-0.20270674506522557,0.060692929436805085,-0.08320097050485939,0.051412955392332545,-0.40637978162752514,-0.309326159223805,-0.21379380319990082,-0.34289766795330795,-0.6246040069013287,-0.28245795122834966,0.427911454107005,-0.10076149823678453,0.05833054059129773,-0.24082823336097892,0.41978268014289316,0.17253572677343978,0.2586025883430983,0.47194402871045693,-0.09863631354425166,0.27325535933439593,0.349640934733749,0.15647001638405436
Mabel,0.863922840493385,0.7559904337450596,-0.28769114888714314,0.8237635311181631,0.9214529285622252,0.21676853428365853,0.6386583638343805,0.7176530721332149,0.5014309233614566,-0.4867430361762912,-0.49178795547360504,-0.1860840473713288,-0.1002676897444528,-0.2765111118044266,-0.30942833140250847,-0.36929595230841644,-0.23800543529734247,-0.7688766427479701,-0.12985081118801317,-0.38948211546309575,-1.4989878500627525,-0.5302399013294389,0.1276837721532277,-0.28009023911211645,-0.5429580095344391,0.022480990106410154,-1.6061182800220453,-0.16058218167469715,-0.22902107464347246,-0.34429092413023404,-0.5083937685808189,-0.047896257514060285,0.707553818700476,0.1912561535581753,0.28001049766438996,0.29418851751219893,0.5895770363268056,0.22992203054534818,0.6847396518556967,0.6719812915723928,0.5041228578453973,0.0914158209892609,0.03895862444265668,-0.03262402865420581,0.06382206595586334,0.33161148126263884,0.14051960661974375,0.2403034459021321,0.36342385270601857,0.12828575614074067,0.2671140433022537,-0.0924169000029664,0.33610051135617686,0.09614052870645313,0.24860018057915179,0.4817139157335447,0.06464436252057687,0.27450339643470123,0.3930374136898592,0.2908466745263217,0.3146780494674861,0.006355689795495521,0.23034864172638814,1.1903676274939798,0.34868623570676416,0.9601354731892343,0.034332412963540754,-0.08630476204301697,0.13702806916469795,-0.3088196581853019,0.226251838128603,-0.1811842659104633,0.06910649400016418,0.6230163739357389
Lisa,-0.41880102464288216,0.7323400966603958,-0.17504367479966798,0.20564768171215458,0.0742253935477224,-0.06462526307067219,0.02404291050712572,0.3501632479429259,-0.16444838575649592,0.13423491842893262,-0.3421651564204936,-0.19925584500862425,0.4965435689261396,-0.7122005976186068,-0.16880032921013555,0.07472653548088527,0.29166374364761816,-0.31743671005065577,0.17619567635294017,-0.030824667299291068,-0.10715048778041898,0.1642217293421309,-0.21166512545281616,0.0362319081702565,0.4860173241506575,-0.0028747095340381263,-0.49541636502464415,0.26788998926590507,0.1351305955921478,0.29217109609666414,0.21074283599435958,0.009555678667312426,-0.11114809500574721,-0.05327457277937361,0.10752517021026,0.47643253485338644,0.11972965284615646,0.13543169384535148,0.21433635585890068,0.2751696771499339,0.08796851787355124,-0.18635036140693984,0.04934529580660807,-0.250406017718837,-0.2311066332253537,0.01481476132532247,0.10882527473852331,0.4994588975887878,-0.17153912138093647,-0.15156210242675394,-0.17166897037345727,0.02453073552814322,0.1665038312879567,-0.0025187586628446115,0.3809713028498167,0.21160576329193428,-0.011581950688357148,0.16981573330732497,-0.18238671154665165,0.3873320447884802,0.1461716987431025,0.08218179554268157,0.5857480903663884,1.0170828649541106,0.5464378510825353,0.5537562180611925,0.5479913127306775,0.2008400042307772,-0.00929531184066653,-0.18856527288667518,0.22534400648943026,0.33052471454483107,-0.5380464053587869,0.5798803640239459
Curtis,-0.2678195330771842,-0.9971841263246382,-1.1473229689997917,-0.6221653933510424,-0.20912412285091328,-0.16209561322257474,-0.14609148157757781,-0.6933657037754503,-0.7266903781729689,-1.2068688357757145,-0.60565894237862,-1.046813981420096,-0.6796844031461999,-0.9435976808283341,-0.9855225530153225,-0.539939499940399,-0.4196309364819154,0.4365452810743828,-1.4299976987062284,-1.0635813429827785,-0.6472432047593719,-0.15019994500609624,-0.13180665332072733,-0.6630521898105659,-0.8673808418944752,-0.773223373553484,-1.045609267183483,-0.8683650468647347,-0.808841570728631,-0.6069676591177522,-0.5743812945408483,0.25442000458816816,-0.07695990287289635,0.2487029982184624,0.11360338405343913,0.2624681752227343,0.45334446099061376,-0.13389929672381273,0.009647053832892412,-0.06926568817502499,-0.3221757451403285,-0.22632967375666502,0.6864154792284981,-0.3580382579847925,0.17172336909409555,-0.2947714985455547,-0.028033218425054872,-0.528590501280419,-0.20679925426125143,-0.1261660859227204,-0.6626770382050481,0.05670029815888126,-0.2552799447209578,0.14959284840530152,0.4288719837871633,0.1474874681969139,-0.30819350645827165,0.5778196577767301,-0.6546662844198284,0.04821830388911423,0.19784462320889368,-0.32449709906169,0.22207164111253075,0.05448876687695972,-0.3084256732363291,-0.0803013111335566,0.13858754070268342,0.5807644492314875,0.3120878165905267,0.3930125086751794,-0.34119513848558863,0.42044996031662174,0.5406924345732216,-0.0717182347755104
Carole,-0.23937269505740663,-0.415817866919557,-0.45749544858314,-0.04354693202023926,-0.26906130177877496,0.41292321218941974,-0.07121612455958187,0.04939401740216298,-0.21559189706762608,0.12014164017755691,-0.6067383688089137,-0.20315533726171878,-0.6593346619743573,-0.6594804926500887,-0.3019588695561499,-0.6526561599685741,-0.19110370073753266,0.2430905983706612,-0.7308377923563283,-0.6650468569761228,0.12070532389789268,0.7562937992568395,0.44169851877839117,1.2586247482328194,0.218986577858827,-0.11453874347879177,0.0013361172106482958,0.29033336546691996,0.15619942380692362,0.5368098988123082,0.8997614962388653,0.33554407428200494,-0.13430811251402094,0.5490662185802694,0.08979967403112221,0.5096451873537855,0.0016850678361558767,0.4346034549655616,0.13763048999038036,-0.28663226067826864,-0.11373161540448976,-0.31391270826044326,0.7998719529095856,-0.2433610555333328,-0.5368932319307564,-0.19234155265013567,-0.0989568544980527,-0.22077194700391245,-0.6072010966231954,-0.47573689872608454,-0.4788288842289916,0.04065915266345732,-0.31791601255419594,-0.052967844266878686,-0.14548043478676884,0.012271440613060918,-0.1086192245388102,-0.7784987403900656,0.031387161492459736,-0.09595652227143263,-0.8140319074306697,0.022426611936246666,0.2913384911421641,0.7021115384810482,0.4483450663401645,0.5784227092444867,0.49897563826941543,-0.10320118368826879,0.10152616328258603,-0.31384357994127227,0.07877923024864288,0.37846639534888504,-0.3584819338056419,0.8173057413501473
Isabella,-0.3540142152649704,0.4769841574759869,-0.27485929813396287,-0.21282471288801758,0.20272977740075046,0.15632306819754416,0.2494602789790805,0.11984457632745317,-0.24778974300596335,0.30258402193437933,-0.052446729264737084,-0.4141149229521792,0.18045169456864785,-0.7163875550162577,-0.9092650209080596,-0.6143037968792522,0.017650619287728864,-1.034704595033536,0.24071426906524518,0.07322567627190299,-0.24695207755750573,0.013809095487101858,0.44846878064656215,0.5805278207172089,1.4909784936394965,1.671423142790061,-0.47041500114401974,0.21096672480773787,1.0526656279630875,0.6406232344659963,0.9470642220768032,0.014851758998746785,0.6590631308887066,0.02294977087049609,0.7311517988979018,0.254806178732578,0.48660696070730247,0.4987872865866498,0.45389970087795845,0.7158504171096994,0.7705679975857073,0.3866540131040689,-0.4007978286487255,0.632870725126015,0.853979481522376,0.5935654373427613,0.9651073250024107,1.2709953247762482,0.2623711249343022,0.18671510735886945,0.8482069340536024,0.06790261182340411,-0.0907378794331747,0.23954735665856383,0.7039451816345982,0.1940042883296245,0.1987874120300337,0.3609043765925312,0.06489213905518024,-0.17252349242472287,0.26046928089581944,0.13070865536326012,0.3540197475185505,0.9276762815417201,0.5347159281324794,0.21013729304518813,-0.04669836681458033,0.07551335415858336,-0.063994001089909,-0.5975348595767744,0.3286371931326256,0.07488695006343214,-0.49817380346628004,0.811010170300035
Aubrey,-0.27651996340476137,-0.6617426435450342,-1.137910780866,-0.14215732416822782,-0.14733278602221747,0.21133146558880203,-0.28623771612973414,-0.0755851009914441,-0.9433559463134532,-0.5897157425093784,-1.0334852243438286,-0.8725310461385289,-0.28164946830179244,-1.6026709068924012,-0.8231221461883083,-0.11800262197958221,-0.13411617978306234,-0.5664036989493413,-1.678129940792962,-1.2706870458712476,-1.4809047863729043,-1.1280381312515912,0.14114645196661096,0.16712200108745975,-0.2572894754509073,0.1871705089903899,-2.073299555330935,-1.9159455961678715,-1.1124562371197864,-0.12820792148473456,-1.2123862418666282,0.0424718111071167,-0.18010570462563816,0.1358122307115598,-0.05022963591020628,0.23135428122382057,0.44986935167807374,0.2569601390040567,0.08583288691776289,0.14225163053792042,-0.0016899700791972768,0.24308571000025636,0.05079553333492172,0.13557223783436384,0.21685016072449873,-0.01660840381302088,0.17574856036302428,0.28622664521502766,-0.29472009673702665,-0.14649288458733864,0.12312007851133278,0.27677170805992135,0.3676010688381949,0.4861249698201704,1.629791584065423,0.4994573185524327,0.30253498773683285,0.6519167745366009,0.36558215705883434,0.23012492866599044,0.6133800393370208,-0.051252374110617234,0.5106498103160462,0.6295499638975597,0.26917351429856257,0.12735682505695053,0.40194130324594346,0.1689240115018806,0.01974814784534545,-0.13850316419423175,0.2377416372198368,0.23221920746025468,-0.23963200567849646,0.5064491401627512
