index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Evan,-0.17531289136625228,0.021653304844977867,-0.5860396569483749,-0.27227748659137596,-0.8385147329543113,0.08003610912587661,0.09729716655550054,-0.37683949744943757,0.10467328788355687,-0.07514490385759685,-0.13417591440881235,-0.017508203952672007,-0.33938997239676405,-0.2701083657050065,0.05780239639759356,-0.30006258892596027,-0.10440291091963973,-0.047070327993974634,-1.346190186723656,-1.9052213708533927,-1.3994083529556962,-1.7017891320982765,-1.3884384702717585,-1.3653727378674996,-1.3371205573971596,-1.9005169728855578,-2.0762201977218075,-1.1266726467412442,-1.5140503595081467,-1.9004496748595192,-2.084326387466083,-2.323663868439933,-0.7500335919713059,-1.2044054672784539,-0.7514387252458881,-1.9298615407397854,-1.2884166726412767,-0.7687058665548696,-0.4716149210018561,-0.40739985754509234,-0.7659882287629769,-0.6466278179687869,-1.299893988873325,-1.0402908444381684,-0.7711812695318607,-0.8724277989451226,-1.04328780362051,-0.23914377565775657,0.040756835697759834,-0.6718587277759785,-1.0094802765624644,-0.786273795708438,-0.3101566209741622,-0.7025515527516287,-0.6121992880906356,-0.750323752762472,-0.9544044400745881,-1.2686973960880634,-0.597125648528052,-1.1228014789330296,-1.0701454703940714,-1.068260750086517,-0.9887883475044994,-0.017185519471530273,-1.242079712827119,-0.5390986262183349,-0.9324576469564015
Gene,-0.09924735804981485,-0.0312244378015581,-0.36727117870409925,0.43366080664001067,0.6349733286239371,0.5340711321181312,0.48262325527847816,0.5625840942743009,0.3386695637786536,0.18212418386690846,0.301648210360028,0.15432742115982673,-0.4690489939999292,0.1599554147352298,0.241766260734799,0.22135258721300272,0.09935819476775049,-0.5331782917845065,-0.5360712932227535,-0.6076937181508183,-0.483116687307065,-0.6438158176046969,-0.5733740783501535,-0.31428800449407684,-0.6738100663997008,-1.0325169688539761,-1.3461154657774916,0.07145109080788078,-0.5296258911111167,-1.2752317089449756,-1.411170804145145,-1.4410839544701175,-0.007241478743419684,-1.2910391594393749,-0.04988389562679963,-1.1540759874464726,-0.962376214305833,-0.13366135792155975,0.031545105397925655,0.010083283141064518,-0.3705456730938681,-0.5525572747750807,-0.6836042034236842,-0.07059199289275768,-0.12229175612232888,-0.7893792332515214,-0.588106700347358,0.13909077072088985,0.7682974940460867,-0.4114177893809385,-0.061611635351338,-0.1359720585161464,-0.2094496062694251,-0.5169203279191948,-0.07842910129668418,-0.6841700385270908,-0.5094181862673314,-0.939015709663848,-0.5350603827635275,-1.018100327400826,-0.7959431177454954,-1.038157998821335,-1.005675523061207,0.26660222431813707,-0.3323119454364524,-0.10471568213325165,-0.44395573373170055
Dillon,-0.3017239147850021,-0.08917559468761022,-0.5652457663506232,0.0664238647163569,-0.8731970419582317,-0.03628977077750234,-0.027317360576048593,-0.2915057081243034,0.20835406877654086,-0.03552697268566564,0.13029959821072418,0.2846829857247581,-0.07519032694517945,0.008924460424846648,-0.0009596469563722304,-0.024611289311942244,0.5421887862792663,0.4451879341214175,-1.296274918481077,-2.1169416789087023,-2.403088756111125,-1.923389077794669,-1.5432187403963622,-1.1475628211504434,-1.2750161650765162,-2.50753649216039,-2.2311937063776024,-1.477464079753151,-1.68083894492495,-2.916956137861228,-2.7097086301037234,-2.796605124414133,-1.7978058197261109,-1.590376368867162,-0.9030254443335618,-2.575469003640612,-1.9286112603077952,-1.9042424854355715,-1.1327773665767202,-1.0761275753012087,-1.4269271655455136,-1.5838789830900757,-1.4284191633182721,-1.2976508634698098,-0.8113609076918902,-1.5164500816789592,-1.3000175319592782,-0.7956657403138778,0.07383492039586062,-0.953267166194765,-1.2458936908117084,-0.8348934655298446,-0.09230395829313022,-0.8248848758002254,-1.116867575220964,-1.3129187956309638,-1.3033519460979235,-1.5141153038958697,-1.3104215836717332,-1.817246197423058,-1.5867006435660573,-1.3730261324744324,-1.3675983976676027,-0.291088020937269,-0.40992110720342684,0.03777930458897567,-0.46838784958199264
Marcia,-0.07497340693933215,0.2107218048607276,0.23943326629869383,-0.3402827579948936,0.3206735925195045,0.17961757911978243,0.003744415237477201,0.1295567701077642,-0.12024540673890245,-0.17221873665574497,-0.16621515968182254,0.034673613988818526,0.30858224790005295,0.2551380417094733,-0.28805280556611884,0.058322535010854826,-0.25745905191393476,-0.31044898989027453,-1.283299105611091,-1.1385399806331924,-0.8811181773073782,-1.5434247352263977,-1.1997251208169462,-1.1859751557733123,-1.06508815550805,-1.6904479133953447,-1.4736948515697759,-0.8889791155136477,-1.3909877995302464,-1.849438124943483,-2.169921605508801,-2.276886537219992,-0.6857112949653063,-1.1150065557484719,-0.7654983169545105,-1.8917543061615967,-1.1590780074110036,-0.6423455559357586,-0.48107388015669733,-0.147322746748012,-0.1270526198849646,-0.29520110961371754,-1.5531353022431176,-0.6438010470172619,-0.5959937556752669,-0.848813477450002,-0.8311818347121673,-0.02520061199635907,0.20415599980272092,-0.4048299121706031,-0.6320263082725419,-0.36084007785409217,-0.20232577334119586,-0.3705959930464598,-0.6684258109105398,-0.40266100855284487,-0.5868541916927477,-0.8855745338849091,-0.3268451745627122,-0.9115481702668619,-0.724276624587612,-0.9085666989351245,-0.8793748281511085,-0.06405291685908689,-0.9169174229482988,-0.42094458894920295,-0.7147330656160638
Annette,-0.5970865428111364,0.2581363684737332,0.08097648767089294,-0.049356013549315354,0.07465398367287704,-0.207838453453006,-0.7945835436311095,0.17557890832671913,0.1046497648422112,-0.23955649182709857,-0.33334995733693346,-0.3233112640895527,0.07053833105985474,0.09406192931000693,-0.1942897780948335,-0.032706179499038264,-0.18481068892562877,0.19775226881368851,-1.8673201955132885,-1.7934984287446818,-1.4627414320699994,-1.4944192940648855,-1.642345462524422,-1.8147423651910035,-1.5800993795388456,-2.177752130992575,-1.236680721458141,-1.47969950479225,-2.000277311450172,-1.6706887233075318,-2.6560503299741804,-2.4729522177986114,-1.0211490433118902,-1.8948231954701504,-1.4741677374053155,-2.4933840511736247,-1.0014616722721792,-0.2571493348173916,1.0274584056906653,0.38918207771537455,0.11262675769154029,-0.2267554275218235,-0.7633511978182831,0.2142834273481093,-0.005908851472424271,1.0973533627896948,0.8178890237884809,-1.0724777299255888,-0.26507677044660843,-1.1181270985418656,-1.3928866928325605,-1.392986444847366,-1.1692078248288902,-1.3879369587865136,-0.6065657134247081,-0.30704060605570477,-1.6838368064743572,-1.4461931897959666,-0.7740952309471865,-1.8117396837113366,-1.2547021478742453,-1.020972544429116,-0.6904830194512682,-0.29935432345657115,-1.799053961399998,-1.6010052951972136,-1.2235793128528956
Gail,-0.02116621846791895,0.09948352504238911,-0.1270879614009482,-0.22707090536924968,0.12502961651761502,0.1867216505056275,-0.4823384269168694,0.10599420836363169,0.06614748801944506,0.1822804010216752,0.18465151306369504,0.22054773997169835,0.0941361636836918,0.3760569745947499,-0.03482116384739059,0.2777176695091577,0.3151338881424087,-0.2658616055058059,-1.1557097728192671,-1.4881359280481863,-1.214839864008403,-1.4914130957122236,-1.120742283039795,-0.8626919935563898,-0.8881354705918206,-1.5845687370189572,-1.7275638192157352,-1.2189001971742688,-1.1852569084204625,-2.1645897310977986,-1.8871536759066894,-1.8885715059266663,-1.0295203795922818,-1.320772474969672,-0.7001456332298089,-2.1475936281377095,-1.4504232659902174,-1.1885383871451611,-0.6728784993247803,-0.4411855957534875,-0.7275920829628807,-1.0306548783955336,-1.4588480425663823,-0.9088446488227881,-0.691765154006365,-0.8362870069891055,-1.097610990957117,-0.7878049258959188,0.2116394672186725,-0.9952961770040037,-1.1278608972918103,-1.0559011572256567,-0.5868237099218133,-0.9954952133784051,-1.1261137195949849,-0.9203249025506443,-1.0563640821717066,-1.591963866212072,-0.8936470873789284,-1.4742817207915329,-1.3377067187428866,-1.3114486388469357,-1.257281285432378,-0.03725757495153047,-0.6632785683716526,-0.525874434462148,-0.7074882417578437
Courtney,-0.36253109767836494,-0.019568231082779625,-0.34209967105590705,0.003476455309220948,-0.3384235621684582,0.21108582613101656,0.0426476666876489,0.050600882445837395,0.21507430045069642,0.14085549705657954,-0.17672754117902706,-0.15550879072134513,-0.4641968101363052,-0.014670771010309629,0.04804908495621755,0.0761028365268039,-0.13517840839734166,0.03687085999182105,-1.4075978938205844,-1.7584115182732016,-1.266009146516171,-1.603250047725415,-1.2620923539591757,-1.246324207195329,-1.175915389500212,-1.7406570546463132,-1.9125774523000416,-0.9123480942684697,-1.2271043462708044,-2.0947080427747258,-1.986417554366029,-1.7994158946614345,-0.7225779353902366,-1.4051865801076728,-0.4706947643791418,-1.956332652585631,-1.343907903593295,-0.7243174849707779,-0.5029532135953221,-0.14410643250964314,-0.7074274971873994,-0.7558324013672933,-1.476893510077174,-0.972422923848747,-0.511841298554819,-0.9873687400304191,-1.2623845810711318,-0.5729505256598374,-0.03968161242169704,-0.8366565499430313,-0.9660862188021233,-0.8907339013948494,-0.43906519030981767,-0.8311954692548673,-0.6434639973816711,-1.004851772257744,-1.0859984695429412,-1.434816808698353,-0.6738092393269081,-1.2787656331018344,-1.2068782983175739,-1.0564560243056584,-1.3312345303125068,-0.10274554332451775,-0.9045691694495948,-0.42529474107984705,-0.6665383999037594
Ruby,0.04459544142666048,0.24464613497925985,0.5525624769116099,0.47089535263414684,0.5140956561860492,0.19110817347979425,-0.07759499147298812,0.49118761451472087,0.4787356219628804,-0.20681898059137008,-0.12033086473640589,-0.4189794428077085,-0.26560939472101697,0.3141742940001156,0.07036821358805101,0.12679205685625572,-0.08961959042787661,0.06348940895797028,-1.120946192748493,-1.327494754732786,-0.8293477397088104,-1.3632570925214977,-1.0688003749009525,-0.7486677753401175,-0.9484231534552943,-1.3635728217968908,-1.6436025147412106,-0.40877670309964254,-0.727755242548475,-1.6119221956626768,-1.6222915470273163,-1.61279923279976,-0.5068068296359078,-1.41282173404275,-0.3706204144000439,-1.4964698653201427,-1.1072445473714814,-0.39789426811515644,-0.3479684868620299,-0.24611428927517384,-0.362412987220421,-0.5323555421684184,-1.1638738444702996,-0.5056389646541485,-0.2021603573744165,-0.8286753084147902,-0.680588909716438,-0.3783555711318315,0.12396067322965651,-0.8869758431957483,-1.1326494388455457,-0.8376273424231663,-0.5307965016985126,-0.7491387616154167,-0.6509658982553079,-0.7231940014167187,-0.917932056661105,-1.3060704974422495,-0.6415788729540508,-1.1967784362436116,-1.0835149091403322,-1.1148711019147597,-1.1469429967979476,0.22256619869537558,-0.44894543012151333,-0.3956349383709654,-0.36439761728660547
Jessie,0.23833099755901085,0.06744634929558457,-0.22799767442063792,0.005951006543303468,0.6380774011930047,0.23513180436085962,-0.2654738758998345,0.4743169576292414,0.17502723267555156,0.24608734549532366,0.05571623546689964,-0.06371049870178408,-0.7003025220583683,-0.08535542649194439,0.08916420474310181,0.09231222725401847,0.14908077787388693,-0.46821429958477623,-0.9562221763964702,-1.2495505780388572,-1.0869016091331656,-1.024639943986661,-0.8346952412340223,-0.8136066839528534,-0.8379513086643189,-1.4550736090804437,-1.541016746422176,-0.45978567690912275,-0.7749307734067697,-1.3016175620672612,-1.3865319411782453,-1.3654479187851865,-0.4554528317023654,-0.6515629187749785,-0.10761222231630169,-1.4962213277196248,-0.9517217416131141,-0.4802198564022988,-0.35513271418916903,-0.36185794114793335,-0.5401802722147365,-0.6794123643495471,-0.988966532260087,-0.5870275035140655,-0.4477519420892312,-0.49795085505408787,-0.8280082074469963,0.0851550641428296,0.39386913780144894,-0.3283973800456917,-0.40317781909870615,-0.41837491749020217,-0.04342719155147961,-0.3261214455831104,-0.4839456199901317,-0.6439045566587039,-0.738831151797946,-0.9473041559801354,-0.4725768972193127,-0.9698541448470984,-0.8316813393948832,-0.7380379300356512,-0.9020084723258385,-0.014739146609444611,-0.44613748768221445,-0.049597967470502526,-0.2843101138922068
Victoria,-0.3157679095586393,-0.01650237809598488,0.39064164588704686,-0.34446377685284724,-0.40687705164781135,-0.17640498321345943,-0.0606744842301288,-0.2682061970453538,-0.14785024852135817,-0.3538651682934854,-0.46584170921414725,-0.6155678036487519,-0.14316344290919425,0.10375374116990546,-0.1583324146960208,-0.15526053928794942,-0.5258610021078542,0.36811780345840805,-0.35665665150247833,-0.7183473331805331,-0.5489601060264142,-0.5959108593199407,-0.20516300171834068,-0.3429516969627659,-0.12097708301955436,-1.0028313642240263,-0.5987115091932146,-0.5855673242333571,-0.47777773259621054,-0.8259796947345885,-0.694909645922453,-0.6924636286587121,-0.5108726508617643,-0.23937896411842233,-0.7143120592898113,-1.1412578720085902,-0.7181556576730419,-0.38114164638039744,-0.23448950322263956,-0.009041881233073912,-0.12602432314457937,-0.26472664970109844,-0.6575110694543279,-0.33153522541984226,-0.12626563062815532,-0.06982898838268851,-0.18637720411868453,-0.1733646661779638,0.3345490646607855,-0.18025451421850908,-0.35840042085066703,-0.47869981575375864,0.15119426555438503,-0.2095244923219174,-0.1408792116082572,0.2623068625961545,-0.4460685638647784,-0.23933529791932567,0.06349460351733585,-0.3246600820414863,-0.04620807077514742,0.19445910661606133,0.03867988094351537,0.6561019247007575,0.020038742070414436,-0.07747649671459898,0.30967724742000796
