index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,football,basketball,cricket,hockey,tennis,volleyball,baseball,rugby,golf,athletics,badminton,boxing,cycling,swimming,shooting,gymnastics,handball,wrestling,skiing,bowling
Evan,-0.4404103942663098,-1.3055738052183776,-0.9861277231082923,-1.5747537424784694,-1.0003184583656644,-0.7496760079317576,-1.0058757852774984,-0.956176846518868,-0.8348000876324025,-1.5382658985500206,-1.9535695973751277,-0.7118031104051542,-0.6481343957071508,-1.0046945853976041,-1.0013891202598333,-0.7314120840313164,-1.1151263614541922,-1.8267499042625124,-0.47927105734179387,-0.4035677447056324,-0.8487718200791354,-0.7644709437252304,-0.13518954050603454,-1.4062325362408803,-1.0391931009222894,-0.7148457415582082,-0.8251124143606662,-1.1175204735368178,-1.0307043128434494,-1.036596901677,-0.7615509815705043,-0.10528330392238268,-0.6414769040635522,-0.5019249130756206,-0.5987720600901091,-0.9429083169527569,-1.2758959378773322,-1.216686022731075,-0.29474006448868495,-0.5997255776231171,-0.8454461124737306,-0.7700856122621774,-0.8036063942338127,-0.5011262690118508,-0.9352985124082126,-1.0245098693974388,-0.7222369182135012,-0.7708479337940304,-1.171727261586879,-0.9469979841754729,-0.0011753201946256837,-0.29001998602900114,-0.1650842175125694,-0.6822734357816754,-0.4664613366949198,-0.5467295305533751,-0.5308712483760686,-0.66118562509033,-0.5405792560062825,-0.6565528559961382,0.1365611068224063,0.2459702183456043,-0.05928365701949181,-0.23013613634606137,-0.05733273042388895,0.13654480703484453,0.34055005563835034,0.04922227569732252,1.0997863149517766,2.1224884301637577,-0.39136139669752845,1.3979328248894343,1.8764154658801602,1.3981837702587026,1.0083861431595378,1.9053236031024858,-1.298556231032197,1.612116153866786,1.8066961541125501,0.936766651764835
Gene,0.25244282766713966,0.00643038766294549,-1.0713291225808432,-0.025368185958198747,-0.4483496265634415,-0.10112709927418954,-0.04019438882940598,-0.0812552771233927,-0.39195412108449884,-1.4178121677172015,-0.691161115547405,-0.43605530240324436,-0.2753176096471233,-0.9835178510271889,-0.8112220257247428,0.48691594101980484,-0.10646702216276613,-0.18438271640827164,-0.6914567978487911,-0.602653930919619,-0.43654614151370313,-0.2875442258346139,-0.2051803837344512,-0.7247500454954893,-0.7368438501881331,-1.1549480654567126,-0.38159504002870864,-0.3447808389088253,-0.546036045254027,-0.45843661359448923,-0.7642522754244037,0.17283456787588874,-0.22202735334889095,0.17995492809217725,-0.8320159097678068,-0.21600983187424155,-0.14253632295970636,-0.5390614045808952,-0.565042694078946,-0.5036506323473179,-0.6209426523207834,-0.28023029504206604,-0.7125040882355617,-1.071152739835577,-0.44090760708924276,-0.7324415454803636,-0.8547633312560292,-0.9621782909734359,-0.9897415756538775,-1.1048227842635379,0.006548266146308423,-0.06124619408547316,-0.030961656645984253,-0.0178770438725034,-0.009430497125515037,-0.41693492548081995,0.16320708940813428,-0.34101615085128095,0.30294696393263854,-0.031348779452787946,-1.311912026474926,-0.8505842795802733,-1.0351245936618478,-1.2932703494452993,-1.700374539095135,-1.217764834042372,-0.48037883788022456,-1.788967838058311,-0.19318369683302755,-0.7560732399900552,-1.0521350133402265,-0.16072120254257025,-0.1076577682244587,-0.4524382977367079,-0.9900120235897267,-0.8444041493195714,-3.0746494922818046,-0.21397837447662163,-0.06728255884181526,-0.7999721775816567
Dillon,-0.24841665478925626,-0.9286503289971347,-1.2104741822527356,-0.3531142851767249,-0.1334399957390389,-0.2172081228547949,-0.10057860996209675,-0.2535702302704594,-0.817902972332338,-1.1566971640137609,-0.26361333829980826,-0.40046459218788527,-1.0047565468347652,-1.1163803750406518,-1.2619610341444125,-0.5690202005174857,-0.7391961622513362,-0.2508589143921186,-0.49093218180195,-0.813484684459362,-1.2695150399522117,-0.8421290180323013,0.14036933755260525,-0.2521647816314135,-0.24270117694597237,-0.837838805463481,-1.0676130803325834,-1.3501181819496655,0.07814455652118851,-0.7544906147900712,-0.48246169479142265,0.20421072126646322,-0.07521021416282764,0.060476466337415,-0.3648688661932572,-0.012345653973284564,-0.625742265710874,-0.3661446661971283,-0.47168907075642985,-0.10121702325657292,-0.750047933725473,0.06911097676219197,-0.8186025779378302,-0.5920263567879277,-0.12886715023547973,-1.0135513172473736,-0.524762918640729,-0.8959256310915162,-1.2399952090840292,-1.0874095697196398,0.11069654691556935,-0.32124967533384063,0.33974836704261424,0.08535779467274161,0.04676736265153802,-0.3537307953962272,0.07706142319270222,-0.11411814130860921,-0.38547504073783645,0.35970316696957816,-0.9154058907002544,-0.6820390372926013,-0.6945999940524987,-1.2422275921865218,-0.7630617571899957,-0.8934684101624073,-0.05668719428792943,-1.0497616482605407,0.6432611100036036,1.9505819494967411,-1.0338666059027009,0.647312822262425,0.8843946097723036,0.7942579698008052,0.6122194573203029,1.1430178373134323,-1.9870607667188966,1.0746253677641315,1.1378712715611663,0.30520964332588724
Marcia,-0.218286179880752,0.6013359850110136,0.537893716946213,-0.4277372641422029,-0.1185166501198699,0.054528218339451706,-0.278979985479852,-0.3821405104994229,-0.3810867495501211,0.5507330715582438,-1.2460500451465608,-0.6062597611023941,0.14316747464124271,-0.8809778669221019,-0.679290293704186,-0.5087966697741964,-0.09413313329355588,-0.48726832984556673,-0.30323255436783775,0.05568259766306297,0.02463414402864585,0.30292450516568226,-0.12451435975162031,-0.1423641519133622,0.5326913627081782,0.6709892130962213,-0.32896057883426444,0.28744105731511355,-0.25767659961326794,0.34886190678621076,-0.10884646567493138,-0.08869204082713168,0.2795566307061218,-0.26030817841681075,0.18735462209858897,-0.49833764775418915,0.14272337106156818,-0.06789946331283113,0.15248098454665343,0.002611964840388707,0.242552349070918,-0.3569902296820703,0.4072569402984296,0.14346905475761082,0.32818937746172316,0.6203116604620622,0.2658933734798165,0.40297370758903556,0.4860264834345317,0.5236239764580469,0.1030726990828351,0.2302188294844693,-0.05299845133882222,0.0763212149701499,0.22953817344221902,0.07246734466444439,0.04939364678406391,-0.17471686926498783,0.1845644110476814,0.12679894616155998,-1.8841723192378574,-1.0984105018140378,-1.6208714291719895,-1.7460083452413981,-1.5913148726273896,-0.8959370535989328,-1.2225578273173747,-2.084982415295538,-0.2668300840571899,1.232099882455661,-1.4336948261229012,0.6084704192381496,1.1976943473930521,1.3049323015509224,0.18831512476959522,1.3437508582504891,-2.376766044275883,0.7266908455030285,1.601466532696372,-0.5550162973619505
Annette,-0.3807432167993748,-0.35630596905349915,-1.0411319276164412,0.012082580467904313,-0.38694502785566637,0.1337698558201907,-0.2350101045701642,0.08139334915215034,-0.6784595548148356,-0.7411476615192352,-0.473935404634718,-1.0050795101876862,-0.48942575505597175,-1.4650829313922427,-1.3735174474469645,-0.41716076470444496,-0.4124728572792085,-0.7054255881927397,-1.4017779423895198,-0.6539982049218411,-0.5249473840505532,0.5338148076912189,0.054817714352850606,0.5424719814531145,0.028531552118111606,-0.06536964825609301,-0.4241219916746485,0.3291210972310393,-0.006848803031641991,0.7154581881691122,0.7842164733516187,-0.019812971103056787,-0.12502294453892454,-0.026299261709967405,0.2929632508639449,0.26435207585365916,0.13177120758404345,0.3701391753607205,0.22790212370566776,0.040123520298889326,0.228158390001552,-0.447966186991152,-0.18354669559511472,-0.4380073218569616,0.030586713437024727,-0.2736697928159538,-0.4996657720832061,-0.2862988431471422,-0.36724721127982907,0.13748923585924455,-0.3144235292143714,-0.18803302017872303,-0.20944830718498506,0.1531730494140977,-0.18201239085590992,-0.06237870640929339,0.04571797368975064,0.04466037597019534,-0.07274688907370502,-0.38601781445947986,-2.092838444098802,-1.3523917170973985,-1.6675560512726328,-2.083868766736373,-1.058031385204817,-0.8111529275626066,-1.4681088998642242,-1.9589575683816702,-0.1975851782128985,1.2650657392606037,-0.9911810478527365,0.5351613415657775,1.2544383662428102,1.4250899124858458,0.5235822688765257,1.6817566773548793,-1.8485153360481112,0.18472385044143652,2.203677895373889,-0.47648233994045414
Gail,-0.8004249634959382,-0.6127828439441749,-0.70277792349388,-0.3222287845927525,-0.4383317200010045,-0.06375274082799064,-0.18772529059358878,-0.38702976062615807,-0.46027024305439634,-0.3620817617384732,-1.0017971276760684,-0.28881173636999974,-0.5870958576416502,-0.7142530083651272,-0.5516814666173376,-0.9619931845400884,-0.6693220218513259,0.2230404621843147,-1.191538433616584,-0.7850407662504295,-0.8708880460884061,-0.0949865095659106,-0.18276012683302703,0.1233083702489853,-0.42917463967436204,-0.9798387900742449,-0.5013296877894377,-0.49407153769634626,-0.34486402066599,0.15281863674910162,0.09403564819177448,-0.0196558991573554,-0.5709391946944138,-0.012114646405711374,-0.7734018905735722,-0.502182169132235,-0.7092207441999354,-0.5516106026611799,-0.6902788769674043,-0.7692676052400425,-1.0142989532034457,-0.7801472570286926,-0.9476397833317277,-0.9673365085678572,-0.817359039468872,-0.9849925533914097,-1.0988770570249926,-0.9332274512322303,-1.177304574681133,-1.187103814582834,-0.15333012719504613,-0.3950743952324628,-0.16045921233575772,-0.1277594273061403,-0.10963568931831306,-0.36399362876698527,-0.5546300121680325,-0.5033646352611454,-0.390964433614682,-1.0096868013791815,-1.464034624353925,-0.4525532119033852,-0.8865258869376975,-1.3445631355302,-0.33680070637415327,-0.31765754091044957,-0.5882315201412521,-1.2886772164634157,0.8913818339930687,1.9686994819362817,-0.5575316589160086,0.8496032161736422,1.7454257892364335,1.5292740870733066,0.8721595780618022,1.7648217086206972,-1.687302126073387,0.8905939045521152,2.0469004391744017,0.6728325319273805
Courtney,-0.45922909107127324,-0.7491159350989843,-0.543379389227894,-0.1604270683397009,0.05387514840915484,-0.21582148398930376,0.11829503709223756,0.3867309795462682,-0.22875055765640456,-0.36120060387562297,-1.0077819396737986,-0.22688333464481575,-0.48515086158511367,-0.3749015022658457,0.41218170000121646,-0.4636746830103468,-0.4142496416578212,0.03222724003540126,-0.4999958502856928,-1.0738670443737626,-0.7405665575018001,-0.9485554786632497,0.0446776510904724,-0.4262212264458476,-0.7128629669033285,-1.0158071748286237,-0.6919419440528386,-0.3141010894929227,-0.32444033038301245,-0.9295983158699458,-1.2553420299362705,0.1733803288352509,-0.7495102843085342,0.05856112532661505,-0.4627852589081434,0.22805746624005896,-0.4549027639120064,-0.26884973435366705,-0.48333174619575286,-0.7651860100907422,-0.7029464767155599,-0.47955026856729427,-1.1246024711961784,-0.6555177195268168,-0.37525697785870393,-0.6654753218798876,-0.44053472311882025,-0.559426226950661,-1.121877988348513,-1.3581979992587032,0.2908096214010222,-0.16781744971900964,0.27679050003086214,0.3274389230357833,0.0762024031887665,-0.31518113899210864,-0.04099309051830529,-0.25651567078609055,-0.06971967421811041,-0.09980235080589421,-0.8461180544252747,-0.20307220736111872,-0.29600892461384176,-0.787464166780477,-0.16316328979892028,-0.369481867974858,-0.12697004227276248,-0.2216680959645079,0.9567738803809062,2.4959172380414865,-0.7406993782433003,1.5415419147191927,2.0045542425762903,1.9325811182180077,1.105635325574752,2.311651528250056,-1.7018295106759365,1.5635986223667542,2.2077986525887376,1.0018644051985195
Ruby,0.11502254371961265,0.26410528611408585,-0.5031575623659266,-0.17032007019246329,0.15658895445368357,-0.05909694027127284,0.3756440855909931,0.32283173745431615,0.08195551572405241,-1.0918937689631993,0.42640123572827066,0.22630625097610965,0.16855866168473205,-0.3884623728125655,-0.13383890443112398,0.20818623577988715,0.05147948111576412,-0.6606345389415352,0.06656818941057487,-0.5990694201758368,-0.6156006188312406,-0.6746402193710566,-0.17595362499508826,-1.0033669281656838,-0.47181169601282846,-0.9428078634741005,-0.73833121422363,-1.0148588273852588,-0.5498938764873105,-0.8815468715234699,-0.5072485213039276,-0.24875889897483747,-0.5385579214345514,-0.2851303788619726,-1.0473251689628538,-0.5275124658990825,-0.7117759069529384,-0.8739699189052348,-0.8377095853295355,-0.6028590892941214,-0.7786922901993333,-0.5113122006045294,-1.1434765173974029,-0.3882449641587308,-0.5747760743116109,-0.8531687730811591,-0.2642967140169944,-0.6434438344542239,-1.2355746795109415,-1.287617822964076,0.021536261598088306,0.1113296885689931,0.0035755992950526846,0.26016604191002485,0.1967153072093037,-0.3367791031198697,0.05910350313845674,0.05555638610340043,0.02584665863999602,-0.14666574644387648,-1.6747070348079298,-1.4233474256571639,-1.1574144683213443,-2.1486230069323087,-1.480449024195084,-1.599803696387332,-1.010599633819389,-2.3755896494788913,-0.17295615236767262,1.1952198288459464,-1.349156757522024,0.3731429867544963,0.42626853126592157,0.8357504284470781,0.5744454727457831,0.7454965952329403,-3.1208234009329288,0.18743408527832442,1.7639875908256333,-0.31667744929172426
Jessie,-0.5114059701511204,-0.9175026690069651,-1.4471793363106866,-0.8901268617405771,-0.46751904698474517,-0.23978246934009848,-0.45695623859258466,-0.5648301089190787,-0.7934698205043713,-1.359788309318998,-0.6666588668385898,-0.2960872994008591,-0.4207013874123616,-0.8115405200451411,-0.6507739770083445,-0.5483621116457497,-0.12052095940503854,-0.1577337307611575,-1.3001501467964403,-1.1667261840188605,-1.4231059570145235,-0.8087244537621828,-0.17163254421944432,-0.46236747157732866,-0.8320192880215425,-0.8688763064999129,-1.4968973310343177,-1.150715100962704,-0.889034316797722,-0.153680771152564,-1.0164930211883507,-0.04273290642165448,0.03142395321836787,0.2307613208918631,-0.3701744619801366,0.2173171265637148,-0.4158495070030612,-0.07623707646784254,-0.13141490627321287,0.18934859256715503,-0.3219926053991346,-0.7294349544491541,-0.7254424294855727,-0.9110554629096915,-0.2847717817777575,-0.571500893809247,-0.6474368884199522,-0.6310494260313959,-0.9149307843661536,-0.9939259277907987,0.11280470874467775,0.03207525746720824,0.21109605119836586,0.14753194333061564,0.05426283425652157,-0.17921828609751136,-0.020996148158485953,-0.3763285363126647,-0.048585430527356276,0.2864116540582392,-1.3200506597701256,-0.3012090416702528,-0.45619626891425946,-0.8229156226376962,-0.2245559425355482,-0.054647931681526624,-0.2856969269899314,-0.6744381717010313,0.9238377263965438,2.242194648462379,-0.32300077450046744,1.8140420600120282,2.3305798556703383,2.4567329922463834,1.4736690128117165,2.361224778738516,-1.3152082923211208,1.61722480697107,2.8013412108181086,1.095325310224591
Victoria,0.12015941132569886,-0.1610262830153604,-0.06927155001511545,0.5618047870335428,0.8293042967111993,0.4628115301121464,0.552937102240944,0.7673735755750097,0.2570950581055754,-0.00216254348708574,-0.2728611108320342,0.27079634922913104,0.24575183257857952,0.31836856128966373,0.4712548776724137,-0.14523489618226362,0.4241827401113127,-0.9107359113403684,-0.4050118167942654,-0.14103517473563745,-0.09548288882551181,0.10208646360086879,0.47566924398505817,0.020823561085033946,0.2856028429185538,0.4449965041696341,-0.598289132786594,-0.12082166346485719,0.5800238128704523,-0.1244071075432973,0.39144295975028737,-0.045115837054798526,0.4233040526394557,0.49395704607975505,0.39728111835482827,0.1433743806882627,-0.1524368567099604,0.49396766034778394,0.6700606139872182,0.1708456960310173,0.455497918251668,0.6056178749195561,0.9334646674679784,0.8848098139713009,0.5931532604305155,0.9867088531791851,1.0549079157857535,1.05512636395075,0.8705359928898774,0.8849363780403638,0.7563268294158556,0.38450768740478414,0.5728679494741507,0.3436905201927785,0.34421719826483826,0.3661954328390952,0.0719647806254922,0.6387954201128494,-0.12395163019294209,-0.006806764077445879,0.46321199602174123,0.3549426354549694,0.7889026004122448,0.184151602666691,0.12273289768385438,0.3255229692228501,-0.09903906392082709,1.2548278830185755,0.40837991129323287,2.0608647749372624,0.2833325714959949,0.49282561065463715,1.8251895778029925,1.11828221877226,0.2150005542997755,0.8269920542820648,-0.30093611798671915,0.8508687829714042,1.5419761979228979,0.7044488288664671
