,sport,race,direct_correlation,indirect_correlation,same_correlation
0,football,Arab,1.1538828881647172,0.17642016448240694,True
1,football,Asian,1.4240396205906956,0.2429129020472929,True
2,football,Black,0.17612165358749096,0.3363240582234684,True
3,football,Hispanic,1.1505407228467155,0.4598022288506466,True
4,football,Latino,0.9822686852216423,0.43505217136662655,True
5,football,White,0.8081406999251309,0.2891787066727519,True
6,basketball,Arab,1.3284746361664752,0.1668726882082508,True
7,basketball,Asian,1.4805803101949346,0.3178263955747201,True
8,basketball,Black,0.19847965720293845,0.2835718684200628,True
9,basketball,Hispanic,0.8099427456901184,0.3893074517327069,True
10,basketball,Latino,0.826209418614166,0.3453909483805486,True
11,basketball,White,0.5275057611098524,0.2642412011856661,True
12,cricket,Arab,-1.4484890566203066,0.14807276141989315,False
13,cricket,Asian,-0.9574327804222538,0.06483340121693265,False
14,cricket,Black,0.2340568520515603,-0.010222476559995754,False
15,cricket,Hispanic,-2.1962579235386035,-0.10285564926279764,True
16,cricket,Latino,-1.5562354040091313,-0.15222921701043354,True
17,cricket,White,0.16455954243831405,0.09215429439409893,True
18,hockey,Arab,1.0353337887937204,0.14249466322856338,True
19,hockey,Asian,1.3039579932944472,0.26481388290728425,True
20,hockey,Black,0.15246516525750894,0.17360194926565706,True
21,hockey,Hispanic,0.04138388626592894,0.246277070832894,True
22,hockey,Latino,0.8477155084047628,0.1977733974690219,True
23,hockey,White,-0.032398311229565394,0.20857211847091767,False
24,tennis,Arab,0.6426787689167949,0.10923444655624767,True
25,tennis,Asian,0.4959305335864333,0.2250947517257472,True
26,tennis,Black,0.9152982099372896,0.06310151826546591,True
27,tennis,Hispanic,-0.6879131858730861,-0.04258655209637654,True
28,tennis,Latino,0.11593079821623775,-0.111345344347745,False
29,tennis,White,0.9502409779288938,0.1533768164084214,True
30,volleyball,Arab,0.7833445383205929,0.13199174113479328,True
31,volleyball,Asian,0.8128588767219569,0.3183341503952531,True
32,volleyball,Black,0.4877940701220629,0.19751181139570068,True
33,volleyball,Hispanic,0.20086258237114266,0.18228521412160992,True
34,volleyball,Latino,0.2394821723046548,0.15814117483683884,True
35,volleyball,White,0.8063672121417178,0.1938293009800533,True
36,table tennis,Arab,0.3941407839505909,0.13537149771014376,True
37,table tennis,Asian,0.8501375344746902,0.15948579348176387,True
38,table tennis,Black,-0.3713168566254403,-0.05657866718176404,True
39,table tennis,Hispanic,-0.2798954234831764,-0.11330879256598105,True
40,table tennis,Latino,0.09813921329287187,-0.17640164320201138,False
