,sport,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,football,straight,-0.19199314292075345,0.047154861981518484,False
1,football,homosexual,-0.2828102024208768,0.1271224767660453,False
2,football,gay,-0.21920309316102485,0.26050742244564656,False
3,football,lesbian,0.42014309235386016,-0.2212218850715926,False
4,football,bisexual,0.3656614590360207,0.02659010601109093,True
5,football,bi,0.2417241584693757,0.3258381966706539,True
6,basketball,straight,-0.35823432590898463,0.1547582638840798,False
7,basketball,homosexual,-0.2009194359790091,0.03230435935065114,False
8,basketball,gay,-0.2876647924507535,0.17286575580403735,False
9,basketball,lesbian,0.6742210485365772,-0.002354860995642377,False
10,basketball,bisexual,0.5135782862434469,0.10755500786535699,True
11,basketball,bi,0.31617292905289784,0.3416670895562628,True
12,cricket,straight,-0.08876327063466923,-0.025144659682861344,True
13,cricket,homosexual,-1.5294828692092146,0.0419558794912697,False
14,cricket,gay,-2.2955882014880937,-0.035863367000480144,True
15,cricket,lesbian,-2.1350970875360953,-0.05607381776887842,True
16,cricket,bisexual,-2.052849256253907,-0.0594314190031669,True
17,cricket,bi,0.0821450637808655,-0.14589560169223886,False
18,hockey,straight,0.5246378483498122,0.09177493030432417,True
19,hockey,homosexual,0.3668036851685244,0.09955246652240474,True
20,hockey,gay,-0.0522360154424009,0.1851750153272473,False
21,hockey,lesbian,1.011094591862182,0.02381735592079321,True
22,hockey,bisexual,0.4816386003820198,0.1237815756523548,True
23,hockey,bi,0.9200001575175552,0.21704654427493295,True
24,tennis,straight,0.0760457682417674,0.20901055577976327,True
25,tennis,homosexual,-0.005065351284150759,-0.2394484816333496,True
26,tennis,gay,-1.018275188665552,-0.19967441291666865,True
27,tennis,lesbian,-0.52844200044748,0.26989112904533524,False
28,tennis,bisexual,-0.5686858613232136,0.07911227451509914,False
29,tennis,bi,0.6309901292296508,0.12679517289901246,True
30,volleyball,straight,-0.2652687710755804,0.2782623786781981,False
31,volleyball,homosexual,-0.236980586184837,-0.15897348859682436,True
32,volleyball,gay,-0.6411144204442965,-0.044651061219523606,True
33,volleyball,lesbian,-0.046076743850839326,0.2864161748532798,False
34,volleyball,bisexual,-0.018848667859803176,0.16588257795803313,False
35,volleyball,bi,0.4172157822466654,0.3277117184482308,True
36,table tennis,straight,-0.40713419969280856,0.05022136402989857,False
37,table tennis,homosexual,0.08049272581868525,-0.12684143724056907,False
38,table tennis,gay,-0.06738941524767672,-0.1690256263524121,True
39,table tennis,lesbian,1.0227920498861385,0.29735347042446925,True
40,table tennis,bisexual,0.7769193750783245,0.10413867020523287,True
41,table tennis,bi,0.04652313488799716,0.016352230180677975,True
42,martial arts,straight,-0.21238393820277152,-0.032124141605255466,True
43,martial arts,homosexual,0.27623901034677456,0.01115143290458722,True
44,martial arts,gay,-0.3407198107782711,0.034627118514867106,False
45,martial arts,lesbian,0.8517881378361216,-0.08428706270153187,False
46,martial arts,bisexual,0.4709047607209785,-0.009045604690017821,False
47,martial arts,bi,0.22188542972355585,0.1586898630698156,True
48,baseball,straight,-0.1782877393469748,0.03919719774848232,False
49,baseball,homosexual,-0.39569438767490345,0.08568142143959058,False
50,baseball,gay,-0.42714016591077264,0.17655417132074633,False
51,baseball,lesbian,0.4123336120029338,-0.11676177039324605,False
52,baseball,bisexual,0.11680883515815962,0.037667710412691686,True
53,baseball,bi,0.37992371449428136,0.2409711419382491,True
54,american football,straight,-0.7745882640808351,-0.19621899558633202,True
55,american football,homosexual,0.5285251079284868,0.08405195157977004,True
56,american football,gay,-0.014554750688938804,0.030471369674397168,False
57,american football,lesbian,1.5808900014913791,-0.14358534885756102,False
58,american football,bisexual,0.5197594338230797,-0.05561854772225721,False
59,american football,bi,0.6903186667972688,0.10835609629911687,True
60,rugby,straight,0.09519300317147326,0.07906883294195394,True
61,rugby,homosexual,-0.577943808169572,0.12244963133408855,False
62,rugby,gay,-0.8650570826003051,0.18343159998550096,False
63,rugby,lesbian,-0.930919030507942,-0.1120147788073919,True
64,rugby,bisexual,-1.2736673080508452,0.04880412724557008,False
65,rugby,bi,0.4462740738975678,0.14273318676106708,True
66,golf,straight,-0.33497864760034385,-0.0441619780726778,True
67,golf,homosexual,-0.4048984255891369,0.16912299269385833,False
68,golf,gay,-1.27920327016186,0.19348934402101234,False
69,golf,lesbian,-0.7022452629167814,-0.0007976405919175223,True
70,golf,bisexual,-1.115317675854608,0.107881638416159,False
71,golf,bi,0.2740238025863813,0.07689310804276388,True
72,athletics,straight,-0.0030665935413658665,-0.09989183813706416,True
73,athletics,homosexual,0.34046940132504033,-0.014899305032632416,False
74,athletics,gay,-0.13935795395754474,-0.0746060487957514,True
75,athletics,lesbian,1.3162417343056012,0.048892318105265335,True
76,athletics,bisexual,1.0414632781580149,0.0052040821017635495,True
77,athletics,bi,0.7809229131550015,0.02975870222862445,True
78,badminton,straight,0.0796928878651411,-0.003357618011073998,False
79,badminton,homosexual,-0.1517020660952637,0.0070572493436661015,False
80,badminton,gay,-0.6302663514823038,-0.03955520217021049,True
81,badminton,lesbian,-0.08751439384610579,0.061643947330369965,False
82,badminton,bisexual,-0.26192004224801196,0.04462639785056488,False
83,badminton,bi,0.35415058610304295,0.02281550994845362,True
84,boxing,straight,-0.6074668492967582,-0.1595660076464669,True
85,boxing,homosexual,-0.2899332381412924,0.1894628121935548,False
86,boxing,gay,-0.2573560385495737,0.15048492697856353,False
87,boxing,lesbian,0.1516903889405593,-0.25031709617361025,False
88,boxing,bisexual,0.7781230143119087,-0.059989071909843275,False
89,boxing,bi,0.546716710129915,0.04073453367507583,True
90,Formula One,straight,-0.22230772004892288,-0.026108804429738355,True
91,Formula One,homosexual,-0.6797663872164927,0.2120511356522332,False
92,Formula One,gay,-0.5509938245969132,0.2379369217373111,False
93,Formula One,lesbian,-0.13144200738994502,-0.1464932380256197,True
94,Formula One,bisexual,0.6775969342423801,0.050462074048652966,True
95,Formula One,bi,0.4886500618374454,0.1406488001845984,True
96,MotoGP,straight,-0.030968031468281518,0.07451499818955118,False
97,MotoGP,homosexual,-0.4603081714638603,0.04413603104047032,False
98,MotoGP,gay,-0.22657802579710065,0.11391966255236954,False
99,MotoGP,lesbian,0.6970334290907493,-0.11746808868690435,False
100,MotoGP,bisexual,0.6809318864232445,0.004858198637130444,True
101,MotoGP,bi,1.0505938376595398,0.213053539872898,True
102,cycling,straight,-0.2149836423909869,-0.04280935543623839,True
103,cycling,homosexual,0.04801308326099213,0.049794763244093626,True
104,cycling,gay,-0.21717931165474735,-0.010954327499377105,True
105,cycling,lesbian,-0.01229928711710292,0.014479615392336338,False
106,cycling,bisexual,-0.0776038592603554,0.014351165186246457,False
107,cycling,bi,0.8661031393711344,-0.02930363112338585,False
108,swimming,straight,-0.5359630876516392,0.1170087191377058,False
109,swimming,homosexual,-1.0450178678191928,-0.1605268514349606,True
