index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga
water,-0.3176220665392738,0.07659097544122835,0.7009262165159517,0.2725790274480731,-0.10694786554898454,-0.17893212268990277,-0.3846370815527383,-0.0674646474085126,0.15848831780973363,-0.047304956939582414,0.15147041946551207,-0.04966934602637534,-0.04129902221471027,-0.1272518112191977,-0.033514370007842284,-0.19435378771340708,-0.1643598707241726,-0.06687592715859735,-0.12868649339446067,0.03206208007447883,-0.35596592462942184,-0.757600372676397,-0.6196953817551265,-0.4078307881391604,-0.4929479303523429,-0.582216924404277,-0.39452028593447064,-0.9167065738279402,-0.22876832422773083,-0.612289866328087,-0.5439685005347009,-0.5560647992955574,-0.22209169237477508,-0.4172582263643643,-0.3894633465783275,0.41293517746117003,-0.36560089502979376,-0.3310547241775154,-0.09394891598805695,-0.1821370751495743,-0.21895604651614303,-0.010042128267689961,-0.35075666376089915,-0.17636142165054677,0.004760761558833224,0.011468127947091717,-0.2208408970859615,-0.07697350876211304,0.27929603100487516,0.11013440133028199,-0.1278389712544444,-0.3104150970183306,0.11302533246623703,-0.15840371645926118,-0.07523535451267091,0.08660105213177498,0.12373486023099328,0.2593984682600409,0.009970077176772564,0.3907755257895528,0.30389451626463215
coffee,0.2041416550088027,0.5696971172006071,-0.045352356734026496,0.3810161616272935,0.603787633801683,0.3957884898024251,0.4537520064972987,0.40464650112053185,0.12076914625674018,0.18600987070620623,0.30749177541326944,0.6326303736181322,0.7798479784855246,0.5384917408939887,0.6091205046463943,0.447741490851023,0.5469480664942321,-0.005485374753806424,0.23738942704989435,-0.12661227591575777,0.029479028903795827,-0.01002118204622118,0.13564739356327832,0.03997330462226252,0.42678434681908617,0.4774014361239977,-0.4876666687861264,0.20926605593582603,-0.327154681097406,0.14346175670604036,-0.14560205924527764,0.4445730372502248,0.6026573375595528,0.3800189503115678,0.9668225684972478,0.40180363415719483,0.7728076844926803,0.4828998496319303,0.7478432829266479,0.9175232684192489,0.7170004722927794,0.5319450438325266,0.5717041285236995,0.6844137239216157,1.0190894025437705,0.9023556953758054,0.8155908253083561,1.0379070923686726,0.9144178839552989,0.7381951024017004,0.6176698217463551,0.4417632560479126,0.653395286625039,0.36638350944762127,0.6408830346889983,0.6253146083465644,0.009000889125094395,0.45578376169779966,0.41128144306500414,0.5616896494926861,-0.04931380382294846
tea,0.08080924190152988,0.2293870107653104,-0.11003196727585773,0.30991159570725124,0.9592231793667889,0.39004087675263227,0.8664369851291548,0.8090098187403573,-0.06643855717495624,-0.7667498327128188,1.6665019488353496,1.4512185654479277,1.1047036656907556,0.9835878656468164,1.3393127955460098,1.007135031420808,0.7243100105191557,0.17789352939419947,0.311043181679595,0.11938915825303803,0.056451229205239935,-0.3734801087943052,0.46545050412521266,-0.26047551900986343,-0.12738603465505546,-0.4172795243254854,-0.5632483046362817,-0.267559093701707,-0.5566647925904175,-0.1682323651567279,0.06966108614832477,-0.1941236964618665,-0.4720293269466197,0.33273214267266943,-0.3265231796080098,-0.45010613132094424,-0.33358145770913983,-0.781358471745336,-0.12672759553480176,-0.17330655545551762,-0.005552306295710047,-0.0575901426545423,-0.33179352129561207,0.09079503928325199,0.5561713528459011,-0.5090424521909842,0.11263058005837194,0.22294468898768546,0.3880810285894108,0.14231631681876214,-0.2519379140428761,0.447323527444153,1.2436460565914962,0.6264040805651485,0.6463245245997185,1.0774709277673418,0.4001949703002848,0.9001304438642936,1.0591748505296266,0.9231002457014744,0.4027233765004066
juice,0.05097257018726409,-0.06671416124534019,-0.6267649687075342,0.46715215049033604,0.22263851551942807,-0.08924981286798166,0.06553690678139305,0.4746614271141536,-0.28922138762194594,-0.6477615938096518,0.011636322688438908,0.3618367898205035,0.22645639649827232,-0.3707923159874001,-0.1549936854601923,0.011196264642765215,0.5725462172139563,-0.42705432839675017,-0.24719391837724164,-0.3567000004048593,-0.27738923164644635,-1.0190096723411013,-0.6212362062051295,-0.5982926500543896,-0.3526887909230098,-0.5235784323558663,-0.20441448393407055,-0.8044220142003187,-0.4925149582117117,-0.6984902677053656,-0.7289950411358099,-0.45046383836948883,-0.1270810435553808,-0.3267996331376755,-0.009141483797832995,0.26844520471667105,-0.4070048325709919,-0.1288129497185521,-0.022067844263415088,-0.06702915718883895,0.08520938299560764,0.09512865425024183,-0.3282504556115779,-0.09471747482265477,0.22810135490432912,0.12255219379605176,-0.1991407337728577,0.3180419020691098,0.2985561818481718,-0.06052412449443911,-0.13105517169669847,-0.27645875785741414,-0.17033941424465204,-0.33592928619936,0.041095846049251865,-0.13338613441307504,-0.18718575608370785,0.25778136424592274,0.1293133533824184,0.18124393217062426,-0.0797332124806287
milk,0.5788113429923804,0.8551944312598646,0.3874683631312982,0.7369073027716894,0.5549544853134322,0.33392731035291084,0.5834281380525663,0.5994812193611488,0.5695772626281815,-0.18426347357049624,0.3567565409832584,0.8541820146062391,0.2145815125435095,0.6523610314058834,0.6815623951708479,0.331020424676378,0.3150263532047895,-0.37809874267290433,0.22570062765936122,0.1571538318614872,-0.028526922364064986,-0.3488768759336775,0.029393726928140095,0.027692922328063554,-0.16107174534144458,-0.2609640377539923,0.11654613189334494,0.11192430119943396,-0.44268993968761594,-0.004415259805545128,-0.3438325715602605,-0.3893106103143343,-0.22123882823066016,0.19165430259999444,-0.20390062384426225,-0.08552054244772646,-0.2883465571618525,-0.2246170345207462,-0.046164381604779196,-0.3649831583689632,-0.06882869194979432,-0.17446645827030843,-0.8373425248430131,0.16174124506763268,-0.2429916833393341,-0.057319864608979414,0.19830391233662503,-0.17681308918110064,0.34915923546149136,0.13992674176556238,0.015313209290855744,-0.10194710919092854,0.3466548889147173,-0.13489313295696834,-0.20407589445784288,0.14645875382060466,0.2365537901799566,0.07174963767954876,0.49809302076492634,0.411638236467834,0.19476810869710842
soda,-0.3573704446821066,0.08152021038567966,-0.40934401905747153,-0.18464664283591176,-0.14180576643139214,-0.136165171683153,-0.36998951769073235,-0.06891425925761112,-0.5665655212462409,-0.8609456909271774,-0.08374792237675349,0.16230215793428374,0.17115075768617882,-0.3937956135519128,-0.06334100718894803,0.3647791489969065,0.4465143711961388,-0.36710023434128347,-0.08468354243895836,-0.03066990828642972,-0.17935369449866198,-0.009364552859285821,-0.364874670194345,-0.6130873068617614,-0.14842535633786727,-0.4399389852973374,-0.0454107057772662,-0.09039721880778258,-0.26995013407703977,-0.23041602158165125,0.20561039643964493,-0.0704851141449613,-0.14977112337404844,0.1734122459736314,-0.2583740188477057,-0.41094427414280327,-0.27597665059112503,-0.20916620985480533,-0.07828434531282702,0.17604324313497896,-0.16825013929562777,0.057599035953005244,0.2740335024336799,0.0044078104437062495,0.3829304728525507,-0.09423328403063044,-0.14232283164597706,0.013641119857715987,-0.004446393084706078,-0.08469123295028497,-0.11551923430775457,-0.27264678917172536,-0.1519143995194741,-0.20452335610249148,-0.045582996971885024,-0.22158829516843254,-0.41843723077553013,-0.140775958142463,-0.2914524516907764,0.43478435926145115,-0.5542286945222104
alcohol,0.6138064980898682,0.36066106213168203,0.1792073322302351,0.4150746764196311,0.3338625529973026,0.6088008032502676,0.4547812184965086,0.5911901096168332,0.7360458398603354,0.4462007237104656,-0.06251668670547142,0.15034243844159892,0.4369398078861327,0.4882250412339124,0.30422574456480733,0.216077296940526,0.4425588083422758,0.12028541625302244,0.5817154557016171,0.13556136924703313,-0.28290447119170165,-0.00808186125451058,0.6151293454412238,0.08862287638756497,-0.19387697151268896,0.07618502208869553,0.29050423886864896,0.25007539390384775,0.14742964338347622,0.3329512053628484,0.16398978445065146,0.4186886004720088,0.04949581348323807,0.32698335872868917,0.26930169554578665,0.4261229057613865,0.19868546972749174,0.7854641503152489,0.5132705485076732,0.25964743542933105,0.7102171818711324,0.05332888809901019,-0.16712943507078415,0.25898948333245747,0.0380913827632665,0.34680531401347403,0.22982648566191238,0.08182097532561716,0.1208960595727636,0.20382897671157127,0.2744112352948374,0.4118254585874779,0.8477360619901947,0.46792531075307303,-0.2623014051089635,0.589239604057065,0.5876166783710556,0.26495174014687545,0.7291604878085713,0.26801542919379834,0.406420355143482
liquor,0.07162695815938853,-0.24858612948472925,-0.43548230991940523,-0.06378159859442688,-0.1687237944675516,-0.4344180873547466,-0.07166239925143379,0.19057578155833685,-0.24652521793880236,-0.5646965510967861,0.1964057134770228,0.23725004993872428,0.03469432176680709,0.162437179927058,0.34712316210318767,-0.04447316549988692,0.5126263924226687,-0.09961353074944032,0.0682142861547352,-0.2105933193015326,-0.222649218673261,-0.6689060143501,-0.39367780089213117,-0.46101337352594773,-0.43265563096599685,-0.5147329848807772,-0.06873049499740169,-0.353094175529654,-0.1625596659829772,-0.5038665758761467,-0.15085218077803922,-0.14839166440161974,-0.043669029104334706,0.12249597616017456,-0.1375780858530305,0.12873326085556916,-0.0842534909889413,0.45038322472529924,0.014724116805274232,-0.01844548796833651,0.09128484354831222,-0.46471677395749134,0.031018941111861088,-0.3341994161222323,-0.17820054593458254,-0.1769219355834136,-0.2872859200632164,-0.1869760392901451,-0.3753030238087257,-0.3323925029838924,-0.26165109338059456,-0.41910566622483597,-0.3020815100974365,-0.40647940431036894,-0.043410260767818745,-0.11314029772441303,0.019618008896579452,-0.1920454079552832,0.271456678751142,0.0863564896224982,-0.027209107296923888
beer,-0.03231031050738014,-0.13920533519236578,-0.6558917682181956,-0.32931602230714097,-0.09905274247326867,0.05754339546359255,-0.05881335793362521,-0.24489615497581688,-0.2540160980717993,-0.31942521323151357,-0.09051067652053232,-0.18053848935740055,-0.08797803044829271,-0.18171963579922143,-0.04919918444136703,0.12508214482433103,-0.19576857473616932,0.18006381688386808,-0.09212330807625839,0.03914669174680784,0.037908535576238474,0.4215597145340905,0.03221396477558042,-0.2344809581194516,-0.26563278916006006,-0.2760275349926887,0.06550878315157731,0.2839482726846856,-0.3011439128303708,0.3314782299369557,0.1606944231516733,-0.05684429577840897,-0.28543275101936355,0.09543249884142284,-0.39328039531890546,-0.44382626492600735,-0.11668038280870943,-0.1665184155357488,-0.23495768083175195,-0.26322942698709123,-0.36538120649452754,-0.13423271215173432,0.22761193869578522,-0.2233820253646647,-0.50543280379629,-0.4344374965039605,-0.1644742671242274,-0.4556687265110102,-0.5095551412192452,-0.22371569343211384,-0.2543598381928005,0.0016774917784723993,0.017657838402905173,0.09805026516604405,0.06607957943235926,0.049560645432031175,-0.048696794328635135,-0.09661516765615608,-0.058315465504620134,-0.009491524908765743,-0.017754924577852053
wine,-0.18882395987858835,0.5570600828603088,1.0111864315606405,0.2273492722359393,-0.07109501150927794,-0.06963643266166637,-0.15524679131982563,-0.043907210251466225,0.30130198822420445,0.6879606452603415,0.15654867829744368,-0.19559260429659597,-0.3089526306004606,-0.8502571022626442,-0.7704936255366885,-0.16357074400493374,-0.42993501308948784,-0.6762310343618099,0.26819312659851363,0.5721435085453047,0.2855224574463658,0.2233859949178875,0.015125261489271066,1.0126337504394574,0.9705124298336782,0.8205970477890802,0.4049882637274924,0.12347285082505748,0.8644114145770758,0.2429800550736739,0.6995384127772292,-0.09806161852650037,0.24057905121675094,-0.18834898890017646,0.22583863662402082,0.009536827130172055,-0.009674446508693384,0.20831085172246921,0.048009702339913765,0.08963516165253847,0.16414959641925939,0.49232666203869907,-0.36369964115730286,0.4199478827824515,0.72978600844267,0.28189278423994363,0.4349712621586405,0.5564360635309016,0.48844305143151506,0.2662304501242471,0.356114849948542,-0.2673375668898935,-0.23266155095413166,-0.2976619673066015,-0.10653287291594812,0.13230418832608712,0.15876530085452956,-0.2653870859890234,0.13085463499437425,0.1980821473171296,0.019160531511503567
