index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling
water,-0.061876151632283834,0.08857566094357147,0.19623873240332992,0.0999181483431634,0.4581098459346274,0.6825607083887104,0.261722267015534,0.5797962254051061,0.05238023795362378,-0.14794658132174093,-0.05328401765618473,0.25154641666576555,0.4806543838457556,0.5592688792139722,0.03284196442876892,-0.21381087129004128,-0.48927579514194913,0.5644019915616832,1.504393590375799,-0.23972858066230723,0.4240243836716571,0.7181040579197068,0.3201644259034903,0.15061337330054653,0.748911607728071,0.16741160925434267,-0.005122181442802142,0.08118207184668415,1.5227014944707706,0.17248124829423223
coffee,0.2597792883987246,0.4197065849861804,0.7991545081243643,0.22748720848661258,0.3502923440519019,-0.08271155673901262,0.6862114118980862,-0.11578022330847638,0.48854311639075604,0.32395887399916684,0.1204891542429888,0.2637993106666478,0.3244657572799286,0.26915153714260986,-0.01208852183428909,0.2971278646110236,0.10876805527960252,0.2424498983597286,-0.23115962690683461,-0.5383171405096918,-0.07885397164499726,0.2820830160422975,-0.12186735045915607,-0.18270539749011896,0.18386809118485464,0.07156451651299854,-0.2719311246990288,0.4185274096834984,-0.5063791849699006,0.5574871253274066
tea,0.037855160091910096,-0.25863653894415395,1.3016105360182666,0.19320996537346952,0.43105457036581624,0.14180583114725673,1.0000337659927805,0.002316039716276188,0.15262629737525676,-0.11824405685516846,0.2919975845825906,0.5211792653720013,0.12000658836355646,0.6702082851804656,0.05179789561761498,-0.49303536088881006,-0.20912981434005415,0.08754356092322056,-0.041710770244662444,0.2559818615708816,-0.05046838725121508,-0.033466110379459915,-0.2299585687661058,-0.1829662004650651,0.05207044762505155,-0.036853202991142316,0.39246400189996367,0.5060607441229145,0.10391700846844389,0.4528008189925903
juice,-0.04507296122791247,-0.07385961939045423,-0.12392441396730446,-0.025683249775568077,0.3634539442217176,0.41298561442223913,0.6782255332999854,0.04090066576376281,-0.2099090826349547,-0.07277188724176852,-0.33346182042653766,-0.11149182809161304,0.10715879638028214,0.31846229890931704,-0.012205874804035661,-0.29317011001964044,0.15767520065948049,0.027161849290346395,0.19034821219393216,-0.17950238278922384,0.45477542308745544,0.42923710044449814,-0.03965608642324338,0.11248032013800457,0.040787111313635736,-0.17813480475052765,0.21334837982224467,0.7984606489954887,0.1711593999087152,0.222985820908231
milk,0.02356377754983982,0.10798257998158986,0.758577898085954,0.2892619138827144,0.22147462443226568,0.4022436475001357,-0.051314509123016626,0.08046843827628601,0.07621871856229917,-0.11334440162393927,0.0470944574349094,0.019632417779612884,0.4742960335784691,0.5918677251645292,0.05040345668418585,-0.021149817500002593,0.35146898480753175,0.5600100259142692,0.35626164146114375,-0.6597672771159876,0.0035581809144180575,0.6762391117763225,0.1647233429676906,0.10478070425644473,0.2428355314840024,0.6416444383476341,0.5450600226858708,0.6111782622901317,-0.13021447063059768,0.1325464714530683
soda,0.3685883834058273,0.4926233717479041,-0.09150458651264401,0.6040917369752167,0.40613703746466,0.6179286817581398,0.41664682161585037,0.0012753349386243906,0.429592153527448,0.4298138185510568,-0.021724077049948925,-0.03479227202844241,0.3383905201102503,0.25232057756367915,-0.09867438482371595,-0.1025037798809221,0.0742395777122996,0.20240056770694678,0.2066550881539833,-0.021732568218111977,0.11813167357794244,0.41368926054220967,0.1618640966463208,0.2543930688994361,0.7194485788071734,-0.15868303869209144,-0.10092449296555961,0.6014146949183643,0.5903187685854376,0.44774315012308874
alcohol,0.6416253703139946,0.48189377572867864,0.47579528823315026,0.30692442611538223,0.3808982289914886,0.008789330559388209,-0.3011230187546071,0.6841569785044068,0.192614131348871,0.8339747354945247,0.6109568377466943,-0.05238573147198999,0.9000217880433315,0.34467253881658344,0.7474413836711664,0.6612755459107142,0.9777345881472324,0.7823975957197709,0.1847345861355995,0.4037113941631758,0.2945194609809228,0.836106339601541,0.46564035644899765,0.6905317355132515,0.07777066854255985,0.785195302795744,-0.42786517938007357,-0.3799084309656138,-0.6463237597560476,0.4693144315866148
liquor,0.10329957180320544,0.03928851153578699,-0.341371584000366,-0.07035051920151227,-0.41075133115662366,-0.16940174085747695,-0.16612205913227446,-0.14382254859549157,-0.1277947751601046,-0.06482256733457603,-0.439431444470506,-0.14727978009060896,-0.33842988138644453,-0.10889193094350667,0.028697827987953877,-0.569566533724284,-0.40705201336110974,-0.8120909495352372,-0.4926351297193215,-0.14105548417879044,0.006082826693448738,-0.20360013174266117,-0.3567770482443382,-0.13472621036580612,-0.35653535983973,-0.13182362982855442,-0.1943761262493049,-0.07428907957354952,-0.6574169090820359,-0.05816396126759096
beer,0.6188221849035006,0.7527942808403018,0.33282464565942665,0.6989595220148195,0.46355986294949936,0.5264593233885196,0.44370810451435233,0.07253646761579777,0.7860033146754739,0.5461089330160563,0.6023910919080889,0.5101162191943479,0.2809609514064017,0.3738858498417554,0.3503368572009868,0.26352841359479995,0.3630836422556904,0.24493387412383585,-0.09101855097625136,0.5380478711582161,0.3826224844835712,0.06659304597355575,0.595080273479715,0.6712227457970569,0.4052703173674808,0.5324270571172055,0.09393493538439437,0.3081939619611783,-0.10723585539879035,0.549803920515332
wine,-0.26561983295324176,-0.317323853625022,-0.20531922148258924,-0.3271813581239223,-0.12473140872646639,-0.0669963740266259,0.4092710299791375,-0.3926561769439334,-0.6809446864434783,-0.014672083032674619,-0.26467465967328896,-0.28810633713811035,-0.0862749022521434,-0.22307022566379225,-0.3735093916015829,-0.589324037262756,-0.7134819157575657,0.04999182955212295,-0.1138303589669603,-0.3194003995542022,-0.1808684027077266,-0.07213454263548413,-0.10317636522174843,-0.32901819727931747,0.07910520670327331,0.1525605069646419,0.2441764813518277,-0.18768757728759203,-0.6210085329446143,-0.37078105266050765
