index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
Nigeria,-0.183443989361572,0.08888267297214067,-46.781918,-72.6264,11.772175,12.867017
Ethiopia,-0.19453411828522427,0.3289226654287899,-196.15698,-4.730085400000001,2.7997767999999996,11.774183
Egypt,-0.1926214305819328,0.5131681103849188,-194.80522,-20.70155,2.533344,11.628743
Congo,-0.11087616655071572,0.05645298549639353,-24.553892,-58.14781,11.266517,13.325551999999998
Tanzania,-0.05685804665783267,0.08181679221840564,-19.653284,-46.697014,11.145648,13.413325
South Africa,-0.1749582450749292,-0.07592333253065231,-68.98105,-22.572578,11.470098,12.14565
Kenya,0.0795862149225335,-0.02811653811941992,29.550076,78.266464,7.635071799999999,11.163687
Uganda,-0.0565128466951324,0.007196934851984144,-28.014795,-35.57513400000001,11.011299000000001,13.225107000000001
Sudan,-0.14126512066699495,0.4013868541086151,-219.873,-20.690758,2.274791,11.292069
Algeria,-0.23757420467162035,0.3646376895127925,-211.7663,-33.253384000000004,2.4003900000000002,11.605083
China,0.45804282488181003,-0.20200073012072448,181.24661,55.518147,6.155122799999999,9.953494000000001
India,0.6531570547683396,0.2617262452131223,158.48203,126.949455,4.2701936,10.261357
Indonesia,0.5814205007388196,0.2716634525816937,144.59378,123.6452,4.386457,10.153733
Pakistan,0.19038008116891672,0.4630376281679871,129.20348,145.03933999999995,3.5068784,10.519528
Bangladesh,0.4091520733639919,0.4607302530747779,138.12622,136.04225,3.9894788,10.31798
Japan,0.5211003397594965,-0.19212526021779625,146.20767,73.58066600000002,5.804556,9.728632000000001
Philippines,0.5131508232988297,-0.02698488031913581,156.82132,87.52711,5.581982,9.888638499999999
Vietnam,0.10786450372858744,-0.3237071872336465,155.07963999999996,-17.949135000000005,7.4232619999999985,8.553711
Iran,-0.039628382263086265,0.43939844580012105,-227.50867999999997,-5.6888475,2.4992838,11.074771
Turkey,-0.05105153203556333,0.3393504033823083,-215.8353,-7.0988474,2.25141,11.084686
Russia,-0.057805992190485274,-0.0019741583598828576,-12.45956,45.68689000000001,7.9472384000000025,12.156444
