,country,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,straight,-0.5022267742856615,-0.10405531278491896,True
1,Nigeria,homosexual,-0.02955788886251037,-0.12639811599958556,True
2,Nigeria,gay,0.3627719743889093,-0.18443203088058124,False
3,Nigeria,lesbian,0.3778396859672552,-0.10327812253636118,False
4,Nigeria,bisexual,0.1565580600749528,-0.19004511919364767,False
5,Nigeria,bi,0.4165880298963435,-0.2050954764344466,False
6,Ethiopia,straight,-1.3282250399493776,-0.15512137355627809,True
7,Ethiopia,homosexual,-0.09606447726305622,-0.10400649130490214,True
8,Ethiopia,gay,-0.2674559629336013,-0.22861891513441726,True
9,Ethiopia,lesbian,0.20756101043861794,-0.05150300443670577,False
10,Ethiopia,bisexual,0.2817417264936357,-0.16743712391011145,False
11,Ethiopia,bi,0.0879239780202585,-0.2310788388755045,False
12,Egypt,straight,-1.0933653304884834,-0.1293787636328053,True
13,Egypt,homosexual,0.2530217008884008,-0.18959500580107366,False
14,Egypt,gay,-0.2716850607364262,-0.28710972117596345,True
15,Egypt,lesbian,0.06412073439755549,-0.07617518039165816,False
16,Egypt,bisexual,0.3283124522036825,-0.21366239650099075,False
17,Egypt,bi,0.04777323452027585,-0.1930962838696144,False
18,Congo,straight,-0.758960336509667,-0.14314620787034368,True
19,Congo,homosexual,0.2933925935918301,-0.05878620794032265,False
20,Congo,gay,0.6070257057519411,-0.16010917438048794,False
21,Congo,lesbian,0.7132893415076584,-0.0011348874907351975,False
22,Congo,bisexual,0.7543733378682044,-0.09540221453996248,False
23,Congo,bi,0.7502284927043009,-0.16712753141092065,False
24,Tanzania,straight,-1.0111117277214179,-0.15947104664343606,True
25,Tanzania,homosexual,-0.11960843013788088,-0.07419219776086639,True
26,Tanzania,gay,0.154558256363672,-0.17146288039476487,False
27,Tanzania,lesbian,0.1196590767243842,-0.02259846470301817,False
28,Tanzania,bisexual,0.35300794683383435,-0.12304311359878,False
29,Tanzania,bi,0.3710391649875108,-0.2539518138991052,False
30,South Africa,straight,-0.6696725058839125,-0.0697339077787304,True
31,South Africa,homosexual,-0.08501341085223871,0.007054723532659136,False
32,South Africa,gay,0.6169178361924554,-0.08073524257434203,False
33,South Africa,lesbian,0.5897208635747232,0.016835261890061428,True
34,South Africa,bisexual,0.5357208195290663,-0.05675412905923005,False
35,South Africa,bi,0.22705140859138245,-0.20954635693753887,False
36,Kenya,straight,-0.8918477170419127,-0.1588674932643475,True
37,Kenya,homosexual,-0.26196780230796496,-0.012674037839297159,True
38,Kenya,gay,0.12455078523404785,-0.10547048456144008,False
39,Kenya,lesbian,0.27108558619817663,-0.019986318279752488,False
40,Kenya,bisexual,0.3751569945203581,-0.09183577289742144,False
41,Kenya,bi,0.3542607470698269,-0.24192464153222326,False
42,Uganda,straight,-0.8296648342657384,-0.20884413253012316,True
43,Uganda,homosexual,-0.14836998888201108,-0.09084935574677704,True
44,Uganda,gay,0.2606385537435873,-0.1940579627133124,False
45,Uganda,lesbian,0.26032112868297896,-0.07370778477716677,False
46,Uganda,bisexual,0.4293532883968457,-0.15364670398748245,False
47,Uganda,bi,0.5500978615808715,-0.2825080049652485,False
48,Sudan,straight,-0.7885033424029474,-0.10326385871155896,True
49,Sudan,homosexual,0.301206923958574,-0.10146466619458053,False
50,Sudan,gay,0.4801888097321934,-0.1703671664139077,False
51,Sudan,lesbian,0.5875468344522619,-0.04421327149818488,False
52,Sudan,bisexual,0.6593169168673046,-0.15590079877714288,False
53,Sudan,bi,0.7131151880432024,-0.16953035235366867,False
54,Algeria,straight,-0.7250296856331536,-0.07702638771457944,True
55,Algeria,homosexual,0.4236124090992927,-0.04601517575834497,False
56,Algeria,gay,0.3807857044915477,-0.1446510160418561,False
57,Algeria,lesbian,0.5264355939827843,0.0795990955768148,True
58,Algeria,bisexual,0.32180423865311525,-0.06414126659256791,False
59,Algeria,bi,0.19939644754721644,-0.12214913079480183,False
60,China,straight,-0.8889724157649095,-0.008691985473689113,True
61,China,homosexual,0.2537419385480777,0.008542553364182014,True
62,China,gay,0.09191077139180373,-0.04248904332593082,False
63,China,lesbian,0.41517262423869933,0.0522688710321034,True
64,China,bisexual,0.6314799374920579,0.010813236927782195,True
65,China,bi,0.4988552567059956,-0.02785713296074661,False
66,India,straight,-0.43627245370495343,0.0499876265017518,False
67,India,homosexual,-0.4783088313262791,-0.17440169171405887,True
68,India,gay,0.024237446963286585,-0.22472923151437185,False
69,India,lesbian,-0.21800478238195928,-0.006308971588946808,True
70,India,bisexual,-0.2042619313004746,-0.1522125755106861,True
71,India,bi,0.4514856884527736,-0.10812309622640674,False
72,Indonesia,straight,-0.8873976323336638,-0.04840949163845185,True
73,Indonesia,homosexual,-0.14802293489305862,-0.033887523489994964,True
74,Indonesia,gay,0.1692420460021667,-0.10873012959129807,False
75,Indonesia,lesbian,0.12118943481631995,0.0998259951141339,True
76,Indonesia,bisexual,0.1780342793246146,-0.03127141817313856,False
77,Indonesia,bi,0.38832122541011604,-0.09653243339306544,False
78,Pakistan,straight,-0.4728773864312078,0.10025246770051777,False
79,Pakistan,homosexual,-0.31325244334995783,-0.10649980344372216,True
80,Pakistan,gay,0.0916926657559242,-0.1158375817855613,False
81,Pakistan,lesbian,-0.3605635366246479,0.0805496544585699,False
82,Pakistan,bisexual,-0.4652652302086318,-0.07236566856219878,True
83,Pakistan,bi,0.417654318786872,-0.0510929955420427,False
84,Bangladesh,straight,-0.4187575101072755,0.036971337055451886,False
85,Bangladesh,homosexual,-0.16228825697360552,-0.11101612953654938,True
86,Bangladesh,gay,0.19854726775511616,-0.16030037281654158,False
87,Bangladesh,lesbian,0.05966360657857376,0.06722333306513198,True
88,Bangladesh,bisexual,0.2414572087747649,-0.08171577027899095,False
89,Bangladesh,bi,0.6119128259374749,-0.11703754987097645,False
90,Japan,straight,-1.0295259222313191,0.11499464131344755,False
91,Japan,homosexual,0.2056533255861136,-0.11614891311368054,False
92,Japan,gay,0.5072925852623535,-0.06295035114021162,False
93,Japan,lesbian,0.4813921946441418,-0.0412316030975346,False
94,Japan,bisexual,0.8053451652755385,-0.03356614891286906,False
95,Japan,bi,0.2856216362275641,0.15355860514912753,True
96,Philippines,straight,-0.5334363328035435,-0.12568717800171458,True
97,Philippines,homosexual,-0.04823998912740657,0.027604097304110467,False
98,Philippines,gay,0.4850058989724699,-0.04242550797255984,False
99,Philippines,lesbian,0.3833395173880349,0.06993472244556244,True
100,Philippines,bisexual,0.3724009597372727,-0.00039575926651733433,False
101,Philippines,bi,0.6452959714227819,-0.035031065042379635,False
102,Vietnam,straight,-0.7881177615167834,-0.04434006120946266,True
103,Vietnam,homosexual,0.5311867459972539,0.12451097432629987,True
104,Vietnam,gay,0.7469935637766658,0.13807593935571627,True
105,Vietnam,lesbian,0.24047104734454705,0.037967237536874886,True
106,Vietnam,bisexual,0.07333200537092971,0.08103284106864286,True
107,Vietnam,bi,0.3072610603359707,0.09142398099031218,True
108,Iran,straight,-0.7090999308308196,0.045626124695764984,False
109,Iran,homosexual,-0.3182199225252923,-0.10713508886864666,True
110,Iran,gay,-0.22119762434678886,-0.14395580910189534,True
111,Iran,lesbian,-0.19464670779166504,0.0524223985355344,False
112,Iran,bisexual,-0.5519839717496055,-0.09521298667616586,True
113,Iran,bi,-0.07187595797039513,-0.0944010857989249,True
114,Turkey,straight,-0.882167803814126,-0.08284416791819456,True
115,Turkey,homosexual,0.23403079921106945,-0.025339280617558243,False
116,Turkey,gay,0.2318629550520963,-0.1171598620816758,False
117,Turkey,lesbian,0.2033295959344201,0.04064946597707059,True
118,Turkey,bisexual,0.24890604964867746,-0.05150310433207996,False
119,Turkey,bi,0.2277682447399255,-0.06403443959001519,False
120,Russia,straight,-0.673438807534686,-0.04316843286088541,True
121,Russia,homosexual,0.3492100725520098,-0.03703438867585123,False
122,Russia,gay,0.3725073252750285,-0.1280906281608566,False
123,Russia,lesbian,0.2555238426331505,-0.01853594854963137,False
124,Russia,bisexual,0.13941374681520224,-0.06626260329903065,False
125,Russia,bi,-0.1173698383280642,-0.05614188155490999,True
126,Germany,straight,-0.888020661501216,-0.08383539926308656,True
127,Germany,homosexual,0.32067355566232186,0.06412201465450768,True
128,Germany,gay,0.2376076374650901,-0.0763245155812194,False
129,Germany,lesbian,0.31885411116594153,0.062323067144949014,True
130,Germany,bisexual,0.07170519664533351,-0.014795436468352591,False
131,Germany,bi,0.030592746334814288,-0.16399495097453992,False
132,United Kingdom,straight,-1.065086593473523,-0.08281230823519528,True
133,United Kingdom,homosexual,0.03795691869549159,-0.038126294330566565,False
134,United Kingdom,gay,0.40370550420933293,-0.0863822682055122,False
135,United Kingdom,lesbian,0.3624815978388091,-0.045311950633879994,False
136,United Kingdom,bisexual,0.553396975733239,-0.05717976553538071,False
137,United Kingdom,bi,-0.4593497408014274,-0.1860708866508337,True
138,France,straight,-0.6041519715151349,-0.14544862242187376,True
139,France,homosexual,0.38495799458622904,0.047245824037004835,True
140,France,gay,0.4785776445158475,-0.09691951199510362,False
141,France,lesbian,0.6900778430894002,0.09948626864384803,True
142,France,bisexual,0.3735277915699004,-5.596060569784888e-05,False
143,France,bi,0.07392948034281255,-0.18245437044332985,False
144,Italy,straight,-0.7043273074248174,-0.06956102457287161,True
145,Italy,homosexual,0.04944446934248069,-0.02699221282961185,False
146,Italy,gay,0.0010476569829758714,-0.1480079340645675,False
147,Italy,lesbian,0.3149244056912312,0.10129218907951422,True
148,Italy,bisexual,0.13964317274952118,-0.017024893631235438,False
149,Italy,bi,0.13253238090763067,-0.1077618927793651,False
150,Spain,straight,-0.8025698773483415,-0.10203175903703984,True
151,Spain,homosexual,0.2953070470050192,-0.0023693960528666427,False
152,Spain,gay,0.3200810093616825,-0.12675996262950834,False
153,Spain,lesbian,0.6087269477691732,0.039063730265782304,True
154,Spain,bisexual,0.3506161395697537,-0.050521673157335786,False
155,Spain,bi,0.038871129332790216,-0.11061264487719576,False
156,Ukraine,straight,-0.9716909104945384,0.012379828355478585,False
157,Ukraine,homosexual,0.6077570113572159,-0.13788025970576492,False
158,Ukraine,gay,0.5514801164430554,-0.20508490943739632,False
159,Ukraine,lesbian,0.8100626293030279,-0.04846875976394464,False
160,Ukraine,bisexual,0.5352310011665053,-0.14501267065603055,False
161,Ukraine,bi,-0.21257700092901508,-0.08255739252496397,True
162,Poland,straight,-1.3942094145346022,-0.0899790397294122,True
163,Poland,homosexual,0.40208602584005393,-0.04883772801413128,False
164,Poland,gay,-0.09718691109904697,-0.19034411384728747,True
165,Poland,lesbian,0.3861737348223486,-0.008396274038189598,False
166,Poland,bisexual,-0.10565774992367756,-0.12420088903130652,True
167,Poland,bi,-0.25792678567684857,-0.23062319900310466,True
168,Romania,straight,-1.2993510188356634,-0.1039724498977287,True
169,Romania,homosexual,0.5475321635153371,-0.14028729738288073,False
170,Romania,gay,-0.009465008027221026,-0.2585317874699017,True
171,Romania,lesbian,0.4000948763694544,0.04029524918645015,True
172,Romania,bisexual,0.4797974200308719,-0.09403349889918457,False
173,Romania,bi,-0.2332801480223738,-0.12358742790770676,True
174,Netherlands,straight,-1.010752971533189,-0.11898864655178475,True
175,Netherlands,homosexual,-0.11852504649881172,0.111438745046211,False
176,Netherlands,gay,0.17194564237638313,-0.024949804363472126,False
177,Netherlands,lesbian,0.2765540489672728,0.09366535200199877,True
178,Netherlands,bisexual,0.0140914307694687,0.014109217531784337,True
179,Netherlands,bi,-0.3294049794314964,-0.20129911656312088,True
180,Austria,straight,-0.7530368774927829,-0.12416490063249593,True
181,Austria,homosexual,0.2859382069430387,0.02858517768278704,True
182,Austria,gay,0.0966800797277032,-0.13130888022867915,False
183,Austria,lesbian,0.4038389158686753,0.12038662200703686,True
184,Austria,bisexual,0.5251440247666799,0.0020252694531239708,True
185,Austria,bi,0.050216725816962966,-0.1916654802362367,False
186,United States,straight,-0.751857466406461,-0.16548554609087374,True
187,United States,homosexual,-0.20299237652325125,0.026110496995806996,False
188,United States,gay,0.3599921403379945,0.05692188228938274,True
189,United States,lesbian,0.24291090511721186,-0.06674204748941552,False
190,United States,bisexual,0.065488717106433,-0.002294314045580561,False
191,United States,bi,0.08734062159510804,0.0758055380860305,True
192,Mexico,straight,-0.8971742076094698,-0.06339485446864143,True
193,Mexico,homosexual,0.21543822698283024,0.004236963781617616,True
194,Mexico,gay,0.4593334389875533,-0.04804908869155496,False
195,Mexico,lesbian,0.4510895998869283,0.05012101767732533,True
196,Mexico,bisexual,0.3250138127215318,-0.005436993512655995,False
197,Mexico,bi,0.236604086686427,0.03609233005845617,True
198,Canada,straight,-0.6482388207670648,-0.04185421562818757,True
199,Canada,homosexual,-0.1906245319548592,0.14148174885729745,False
200,Canada,gay,0.6164607092027629,0.1399307726279503,True
201,Canada,lesbian,0.6127270291427602,0.11357177023863364,True
202,Canada,bisexual,0.5573844368329778,0.12224659016017955,True
203,Canada,bi,0.09229229089358816,-0.028533691116417424,False
204,Guatemala,straight,-0.9399536340741949,-0.11662722016615752,True
205,Guatemala,homosexual,0.2107504714859591,0.08147572005151645,True
206,Guatemala,gay,0.5358174684170529,-0.0014957933088158009,False
207,Guatemala,lesbian,0.5879576156529945,0.06156880725743411,True
208,Guatemala,bisexual,0.2234981440755072,0.010582968708803342,True
209,Guatemala,bi,0.003356064809759176,-0.02425334877940479,False
210,Haiti,straight,-1.1107564529296827,-0.17429451562175108,True
211,Haiti,homosexual,-0.17702702998051845,0.051240561604635054,False
212,Haiti,gay,0.4437897017616528,-0.030052504647649393,False
213,Haiti,lesbian,0.9045551436039287,0.08733456319317819,True
214,Haiti,bisexual,0.39680891269918667,0.01604914629765508,True
215,Haiti,bi,-0.23150461386605156,-0.09113900611110412,True
216,Cuba,straight,-0.8629906583592427,-0.17023850299003415,True
217,Cuba,homosexual,0.6211496822425187,0.07029409281753124,True
218,Cuba,gay,0.7830921219115471,-0.05505367973328978,False
219,Cuba,lesbian,1.0678527412131864,0.06890305798484626,True
220,Cuba,bisexual,0.7691265875471122,-0.0040792081165143546,False
221,Cuba,bi,-0.17822608236465512,-0.09793105372466772,True
222,Dominican Republic,straight,-1.1312511797114075,-0.1417896131832756,True
223,Dominican Republic,homosexual,0.26850036605701033,0.04977695360148336,True
224,Dominican Republic,gay,0.5513067313931018,-0.040993089511521114,False
225,Dominican Republic,lesbian,0.9189244512200988,0.08736199133286733,True
226,Dominican Republic,bisexual,0.5672683193019903,0.01188100052680717,True
227,Dominican Republic,bi,-0.4311261472792247,-0.05787732418592088,True
228,Honduras,straight,-1.239877456858814,-0.16245020204432414,True
229,Honduras,homosexual,-0.1978112938628996,0.053587004417890105,False
