index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer,water,coffee,tea,juice,milk,soda,alcohol,liquor,beer,wine,vodka,whiskey,champagne
Evan,-0.02374769761451366,-0.5404660955222584,-0.07704483798090875,-0.10419868642744211,0.12757464923874717,-0.4343889834747914,-0.42376314016805305,0.04850636130753481,-0.27546728398038006,-0.21535025917314726,-0.5246188007239347,-0.38853141498904054,-0.5480708020327518,-0.04229471625153439,-0.09588158113304453,-0.1519686539403293,-0.35229863769556796,-0.8150502551265373,-0.662796396866781,-0.1397147237702981,-0.36687189427310996,-0.015257473501483005,-0.08932599482919039,-0.2825436892910174,0.03397283792211061,-0.4635085313801333,-0.1469647775973538,0.07936495179891442,0.10426195708910485,-0.17611889341559603,-0.08899419176462939,-0.11658935583192293,-0.21557708673888726,-0.10919250550505703,-0.25918978860480035,0.06589111667031676,-0.8221671298584381,0.12520596090580158,-0.6423357441553553,0.08101369513028042,-0.4029361239127064,0.2295605704541247,-0.4731199076995357,0.3330054648412513,-0.33121911132840354,-0.33603367774329157,-0.4866147726644168,0.1585605816281789,-0.4998214796806937,-0.3426913626438154,-0.814378716844608,0.0036186733172522043,-0.08025415354392901,-0.6897931015922403,-0.5690118661513229,-0.3245102893400748,-0.06272486536652956,0.05935879908574192,-0.48828961871668514,-0.262102268456244,-0.057489168644379446,-0.20315852868085446,-0.544787122510882,-0.1324239377302803,-0.48486273411327646,0.1865585376703651,-0.17263783830989554,-0.05123067372581765,-0.24067258057022542,0.0035384878373813434,-0.30368069759516314,-0.5235544740867012,-0.505382701865857,-0.4205961964095331,-0.0921013625643104,0.16252008867392548,0.1398914854362798,0.05889597790479325,-0.17912175852923204,-0.42224532404269094,-0.8052982017340231,-0.3477467760375631,0.4135346495585908,-0.398053440268802,-0.07922839169270891,-0.4580499817494853,-0.09904379237677505,0.03398285047287716,-0.16647322362058872,-0.24852992211107688,0.29375953366730057,-0.33039216292768525,-0.5278923618776925,-0.13106077484996193,0.10457218321291796,-0.25038830101138726,-0.3102578790108501,-0.9712941838371687,-0.12917501172626336,-0.012756581126242242,0.24174912443087804,-0.48301636433408385,0.0406438987758967,-0.6874966892473338,0.4310095832628757,0.1916672273024281,0.23564957596167455,0.31402499432704,0.002450625315957687,0.22865733076743644,0.05547249480539825,0.09402162657743496
Gene,0.054304827450129954,-0.25852413506578154,-0.04032093114915812,0.1919125202274189,-0.2516782741289552,0.0475321554288994,-0.0363614272735378,0.18337659048096838,0.1840335062380182,-0.11895991454784585,-0.4192140221778705,-0.278230691215858,0.22752218521012466,0.18241912283639755,-0.011518772570690346,0.12880868020972336,-0.19461263169963117,-0.06609812069865947,-0.5487271003623148,0.22198383800781624,-0.27824261430356395,-0.061657604546843416,-0.12201814462902293,-0.09614025013514069,0.6817001637961924,0.12171610230241883,0.6104846206925989,0.09995374688096867,0.037543291953358725,0.19798511071436678,0.46302331717137546,-0.0361274813526846,-0.06385267444943832,-0.025893429751632356,0.4041517265784578,0.518977494754638,0.5120812477925024,0.38220327165403667,-0.5515137605048819,-0.009269399194830153,0.1920020270524245,-0.14765248685312293,0.09654288292367241,-0.00848097173254174,0.0314354350839113,0.34082573229176266,-0.3428266700544825,-0.057872978772442324,-0.06882235423328487,-0.25038202257095815,-0.8419852192708361,-0.23696254672491263,-0.0002105140329164629,-0.11726234718106576,-0.13000158925889527,0.4275005100112545,0.384510930672974,0.4993026555115729,0.12097185977467215,-0.04055325601072879,0.4700344614692052,0.07105185879452007,-0.03758397152894628,0.5087198801530233,-0.22355013152562625,0.2169610622121312,0.413971304852136,-0.29102918821543644,0.25578333225399813,0.005837724361342272,-0.3790084442926976,-0.27874536625450097,-0.2377425388763755,0.015395730630814466,-0.527252465358982,0.6729118991814712,0.48710738696018613,0.003923933097485741,0.11023192061769344,0.7361627923084376,-0.8103936166008878,-0.5502849431748779,-0.16011714186381504,0.45731788637763027,0.10673517839916156,-0.12585489259919244,-0.16346753455127735,-0.22372328867440933,0.25177817681290066,0.06925877197148103,0.18296868155194923,-0.3756455713773923,-0.3296326809160063,0.639800863967304,0.11202812209458632,-0.5065075253427881,-0.09065923626107145,-0.5677136319155438,0.32049487221359757,-0.03590734035375302,0.3113637585931577,0.21558787266061244,0.1593540282975581,0.6247972403935793,0.5832404450305082,0.35892137348760256,0.10136255881931806,0.4849856256322826,-0.11296947566035503,0.40368158535341153,0.5128052866094074,0.2190688704125082
Dillon,0.16886652109617106,-0.5657832513863569,-0.226525810420481,-0.24631840450338785,0.3993146287755449,-0.2622723510002043,0.4012867560231746,0.5555240714046256,0.1522825342174927,0.39062693934596626,0.11180098041275081,-0.14824528297574097,-0.5179906046431032,-0.08379905388433027,0.20184625256862118,0.2868687590414229,0.2525397575324227,-0.11436785528874366,-0.5199399218914137,-0.04655098430950547,0.190480374247972,0.34061950419299775,-0.12481886561334397,-0.06342378691383985,0.04492807101023233,-0.22730570016875898,-0.2002856448177944,0.019366754763757797,0.1396653875928802,-0.2729072918318493,-0.3151371974253386,-0.2438792238986608,-0.0695783120784419,0.34505992261644575,-0.27767901327885636,-0.13976334477027672,-0.02899773326163427,0.15909836001034242,0.43199996735490187,-0.018258362110185958,-0.25600084690296043,0.04548543941146128,-0.263408262629159,0.1181292403103321,-0.027436740338156223,-0.0016603512610965396,0.11492694517678477,0.3620229939809296,0.04535952855592189,-0.31548394241740507,-0.23434731197759498,0.24523493732290394,-0.09709552774327075,-0.6542985751790793,-0.32287389685824147,0.0980285365269942,0.0707632502256021,-0.2938555401524687,-0.11668076861229243,-0.25518185009153754,0.03400981725560717,-0.48630281232305833,-0.6699686869832199,-0.2319622562780126,-0.916497707886478,0.45148371902069395,-0.6108175903184708,-0.08513191924716029,-0.19201802394567444,0.1310341687885837,-0.09597105654261907,-0.25202800347354176,-0.10718201922228142,-0.07475755782534049,-0.64941350627727,0.09233123681134922,-0.32382807150358395,-0.028416818984261263,0.13823662250855606,-0.599319865774083,-1.0541573754698126,-0.002681036238940346,0.4075833491190672,-0.6948143973793184,-0.24198115915994953,-0.2128351349693193,0.5435517818908131,0.021722223692373942,-0.13580226592776362,-0.5513576487065978,0.09568019417511933,-0.336593869016859,-0.2191948700845282,-0.026091716957355706,0.0417130511133082,0.13670568045555762,0.11705144888121688,-0.22946102594139414,-0.1732263781844006,-0.17650242240208167,0.15462782969153008,-0.2950866401793533,0.025822964418465065,-0.4244460487231084,0.14674093497013144,0.13847481652192645,0.38047076689434184,0.49589129185813785,-0.0789964837209201,0.2754278732666769,0.5429686261407258,0.21801976491785197
Marcia,-0.023059383251478677,-0.13096040215111857,0.18160433462186942,-0.03229977186489844,-0.306942452303119,0.24227322612539712,-0.24570371982697795,-0.13282284941617406,0.08675132562113638,-0.09356070923992937,0.16796706919445656,0.4908930485009853,0.289592214383026,0.1403006007133017,0.0801571615605728,-0.3539768070542237,0.26248659965806465,0.14372526713773962,-0.11648955207492565,0.13026695514875447,-0.10182483596333439,0.10188693984544969,-0.20130666296023614,0.26923968070492954,0.2206603003200185,0.0023111626869912884,0.08182051686717848,-0.034357450613707964,-0.1112405596697614,0.0019746284919957883,-0.008781899807341198,-0.15038592448865612,-0.012064736239989316,0.04613777247673426,0.1646007100171554,0.03533178601533449,-0.030074590391994324,-0.1369337992481843,-0.321340045755639,-0.23131795259995996,0.03727826104082168,-0.24526029622664572,0.3099374809348567,0.2774918500991099,0.12890730030819697,0.1937517360644326,0.3306419931667733,-0.10680363631548837,0.02900667586483084,0.16549125719075272,-0.47648595200307514,-0.17550816763741386,0.5304403555926686,0.16460240822782785,0.5353036399863461,0.17224019465541524,0.1371484015407253,0.009508121093889809,0.12080556798971039,0.17288193024899456,0.2664756139894959,0.10740242372301141,0.23848286062798285,0.2421047256856938,0.7596449412128766,-0.08739789064442186,0.21687392513669682,0.16899212470360153,-0.0865647939456097,-0.2761683609390495,-0.3303422816028385,0.1635483456453677,-0.11280344265442459,0.29619994899612007,0.4692484992896238,0.14858615289084048,0.3004936478140712,-0.008584445824791254,0.05516107434430312,0.42520350028173914,0.5828031017192985,0.08533784011170419,-0.035776486552226906,0.15082100779630014,0.2279188569123444,-0.035679910166172224,0.14324647987549763,-0.11132111759446184,-0.060044454344230516,0.3542428619793334,-0.12461996778491355,0.4949248966816078,0.11229236515918672,0.29104719080590796,-0.011129639667121142,-0.26659837244199214,0.13904243360112792,-0.0011647850557755207,0.1645754680912413,0.21392521610018073,0.48850317161560936,1.2006198726904351,0.32602560694237254,0.6751785835791871,0.44901252974069095,-0.019415870506243244,-0.3487085676602693,-0.24412594283694383,0.3466005337727199,0.178886719005018,-0.49942468080828123,0.4848053477090053
Annette,-0.11341036604512507,-0.08840196359559505,-0.18338661595203049,-0.3817062331356402,0.12753801341966575,0.08020425096756673,-0.26527053418440394,0.022248044768379105,0.08620454701436411,-0.1857859601471016,0.5362884688221073,-0.04893584197076228,0.1313720305191494,-0.4786281340585462,-0.11038165758652103,-0.34045527793409813,0.28802016309583195,0.13250259935589473,-1.0936722080237204,-0.2503220555402918,0.3528950211500648,0.01429233171248597,-0.733202945034178,0.18206938620945776,-0.2392349397226308,-0.06770056853943489,0.3420127499224072,0.02565885064843739,-0.2525384522920449,-0.26230845618542226,0.4058588686715355,0.33592506375326614,-0.27210473549115055,-0.1648781676464993,-0.31399891954493253,-0.5930452489764987,0.01634650731455549,-0.41907246083718513,-0.0997140596002369,-0.3558318185220555,-0.1612030859243368,0.27549317974098453,0.09608468579801853,-0.17120252817171125,0.3600935015096778,0.2060966756712426,0.7244469372682878,-0.11290400416911332,-0.23572790094005955,-0.05737516288966961,-0.44129433306571964,-0.009915140903945062,0.17846360928099467,-0.010341020335013822,-0.41306828972663334,-0.2775411843884616,-0.3618828363930079,-0.3541873420095034,0.4044798750713623,0.37234339966128316,0.18069351354546742,0.17456721501132827,-0.11850978522079367,0.11730752242438727,-0.7568690984002963,-0.17026935092170398,-0.15777980968662408,0.342770759461508,-0.27709109351688216,0.18225471094579698,-0.05035760040310856,0.16943145380029842,-0.24294946547500823,0.13905959233321685,-0.34245961096483224,-0.4069896707275175,0.2544443581708224,-0.0054041860995022095,0.14250852234717187,-0.4273700724486102,-1.0640019880726685,0.3797084981357933,-0.09340812958476752,-0.20173533364412577,-0.05415339084391893,-0.94720036277898,0.6029109057284686,0.08990554733974372,0.09229590296495935,-0.0690309650059129,0.15631195221602764,-0.4146382647277559,0.08214692306984268,0.39307509753751113,-0.09375594650921105,0.3002531453893364,0.6397525398061252,-1.8133027562897053,-0.1973126918917853,-0.05012914841766784,0.2729914656091051,1.1605194918776822,0.3083297862736008,0.7336289874596238,0.4516814352182549,0.42133106259152175,0.209450770227769,-0.039704944137223884,0.05851948660622753,0.34680479646726525,-0.3402216049511554,0.5470392959290529
Gail,0.216306268997103,-0.4685461411852444,-0.01748119195031279,-0.1675138764556589,0.28405255974975224,0.16575749628694272,0.18455775230264693,0.21776308895356275,0.4082313641755759,0.139699882957176,0.2947400574407761,0.3360670211864009,0.13106398062468788,0.0012600627335310128,0.1421296324007781,0.03523963772479875,0.35844837746263086,0.03631320654432359,-0.9244741672205236,0.15559217133357997,0.38557292100932383,0.1170480931951175,-0.29318296878950406,0.1766585620277429,0.30276746505430724,-0.09932164278441355,0.2952846445412124,0.1731279331636477,-0.07425994829365296,0.06600634170394032,0.32454430206027174,-0.03146645674263061,0.08282596780670184,0.11484448928655565,0.07936600429729904,-0.1527715798330491,0.46233200573829736,0.03012243046578823,0.045141067703486054,-0.2581576470994517,0.15698442251425776,-0.1895861128255099,0.21407950650276816,0.35452649246603996,0.377727755192678,0.32343132437806404,0.2981136101762632,0.10195963050581085,0.3173361719047414,0.13727808934937594,0.13328365328504782,0.22657246600761727,0.5450932935301523,-0.8000242516776855,0.12180957683675026,0.1756070058361159,0.10496819122066663,-0.1416428575062224,0.2218554112714987,0.026658554666117006,0.18507782173800558,0.19255772408054841,0.01276409218822538,0.17391391662631547,-0.3349150841950469,0.12275592514744814,-0.1686183693167327,-0.14756974796615033,-0.10265319495769713,0.026706509276354658,-0.04242755518254466,0.08496350304576426,-0.1332890824369448,0.3143701802036513,0.12474020388896688,0.13469309864411158,0.34490483990086807,0.11154991042065182,0.2543672566167955,-0.14132306346993212,-0.18901590659175901,0.10690784382215944,0.05850405309631024,-0.24533313085512043,0.08939427054881173,-0.28916253743765913,0.187393216453836,0.06395778706516086,-0.14881669292745003,0.04290526426468294,0.2698757047069389,-0.02710573726045426,0.12476649766995283,0.5188789171587662,0.2757354429409807,-0.11444763582899899,0.3426540327383479,-0.8218835000209797,0.1621234530211016,0.07843525084248631,0.459884792522231,0.6207136683588924,0.383118634903299,0.46756283233896,0.3550034379505532,0.020452220267198614,0.07588542950169368,-0.03142782676399764,0.259192995441381,0.2611564809840584,-0.18769517479810338,0.3149727815294686
Courtney,-0.05481839619391418,-0.5815072192977986,-0.21842924732169583,-0.15825773539407217,0.06074304739676251,-0.2854744204565286,-0.47794868838259097,0.0023454588353868785,-0.10560611577354688,-0.6735471013037518,-0.2855978561359822,-0.24261910591139152,-0.5801085436472766,-0.17348776131628688,-0.36956890371794415,-0.5754301936206728,-0.04390847357940133,-0.6148985113671096,-0.6820104062859508,-0.06219324893517487,-0.2007408236490483,-0.07188915360373718,-0.15074956213360752,-0.17721480636304907,-0.0468459067221969,-0.04533518732633439,-0.38849983357679096,-0.1598988559955722,0.14185679475866636,-0.21511196655309225,-0.04896124374775866,-0.4375187639310201,-0.303089728317177,0.026324013705103264,-0.6038786104738073,-0.33994336265876,-0.5662622233879938,0.00391043420429674,-0.4843618867526658,-0.3377531850912038,-0.5591487450874857,0.2501004568628869,-0.3473272764556965,0.7416537357146967,0.13122906894891487,0.11945701250460558,-0.06476381144925551,0.1994318144571163,-0.2988699394886079,-0.1860536383119819,-0.2815067828607134,-0.131419652243458,0.03318831827435137,-0.7606817973952117,-0.6910380736557824,-0.3579744129562468,-0.07930943814780862,-0.2149985983958969,0.270956659704481,-0.13861559583764763,0.051155974679084795,-0.4075757435796695,-0.4877210651256575,-0.5232385637175277,-0.7979982907325057,0.2852087993403335,-0.45246789237388324,-0.3918881937815494,-0.014652905391259925,-0.11146297894389183,-0.5402214982936857,-0.826807593842685,-0.3746194314976162,-0.37031965199429806,-0.24855216491672436,-0.20105906707951265,-0.04646167449788009,-0.2175125295691786,-0.0017228893679468256,-0.6229429773739268,-0.7404087853815056,-0.2671801411520595,-0.01685667756605585,-0.2901257116478606,0.1644340775981621,-0.42709539042581235,0.39266732005291394,0.24611455144179578,-0.41047559826068414,-0.011427755092320826,0.19163816987182133,-0.4724281094206419,-0.3870430940348053,0.029753714187746926,-0.034175071892167855,-0.6494495688330578,0.11240438112609777,-0.6974425450105157,0.06409341910589421,-0.022033933762734523,0.21616295899676782,0.1534222841003445,0.40929771651743124,0.0040534242495992336,0.42080253066838935,0.24320964226818736,0.24094763586838167,0.01684238398034682,0.21105584697831525,0.3299164540095259,-0.33841804584500046,0.48012311240462374
Ruby,0.038029687151779776,-0.5642451561441698,-0.2785316226457902,-0.18564383381206503,-0.2697025076504304,-0.018783531300952276,-0.26462341711688975,0.05146890731727593,0.11379455868014643,-0.14973428607508915,0.3684297005895356,0.025392636296229128,-0.43878488085519,-0.16963146971733087,0.0317998467358723,-0.2037084115735965,0.22580712082143792,-0.2124776269191503,-0.8578501156552604,-0.23401882759067805,0.25603286614875964,-0.09140648558098836,-0.515008340802121,0.0564449762422457,-0.03951584522976893,-0.04383573325413113,0.172371139310867,-0.1251051463832125,-0.021535830359220468,0.09582274520532251,0.017247480201905474,-0.3360447379791173,-0.6535065667156076,-0.29734302510198307,0.0813698610278568,-0.1378703842835335,-0.2683323423509894,-0.5201565483896471,-0.2367560611496088,-0.11113155843905898,-0.26657503188914766,0.06879206793389117,0.14761737124072685,-0.01467781272172479,0.3809184419955226,0.05291165131787525,0.034741661184258414,-0.04213641026367256,0.35841190846032595,-0.39775595464995256,-0.4618495349018484,-0.32182452829632063,0.0315293530167827,-0.2487288801390026,-0.03824789425059089,0.2012715690080634,-0.08038031669592538,-0.1433118181604956,0.3608541138258116,-0.02099507698348871,-0.10951203678144061,-0.06557230840462568,-0.26907362807472057,0.07953789767588995,-0.5853282990674337,-0.12948397620967642,0.01892247436137607,-0.19849981674437875,-0.2737670715762634,-0.2344886788583326,-0.3396986178500876,-0.3230789964038699,-0.5947629534724881,0.20689047343985614,-0.75528296730168,-0.2036393702494656,-0.19012151572856886,-0.016390699883762405,0.36140915811941116,-0.22823126177815878,-0.5272232331176373,0.00032860657573954876,-0.025299905116812356,0.08640204980278327,-0.0344931525845007,-0.39158895644463665,0.3106550176996908,0.2711724533853084,-0.2610466180109826,0.036725970781744464,-0.26937605408312004,-0.1823051067650296,-0.023901004807241652,-0.003845069042030603,-0.3541014574724247,-0.22236063299826653,0.265183826399155,-0.23994724832757006,-0.15212801430735337,0.08571731390510648,0.683330914926899,1.2511082033787493,0.5834567693530287,0.6849385065898626,0.5510575383260441,0.12168773394486421,-0.09621126120768841,-0.19036344550801623,0.24273670686184715,0.5929958336979283,-0.12655242173654405,0.8219763001505805
Jessie,-0.5121267568499406,-1.2200689017012525,-0.44894035036384417,0.05561049905883854,-0.27011474651137807,-0.22689405034244126,-0.9175257646052014,-0.09575211783918351,-0.0818289244767439,-0.5778423770145624,-0.13025281430522317,-0.3895726258781081,-0.42228372915596646,-0.3114048528279595,-0.5167788722411181,-0.7901646828732363,-0.14870510124998262,-0.4869865268674835,-1.0779872043997027,-0.19445285092182646,-0.23301423995879278,-0.19928219816284443,-0.44454737957903606,0.026063971467364055,-0.5492050068261312,0.007234766293744883,-0.01606999009837289,-0.18269762014660396,-0.11864090324545432,-0.054563356815353244,0.0917597026571574,-0.15408076884999894,-0.9107468355993815,-0.3648314080491327,-0.40364333305647343,-0.7159847502254757,-0.06844921243852557,-0.12700168561228808,-0.9634454162524009,-0.0007317652081875023,-0.2770932575861622,-0.5312447110925483,-0.09457892538968043,0.627203001098784,0.06765531811560767,0.25533778156334985,0.2767843687774278,-0.1879485265075463,-0.5471172711459429,-0.4191272667580788,-0.613203743483884,-0.36543622351946026,-0.1505337254237437,-0.7146051590864441,-0.603374385957208,-0.023966354909446642,-0.3436764610377207,-0.18459840233365388,0.5454148902168954,0.10539910776992911,0.04920968403907708,-0.4833297023028867,-0.11127522058536424,-0.12880797664005822,-0.9383929041635258,0.02120667749463659,-0.43973875024560527,-0.22906116620509792,-0.7174423057618804,-0.297418458706844,-0.274232014613163,-0.1630610516287622,-0.4152097189453865,-0.016248060197842813,-0.586653461729772,-0.5350849608982279,-0.00037359871029493165,-0.47708053632097047,-0.07064598221678543,-0.722990303127221,-1.4103701280807937,-0.1991408577900176,-0.6095645556215367,0.07372550742011437,-0.09629960905715915,-0.6738746077655647,0.20091867218640633,-0.060437550676324836,-0.5017474278465205,0.05839556784447316,0.14718855039085468,-0.5542481691733344,-0.16774578593774486,0.046931034743204286,-0.2790626243636382,-0.7300152607188746,0.16934711333493996,-1.2429613119387963,0.12651242924341402,0.2429370321443237,0.25706071479728615,0.34952420001698015,0.212513727268171,0.4566378015122125,0.3732274560907041,0.23695174152946222,0.25231402022563104,0.04944541533596691,-0.1186246474806195,0.24331880326400945,-0.044655326295079886,0.14441647487562842
Victoria,-0.142047729143183,-0.25849631550151453,-0.09189530127269116,-0.18747823221494575,-0.37442760851353957,-0.2745724458854613,-0.2812982105023555,-0.2311846473503083,-0.382126612196858,-0.30590376416510273,0.21077339594322908,-0.07141853700802554,0.10131521012628297,-0.25139464324032257,0.00752885447587715,-0.2368384596195253,0.2102483551423154,-0.2857755527349215,-0.057027046525786135,-0.27868462576377334,-0.2564249253539982,0.09206947325147254,-0.024191752226519352,0.03344778421943144,-0.22421577262654815,0.18489887290766208,-0.21363575608227378,-0.3378587719288856,0.2021144952859079,-0.20692629616203925,-0.5464521248376878,-0.09382253367758747,-0.30321629344254447,-0.2249283069918775,-0.35314125089732146,-0.18639231254336766,-0.6272339524886953,-0.21927593539755189,-0.12139685087827524,-0.3343317859120858,-0.44003099921233035,0.02648196533988052,0.05724317549246738,-0.5316750530321022,-0.005330465947548186,-0.2591228663910576,0.007258167180517616,0.11253130745259138,0.1216531687138693,0.1397851036298596,-0.4147508112518707,-0.17557805655323366,0.13040667104160025,-0.19476708800606604,-0.09772627159599012,-0.5279396169256965,-0.18665302049872012,-0.025787558804945862,-0.02609008139672639,0.19301628200823598,-0.2579872613379362,-0.37543745528861977,-0.29460536725136804,-0.19311745315099102,-0.4185632360886183,0.0824728473646452,-0.3982100872771733,-0.14297931522972965,-0.10266949880134063,-0.4764688309957316,0.00023714429902887485,0.24964484909801868,-0.08776308854841365,-0.2206584383956241,-0.15453788100063592,-0.3234005957748337,-0.25876027800052587,-0.37694515349381924,0.003188276728763137,-0.05290887425340284,-0.3554356491937328,0.007913429377787709,-0.29651916120281374,0.06420212638416602,0.01936440115012152,-0.167149870054721,0.31275508749451114,-0.12300248959553148,-0.18028682912763008,0.03402464854220873,-0.5514652696763078,0.3139273037541901,-0.033944296225710886,-0.09687080037654779,-0.15416293903482872,-0.2187747523175455,0.02423230671738773,-0.2073142720006728,-0.07987594049471947,0.08900527036887333,0.3834230785681114,0.9491265528503654,0.2956254110941908,0.2524764027943362,0.3023696427208618,0.1657007472709266,-0.11236129999941571,-0.41259289811336086,0.2410135226252884,0.3974370435148864,-0.37210395614685826,0.7449592936869656
