index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,straight,homosexual,gay,lesbian,bisexual,bi
Evan,-0.17531288814953316,0.02165320264859345,-0.586039844164662,-0.2722775710245229,-0.838514857410793,0.08003615764121935,0.0972972456645649,-0.3768396418959695,0.10467298616802972,-0.0751449425578679,-0.1341759622055569,-0.017508094659156738,-0.3393899999380293,-0.2701084999471816,0.057802418745794115,-0.30006261843253235,-0.10440306412016435,-0.04707050734194887,-0.9945563391383149,1.434540170360158,3.2083202234850843,0.5271838562941962,1.4043537170805138,-1.2619315807440281
Gene,-0.09924734403548045,-0.031224453674194852,-0.36727115099369034,0.4336609222524119,0.6349733788130241,0.5340711174839039,0.4826232392252604,0.5625840611618715,0.3386695821971167,0.1821241366891688,0.3016482124600998,0.15432747047966838,-0.46904902632299966,0.15995527253280759,0.24176616001792503,0.22135265815235536,0.09935808979336398,-0.5331783513945678,-0.9607391977331237,-0.39081303089502545,-0.9059414869593319,-1.2400202746804412,1.1762163294227248,-1.0203009609318343
Dillon,-0.30172392244212903,-0.0891755446296171,-0.5652457769252933,0.06642391440513144,-0.8731968595223639,-0.03628980222903753,-0.027317387067221404,-0.29150562901613625,0.20835403657625376,-0.035526919764257536,0.1302996668646861,0.2846829891538086,-0.07519022546631908,0.008924488877679002,-0.0009596894711104977,-0.024611268544863715,0.5421888360411257,0.44518790953860193,-1.406004473949237,2.3053502944665625,3.726582640271558,1.530627277557683,2.5718411784115816,-0.5383290587632817
Marcia,-0.0749733796194117,0.21072187082892446,0.23943325122768944,-0.3402827897150795,0.3206736515255497,0.17961760894682016,0.003744554826558664,0.1295569271612391,-0.12024537274229721,-0.17221868380077127,-0.16621509726325065,0.03467373740477642,0.3085822364943835,0.2551381122327616,-0.28805278277612717,0.058322618806335984,-0.25745886166048193,-0.31044899733867665,-1.0488812014145037,0.725171271606753,2.041528354361545,1.0775720188226494,1.35127566281911,-1.5935022034780426
Annette,-0.5970864214822833,0.2581363901082983,0.0809765491920263,-0.04935600377213312,0.0746540066877708,-0.20783852279123366,-0.7945834596010508,0.17557899248309558,0.10464970541026539,-0.23955651496297783,-0.33334991346412035,-0.3233112205995623,0.07053840869053633,0.09406192415771644,-0.19428980227765044,-0.03270610665094056,-0.1848106938103239,0.1977523205611655,-1.3437168379112543,0.7842714112503412,1.672614169374399,1.414168480866988,1.376400800844617,-1.3925702451382562
Gail,-0.0211661957870678,0.0994836306873312,-0.127087972369365,-0.2270708228309156,0.1250296730382745,0.18672177322428124,-0.48233846049688445,0.10599425221845078,0.06614744916580109,0.18228046155407807,0.1846515632252197,0.2205476746432258,0.09413610257105372,0.37605689932002284,-0.034821201199861915,0.2777178015813399,0.3151338809470783,-0.26586159138670074,-1.0121010813723021,1.5621478822681016,3.145715185996063,1.8327075784339084,2.192409162218344,-1.0689120422083431
Courtney,-0.3625311910088124,-0.019568415406516278,-0.34209994260488974,0.003476262596977477,-0.3384237682914989,0.2110855489770546,0.042647489804759596,0.050600796951390956,0.21507410972946248,0.14085532835690956,-0.17672773172144773,-0.1555089535747837,-0.4641969428694425,-0.014670915238937344,0.048048957423457175,0.07610272125401468,-0.1351785560587495,0.036870587620048356,-0.8942931078273628,0.8696620803135972,2.5260861936758046,1.3215547936916863,1.3697281993253325,-1.5568001392056676
Ruby,0.04459542935341762,0.2446460393930584,0.5525624403836695,0.4708953574595041,0.5140956516823435,0.19110817137475214,-0.07759495119538212,0.4911875526258338,0.478735534096934,-0.20681904074712087,-0.12033093372908985,-0.41897942751218975,-0.26560934476194176,0.31417420585953015,0.0703681592666707,0.1267920676346789,-0.08961949644607946,0.06348942356148456,-0.8265158477020041,-0.47696497130680965,1.5349611611724372,1.1262663464407752,0.8624642059198274,-1.5962744963216542
Jessie,0.23833112781037133,0.06744643033557413,-0.2279975634678168,0.0059511376946204805,0.6380774081113144,0.2351317285227518,-0.26547384556015385,0.474317113075181,0.17502726059840726,0.24608730759050065,0.05571629028709902,-0.06371045129277413,-0.7003025254601508,-0.08535536671469669,0.08916416424466672,0.09231211334594655,0.14908075642008317,-0.4682141664480346,-0.8827024798519516,0.7974607151076238,2.329919033449032,1.018580978525211,1.1216411648492144,-1.3320636539257305
Victoria,-0.315767844680759,-0.016502478662531433,0.3906415958831303,-0.3444638010019818,-0.40687710166926383,-0.17640498824507597,-0.0606745248901359,-0.268206178679009,-0.14785025513790356,-0.35386517758665015,-0.4658416655899892,-0.6155678044873276,-0.14316339559575966,0.10375375511251698,-0.15833228587034762,-0.1552605365227618,-0.5258609590082168,0.3681178708162294,-1.5488690792699207,-1.1922070950760382,0.4843612176312903,1.0407627058451003,0.5288948091977614,-0.3881792591750188
Erica,-0.2776699514947083,-0.08366199166800435,-0.16420967888732735,-0.07369122448790134,-0.18378449373062924,-0.14173058460240168,-0.06378922384784999,-0.10337524802853178,0.01837829170975873,-0.2650353923738937,-0.4473473839056624,-0.2639090908449884,-0.14431195633566332,-0.218413315624268,-0.3229347063378766,-0.34901170448658553,-0.435887317988254,-0.04195316602621966,-0.8895249762430625,0.9275641568954065,2.6008673280244574,2.236669077179483,2.8080389700087878,-0.9738078046308426
Brenda,-0.3137341235069942,-0.03538833931405649,0.05955311977753528,-0.0002973415488124153,0.31027050204897144,0.3814998348009694,-0.4602794844353923,0.39396216204994966,0.13845494684258558,-0.19810073337642006,-0.19650494099755225,-0.2534686769535678,-0.5898298109202667,0.18497646745896051,-0.22860461095854168,0.2508611523308207,-0.23703984999822572,-0.3534446614387006,-1.2424721324302481,0.4704323987718143,1.884533987793921,1.062141929692721,1.1238459562783847,-1.759526743425079
Cameron,-0.1346303859685938,-0.03049731561368972,-0.22280406284909424,-0.11511849857616482,-0.2763282098624818,-0.011043227693631546,-0.07328466382138016,-0.21248391721350213,0.21047033924643224,-0.18475887350921433,-0.09437077796524111,0.18797797335525235,-0.13593631076876772,0.12018166894210634,0.27792870303932843,-0.0802866385585747,0.3404117012905412,0.455132207585506,-1.2433219205657586,1.8873552036030337,3.396464872632381,1.0641596885360762,1.9406441469769302,-1.319695925590615
Joe,-0.3389493299845947,0.3946172223848078,-0.456741320864492,0.017638352708767846,-0.2847483063777205,0.39880129206723935,-0.17540039228132667,0.129922888024986,0.16060350162268086,-0.08333202017004647,0.2593679735043386,0.5886650559640672,-0.48834058075916886,0.12391560578327303,0.11354348158204154,0.21032081614352147,0.6106918888256796,-0.48703334831397,-1.0361814992236804,1.3023826514814387,2.6000176645042967,-0.28555563058288724,0.7111344613851585,-1.3869425925770338
Kai,0.4196742492679489,-0.28036022054941456,0.21360459829899633,0.19478995572192273,-0.40399269326533277,-0.16074270877650304,0.37465327064052917,-0.5357279486360708,-0.3557205483122952,-0.2767496549898619,-0.43318930776795816,-0.3870127210183197,-0.39954002557914037,0.013747825269537321,0.03771790573623229,-0.2801443160706483,-0.6973891003229179,-0.4333228566843405,-1.0386598093206345,2.0756890223974827,3.203402311691483,1.4124664523109176,2.4035825021634953,-0.770720722450738
Isabella,-0.14223354359258553,0.1477869383461566,0.37106336799864853,0.08305430591565852,-0.14099786271566345,-0.2518147345118892,0.02299247650697517,-0.2355075361143498,-0.07266106500432766,-0.20022948574002794,-0.06700007545601584,-0.1592416570668322,0.8254995316919147,0.18881067150637434,0.15695699757144913,-0.2220642533667786,0.2608694788781571,0.9676527794746022,-1.3680975248289664,0.062489945633017706,0.42491901307114305,0.7716372984682224,0.31311798199220486,-2.2744603991716095
Adrian,-0.2481513978847866,-0.3180174075321155,-0.2553725568023486,-0.34654616407100475,-0.8102517269571092,-0.17198987677310817,0.44941752607130486,-0.5348804647963379,-0.07218645134441352,-0.0048706945573530145,-0.16785366246288008,-0.22270360321353147,0.199987228031299,-0.02149850189118253,0.23578666740615029,-0.02773750800466953,-0.18203391409309758,0.35268297609133425,-1.4022115374400173,1.280254815058493,2.4057750522222583,-0.037426412193805624,0.8473213144449276,-1.6790182055408969
Beatrice,-0.06122730512570764,0.22699287299991483,0.9308254512644667,-0.0047291206040770755,0.4136843743166932,-0.24608479451714915,-0.5783634251315392,0.12516675677841688,-0.01774571866923629,-0.3011407368782021,-0.24401271839316283,-0.817528274237076,0.6591293985411247,0.42166573160375626,-0.32650415276881334,0.116715985609715,-0.16269616559866826,0.676294630166287,-1.0205694061707056,0.4147446075442008,0.9090244530925439,0.979473416413971,0.5325309581598029,-1.810944486517917
Wesley,-0.4176557493346658,-0.17218815114172875,-0.39894936629526645,-0.11906777400303595,-0.49971058073483193,0.08171350921180391,-0.009469214336869406,-0.06559516479371803,-0.004367245257600171,-0.017095887611609503,-0.04172467698760132,-0.05751675985303561,-0.73802875094663,0.01550710430652397,-0.2524496289251389,-0.13731400049541992,0.1535176150375636,-0.13357352930621122,-1.1550783407492915,0.7753542461533364,2.05115689583748,-0.5770247368325938,0.1708817069113384,-1.9301868826720585
Brooklyn,-0.3591665321253902,-0.19085024787044766,-0.7811364766810099,-0.11984549890868078,-0.4088846880351106,0.06420166155397819,-0.07300846242842858,0.29738275899409294,0.21797000186224522,0.026636869836405164,0.08899901303093946,-0.046643307838958266,-0.5422740531569928,-0.25162756427612076,-0.13163880076636467,0.11652173463748726,0.056231969847889036,-0.4160489467459545,-0.7941833685159645,-2.1133551002792785,-0.017517561818211298,-1.0587707620438285,-1.3217785857458837,-0.7354769350522901
Jason,-0.3003471843917887,0.04359169765494201,-0.6357593904331428,-0.2525489580839397,-0.4736526142261871,0.2355526694588816,-0.003214628300468806,-0.25966559805538003,0.09143072842598556,-0.08143755592354048,-0.13253430655122622,0.19032799860922864,-0.19796495012740462,-0.11289488620764329,-0.08033893582096314,-0.13062834793257444,-0.059793446156836176,-0.02543289479339749,-1.2827765236658923,0.9377982754858942,2.172862052097495,-0.43268391895532876,0.4627198928993038,-1.6187992255327088
Marguerite,0.1709469364584765,-0.11368309126119219,0.3671178569688733,-0.006556784626894225,0.04711488860403167,-0.3540682974121861,-0.4279437507820717,-0.10665298936172221,-0.06032150405333354,-0.3582617540773352,-0.20247525903690855,-0.6764094965624697,0.7906584902042421,0.26370957235031767,-0.2015333458671973,0.07605098983409248,-0.13139785114627284,0.9512652622024274,-1.1905366538295346,0.5657082802322395,1.4714785758160587,1.3071200123077245,0.9897348756479275,-1.7106524751095773
Jim,-0.2882093548532595,0.4097167974504966,0.09355961479884635,-0.22822977008967127,0.17848016464254882,0.026902561020269344,-0.09394242332675354,0.1396348925447711,0.10834533664160687,-0.2057122543917437,0.1400115815767004,0.44715887257234666,-0.13531135171092182,0.36482348528050096,0.04765084711990733,0.15977108516615643,0.45772473687687254,-0.19226573264002458,-0.8536079608958657,1.3952035092638733,2.92467663568836,-0.2717046043102874,0.819625333245175,-1.2690670759842584
