index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
water,1.3134833903090148,-0.9391436633397467,-126.40581,47.516697,6.6508702999999985,11.062042
coffee,-1.5936436769666489,-0.011542346405261791,31.901978000000003,-91.73742,10.708464,28.524687
tea,-0.3724330191540112,-0.007002887630547484,-86.382645,-36.724728000000006,8.466877,10.533182
juice,2.6791977825867166,-0.732053271998444,-156.01758,105.21705,5.1032410000000015,11.278731
milk,0.18611436168513198,0.0784539679538441,-99.49744,-7.217745,7.986476,10.8543005
soda,1.3747310734374998,1.0844825566175464,-193.77232,24.856821,5.9016304,12.572958
energy drink,3.5651279795720976,-0.5802575561905644,-171.32877,126.40305,5.5392175,11.104605
milkshake,-0.2689026359747785,0.12153217892761498,-72.68261,-10.972892,8.922903999999997,10.345151
smoothie,1.5214100580123548,1.008773414208828,-212.40225,42.08173,6.171223,12.231919
alcohol,2.2849715315715216,0.07243200813231407,-181.94545,83.80830999999998,5.61143,11.639395
liquor,-2.59391750595863,-0.02822806894918088,38.941467,-152.16286000000005,10.399396,27.800573
beer,-2.734409640399804,-0.03790656918056776,66.56291999999999,-146.63142,9.938324,28.578459
wine,-0.9831034224014852,0.07764849599105292,-70.12063,-58.83035699999999,8.896009,10.836484
cider,-1.881613575684528,-0.13362944765885176,27.607908,-123.0123,10.926067,28.154655
vodka,2.119086262982531,0.477441914603455,-186.03839,56.78161600000001,5.703303,12.036422
rum,-2.510457978980236,-0.12564001946560854,55.193264,-116.43621,10.452978,28.681732
whiskey,-3.0373721267432843,-0.17472895551597056,55.226000000000006,-176.96393,9.961229,28.028053000000003
champagne,0.9317311421065338,-0.15063175009991267,-127.67704,22.71234500000001,7.1599035,11.138162
