,country,beverage,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,water,-0.3176220665392738,0.030384359753235463,False
1,Nigeria,coffee,0.2041416550088027,-0.02700231103460278,False
2,Nigeria,tea,0.08080924190152987,0.11207787360971352,True
3,Nigeria,juice,0.05097257018726409,0.0169209488337524,True
4,Nigeria,milk,0.5788113429923804,0.1734494039017873,True
5,Nigeria,soda,-0.3573704446821066,-0.13769790735818752,True
6,Nigeria,alcohol,0.6138064980898682,0.10606309560656656,True
7,Nigeria,liquor,0.07162695815938852,-0.1777603352599437,False
8,Nigeria,beer,-0.03231031050738014,-0.05903058221154193,True
9,Nigeria,wine,-0.18882395987858835,0.03319532485262945,False
10,Nigeria,vodka,0.20276581792940004,-0.042137380471715835,False
11,Nigeria,whiskey,-0.11417092617020765,-0.016335032895577133,True
12,Nigeria,champagne,-0.23436500988651185,0.031790405561971366,False
13,Ethiopia,water,0.07659097544122835,0.09562712550720123,True
14,Ethiopia,coffee,0.5696971172006071,0.09616611001156307,True
15,Ethiopia,tea,0.2293870107653104,0.25676533519532235,True
16,Ethiopia,juice,-0.06671416124534019,0.1118113887269948,False
17,Ethiopia,milk,0.8551944312598646,0.31491932357547714,True
18,Ethiopia,soda,0.08152021038567966,-0.07468344395645479,False
19,Ethiopia,alcohol,0.360661062131682,0.06814376350225974,True
20,Ethiopia,liquor,-0.24858612948472925,-0.2697295592085798,True
21,Ethiopia,beer,-0.13920533519236578,-0.2434541525944413,True
22,Ethiopia,wine,0.5570600828603088,0.29945685742035033,True
23,Ethiopia,vodka,0.2344577290685422,0.0126693220109739,True
24,Ethiopia,whiskey,-0.3869447737421473,-0.11339040320400075,True
25,Ethiopia,champagne,0.11992839427645527,0.223053736059917,True
26,Egypt,water,0.7009262165159517,0.20920982456469148,True
27,Egypt,coffee,-0.045352356734026496,-0.041060272795128964,True
28,Egypt,tea,-0.11003196727585772,0.16779432264702035,False
29,Egypt,juice,-0.6267649687075342,0.060333418450730925,False
30,Egypt,milk,0.3874683631312982,0.17186355198859093,True
31,Egypt,soda,-0.4093440190574715,-0.11221894040846556,True
32,Egypt,alcohol,0.1792073322302351,0.025234822452299903,True
33,Egypt,liquor,-0.4354823099194052,-0.2375516044455341,True
34,Egypt,beer,-0.6558917682181956,-0.2975397551956045,True
35,Egypt,wine,1.0111864315606405,0.2802588674047765,True
36,Egypt,vodka,0.10713045741750277,-0.045707494636133834,False
37,Egypt,whiskey,-0.5504201195370383,-0.1487693212026156,True
38,Egypt,champagne,0.2563686602972037,0.25934549077215424,True
39,Congo,water,0.2725790274480731,0.06282013101555034,True
40,Congo,coffee,0.3810161616272935,-0.01573193102330355,False
41,Congo,tea,0.30991159570725124,0.21532974639103888,True
42,Congo,juice,0.467152150490336,0.11038279906523828,True
43,Congo,milk,0.7369073027716894,0.2753330593231157,True
44,Congo,soda,-0.18464664283591176,-0.14095546500607525,True
45,Congo,alcohol,0.4150746764196311,0.12827932200884812,True
46,Congo,liquor,-0.06378159859442688,-0.1487316327587034,True
47,Congo,beer,-0.32931602230714097,-0.21511077702067696,True
48,Congo,wine,0.2273492722359393,0.2268117079406467,True
49,Congo,vodka,0.23930828555876804,0.04571940455418496,True
50,Congo,whiskey,-0.1844742660556602,-0.08694542255897843,True
51,Congo,champagne,0.6264493934863642,0.2741211022677704,True
52,Tanzania,water,-0.10694786554898454,0.06747257822708011,False
53,Tanzania,coffee,0.603787633801683,0.11352986301394095,True
54,Tanzania,tea,0.9592231793667888,0.27271742143603744,True
55,Tanzania,juice,0.22263851551942807,0.08235669369079568,True
56,Tanzania,milk,0.5549544853134322,0.2731420684183464,True
57,Tanzania,soda,-0.14180576643139214,-0.08736072593072826,True
58,Tanzania,alcohol,0.3338625529973026,0.10168811699745617,True
59,Tanzania,liquor,-0.1687237944675516,-0.2470551928446346,True
60,Tanzania,beer,-0.09905274247326867,-0.2093491071536386,True
61,Tanzania,wine,-0.07109501150927794,0.16515147527419308,False
62,Tanzania,vodka,-0.03477876453218175,-0.012874621718607258,True
63,Tanzania,whiskey,-0.2597390381874065,-0.10531500457705197,True
64,Tanzania,champagne,0.13770187137291565,0.21510596706055465,True
65,South Africa,water,-0.17893212268990275,-0.06452762862320198,True
66,South Africa,coffee,0.3957884898024251,0.12898769487261613,True
67,South Africa,tea,0.39004087675263227,0.2858377066421572,True
68,South Africa,juice,-0.08924981286798166,0.011899013913520246,False
69,South Africa,milk,0.33392731035291084,0.3225428657900777,True
70,South Africa,soda,-0.136165171683153,-0.012792399619193526,True
71,South Africa,alcohol,0.6088008032502676,0.1910204881192548,True
72,South Africa,liquor,-0.4344180873547466,-0.1805753790785252,True
73,South Africa,beer,0.05754339546359255,-0.09698611978472793,False
74,South Africa,wine,-0.06963643266166637,0.0936443615047643,False
75,South Africa,vodka,0.2566259334101661,0.10899657264557812,True
76,South Africa,whiskey,-0.4843018908019287,-0.0868761923062162,True
77,South Africa,champagne,0.3691160863674536,0.18674447175819514,True
78,Kenya,water,-0.3846370815527383,-0.034556550189996364,True
79,Kenya,coffee,0.4537520064972987,0.164052393234508,True
80,Kenya,tea,0.8664369851291548,0.293287603856751,True
81,Kenya,juice,0.06553690678139305,0.058507223853709864,True
82,Kenya,milk,0.5834281380525663,0.32388916130850703,True
83,Kenya,soda,-0.3699895176907324,-0.05167370239675083,True
84,Kenya,alcohol,0.4547812184965086,0.15389379598257336,True
85,Kenya,liquor,-0.07166239925143379,-0.18421398070075698,True
86,Kenya,beer,-0.058813357933625215,-0.1059841172895839,True
87,Kenya,wine,-0.15524679131982566,0.11000891330352316,False
88,Kenya,vodka,-0.01948785649796315,0.034165305672075166,False
89,Kenya,whiskey,-0.3111773416807451,-0.0217229037371397,True
90,Kenya,champagne,0.0433042360102734,0.14069147671119026,True
91,Uganda,water,-0.0674646474085126,0.056169022567894265,False
92,Uganda,coffee,0.4046465011205319,0.06687534028336241,True
93,Uganda,tea,0.8090098187403573,0.2412385776131153,True
94,Uganda,juice,0.4746614271141536,0.06917682671555576,True
