index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne
accountant,-0.4065299667511176,-0.042480528515641734,0.06552228029970036,-0.3074937067576207,-0.4630143561922612,-0.3112124048310253,0.05261212883231895,-0.15603178405543836,-0.3545166925898103,-0.2003148589848216,-0.16989843463562065,-0.3613359578846753,-0.09818032234038816,0.08581323082549208,-0.11399580029414887,-0.03880758042134324,-0.23772792701998316,-0.3697751575310022
architect,-0.3149014135991102,0.006217350427487249,0.24564087475054222,-0.709388257916775,-0.5026031461162979,-0.45570490829552435,0.18769189461148056,-0.236597510597518,-0.43943557287376683,-0.24610185026673467,-0.47772127677400955,-0.6194956915098278,0.3822858805824057,0.0024536646076767227,0.1970242021146864,-0.30058132201938775,-0.7644649454701518,-0.08875048315659581
artist,-0.6156062705158847,-0.07324264018169258,-0.10610731542855723,-0.46113087992385254,-0.5550039169176784,-0.05657575682510618,0.23419498308691056,0.07739144790130575,0.057359774303348016,0.07891971538750454,0.18265605865326923,-0.028974511163497724,0.5200731519102371,0.0366156555943326,0.24770005362442069,0.08132853556034439,0.020447369382011676,0.38932076395524295
attorney,-0.7362509406264071,0.13661594125107113,-0.716667143346385,-0.5420118916003654,-0.685611630414248,-0.24993494836804078,-0.5711899674399636,-0.3378712455542823,-0.33553569532673,-0.028555584832260682,0.14589254029740276,-0.24417478548998597,-0.11654261771441572,-0.2215569752546496,-0.30087651846169594,-0.2833838273067492,0.1762680774550621,-0.5489340220259201
banker,-0.37361337743122863,0.003103538672966155,-0.04399088934502853,-0.29530262659320816,-0.5790235570843546,-0.3648243369758847,-0.5302885673438035,-0.178571502045075,-0.4863348550434406,-0.42440213557087786,-0.06196332951145442,-0.22720046160782026,0.3612395069982644,0.16443191957663586,-0.1461642921003618,0.055761767725821365,0.10783394785591277,0.3691724740771701
bartender,-0.06412228181694361,-0.37978601776046816,-0.9871307885789768,-0.07893772462323546,-1.1029818171099397,0.4975683478227196,0.11904944184418143,-0.18200042348793036,0.6019272223131588,-0.10447432761010715,0.6442383564520346,0.5996068225266533,-0.16635938231214453,-0.3052277037105645,0.48084988004500023,0.2737074981629168,0.7108321770389632,0.05451117338160801
broadcaster,-0.7836285133434802,0.11800076402921696,0.12310766980945961,-0.1521541384607978,0.026623863788622283,0.06308575810900292,0.11104466127151812,0.41158250991652334,0.003300043684094216,0.051522546818032235,-0.19471015510443593,0.2305873706524637,-0.06546295742969292,0.17782449425782657,0.013854878742690147,0.050789649482650655,0.15621625764721134,-0.10108805816775361
builder,-0.20613445464412705,0.11750170206497657,-0.346413342363675,-0.4718727828474297,-0.3759054280846979,-0.4720446198405622,-0.17747182836186112,-0.08954747867945027,-0.28628100388207106,-0.18329833230709042,-0.18312775265165657,-0.2676672680503462,-0.3831792016658388,0.13982899949151648,-0.4453262207718106,-0.115157138307196,-0.15072628853887696,-1.0884862057889972
businessman,-0.8993026811452267,-0.20282921783964894,-0.5485357282738725,-0.6253459996218517,-0.8679625852284921,-0.5174181791396738,-0.286669747492265,-0.6738713812927997,-0.5176464344393942,-0.26801802875416236,-0.24237298387956413,-0.48394357835207685,-0.22123508439252043,-0.1764486335078979,-0.34846972091859324,-0.3336746129367426,-0.32808107634812655,-0.017815744643124833
butcher,-0.14005728539806614,-0.05346856551111224,0.16358189948489213,0.23283390932178008,0.8821336920177073,-0.3192427398316883,-0.9193044375238036,0.7305867461423424,-0.25868618675135435,-0.24379005934390216,0.10782437844645348,0.356001436811398,0.2794923941409033,0.7829307150081218,-0.2394300990791287,0.4340659447598311,0.1826281300696069,-0.5483940771972826
captain,-0.06431762572056322,-0.23950833008861805,-0.27559844574047404,-0.5003519163669069,-0.5133939790194514,-0.5630902921124271,0.09666513068568383,-0.6961500623898271,-0.553712218880758,-0.4157391524647483,-0.23538042269886822,0.07817240694462643,-0.24322840177719635,0.02744749728055944,-0.06849525697017889,-0.01155246046609673,0.08706380000756385,0.17944455904977716
carpenter,0.0841182066025568,0.3773308563762708,0.06198930447212221,-0.10507925174126088,-0.025177654761157135,0.0744905013544377,-0.01180107917130184,0.1073624712681743,-0.601574178319362,0.22732487856393732,-0.07372903900636475,0.13704029933346637,-0.25810410851889404,0.5616233038778264,-0.37665355892801294,0.11100496208083492,-0.024700918545708023,-1.6537383040317544
chef,-0.08767552495333182,0.42225787403103865,0.4866479038741045,0.3086111561290643,-0.020487847025001855,0.13342555971482783,0.22726299049592155,0.6648423006035763,0.3496717753912025,-0.2006380684112542,-0.2800833012067122,-0.09787113827433151,1.0179796265817083,0.1980432210811362,-0.31538732701760563,0.19792785710144087,-0.2940039365298818,1.0267048895735649
coach,0.02021269237878876,-0.16379616408216974,-0.02174525210679571,-0.6250601634656711,-0.5844102054352307,-0.5236106045111033,0.19396998657923312,-0.6232225264223029,-0.572269095125521,-0.03635651425132384,-0.5313755011848474,-0.16235353668631514,-0.28508876271597183,0.12146514341617073,-0.03994128226467143,0.04257083467809625,-0.606851371332496,-0.9698873693354058
cook,0.6283280082424596,0.8576377545329436,1.2318038173005117,0.4515355234913075,0.8130022036769292,-0.0757362313593595,-0.18614610571175685,0.8576325452196889,0.28259466276719647,-0.12896607801211918,0.14755642934570584,0.24152333995481762,0.8007090190039509,0.7857700664146441,-0.49796197866196995,0.4464965250295563,0.45598067223065586,0.17250551714859244
