,beverage,sport,direct_correlation,indirect_correlation,same_correlation
0,water,football,-0.12232835643873664,-0.1545762404542995,True
1,water,basketball,0.18777642824475071,-0.11753744528002515,False
2,water,cricket,0.3540365882822765,-0.12497753411434084,False
3,water,hockey,-0.10419467276880974,-0.1227938239875277,True
4,water,tennis,-0.060657355743708424,-0.13280017213376366,True
5,water,volleyball,0.7747217543458648,-0.054166311857516684,False
6,water,baseball,-0.22901225676979076,-0.15902507632224336,True
7,water,rugby,0.006528966259801221,-0.1913299484961152,False
8,water,golf,-0.3602650431074638,-0.2102971185601726,True
9,water,athletics,0.33195747421443805,-0.21586374023926125,False
10,water,badminton,0.30653074160596266,-0.09753966375922556,False
11,water,boxing,-0.032799143750905264,-0.21374731770654296,True
12,water,cycling,0.2936551315124009,-0.18385401847373367,False
13,water,swimming,1.4078381910305648,-0.017849811717158333,False
14,water,shooting,0.8271570788109465,-0.1823179230569734,False
15,water,gymnastics,0.4295652972495108,-0.13840850436078347,False
16,water,handball,0.6179755844812032,-0.13490508761794556,False
17,water,wrestling,0.14545715042384616,-0.15664340948285313,False
18,water,skiing,0.3398680341989249,-0.10463318087630004,False
19,water,bowling,-0.21634345408957675,-0.1467071985712822,True
20,coffee,football,-0.057802886047599936,-0.10951397484121893,True
21,coffee,basketball,0.14215561733390022,-0.0448560845020511,False
22,coffee,cricket,-0.08849177773908043,0.06150145448734736,False
23,coffee,hockey,-0.1674831344120815,-0.014607182103204603,True
24,coffee,tennis,0.057702657214938086,0.09023488156640556,True
25,coffee,volleyball,-0.04443039729711093,-0.03128373783978404,True
26,coffee,baseball,0.23840950524060595,0.06437080881081776,True
27,coffee,rugby,-0.4175947837745856,-0.07796886797102237,True
28,coffee,golf,0.14350121532442822,0.1878600513364576,True
29,coffee,athletics,-0.35506555413615937,0.12977197503644544,False
30,coffee,badminton,-0.2840606825836433,0.009027949779557676,False
31,coffee,boxing,-0.4562581059777204,0.009297252355098843,False
32,coffee,cycling,-0.2063073353515536,0.17888552278592992,False
33,coffee,swimming,-0.3780769946213181,0.12623556372634226,False
34,coffee,shooting,-0.05442740096555628,0.09781336071745972,False
35,coffee,gymnastics,-0.2324100058517184,0.08871196446119223,False
36,coffee,handball,-0.07629006824819555,-0.05128396724419524,True
37,coffee,wrestling,-0.5283360665754977,0.014564892259671412,False
38,coffee,skiing,-0.0260648785784782,0.2450840525424631,False
39,coffee,bowling,0.25858982164500705,0.17100125606752953,True
40,tea,football,-0.5351002266185416,-0.5027366747969864,True
41,tea,basketball,-0.5454616812216344,-0.4659554080566682,True
42,tea,cricket,1.0511236144116929,-0.2570114692106256,False
43,tea,hockey,-0.2741796547405036,-0.39561306757314707,True
44,tea,tennis,0.07461861044030671,-0.2989582215356264,False
45,tea,volleyball,-0.15107318043547074,-0.2743579918990492,True
46,tea,baseball,-0.7453033904765216,-0.5203455942439397,True
47,tea,rugby,-0.002325747289511055,-0.453318530412834,True
48,tea,golf,-0.1954035173164027,-0.3754704894721063,True
49,tea,athletics,-0.2130991142139845,-0.2101852699813657,True
50,tea,badminton,0.5789573624152375,-0.16107909449828106,False
51,tea,boxing,-0.4646947757571641,-0.3214124474880953,True
52,tea,cycling,-0.0002282905247389345,-0.1240032858448751,True
53,tea,swimming,-0.10280428532264176,0.02606608812919289,False
54,tea,shooting,-0.2700160252147056,-0.2384912017039233,True
55,tea,gymnastics,-0.08123624062959385,-0.11895361760856173,True
56,tea,handball,0.10555212612517947,-0.2737661144550381,False
57,tea,wrestling,-0.7235746031448922,-0.4402984878916464,True
58,tea,skiing,-0.2468117873829153,0.010469086261731658,False
59,tea,bowling,-0.5030064651104416,-0.36145936731030814,True
60,juice,football,-0.006348152900760589,-0.039455499487972,True
61,juice,basketball,0.29174209342649965,0.024382561617162,True
62,juice,cricket,0.032376157107890664,-0.07944445469670297,False
63,juice,hockey,0.09646435005415932,-0.014026265406292066,False
64,juice,tennis,-0.07661283050871212,-0.023837555629958047,True
65,juice,volleyball,0.2433785024874755,0.017608586018304936,True
66,juice,baseball,0.255323884699457,0.009117936434658887,True
67,juice,rugby,-0.20816796851009306,-0.07303917375418027,True
68,juice,golf,-0.2162797815781164,-0.05529125402816856,True
69,juice,athletics,-0.17536816735557995,-0.09695210044865604,True
70,juice,badminton,0.04852948233435418,-0.08397310412797147,False
71,juice,boxing,-0.406907121975528,-0.1474096967162796,True
72,juice,cycling,-0.1891947685198068,-0.09222369315704418,True
73,juice,swimming,0.3942704794524648,-0.08431506899319266,False
74,juice,shooting,0.32633449501799816,-0.07996350956916175,False
75,juice,gymnastics,0.12194744702674915,-0.06048009181560581,False
76,juice,handball,0.29989976481919195,-0.11020311225866587,False
77,juice,wrestling,-0.08563791584497855,-0.05111239539423272,True
78,juice,skiing,-0.04691692041996425,-0.05441986957534569,True
79,juice,bowling,0.08110834530775178,-0.004309595017509798,False
80,milk,football,-0.2291831198132153,-0.31846188686670746,True
81,milk,basketball,0.15505844473986352,-0.19258741933938345,False
82,milk,cricket,0.16435456977122115,-0.19182398596679573,False
83,milk,hockey,0.20287726033179265,-0.15658353736862168,False
84,milk,tennis,-0.24876142523042455,-0.10494187350246262,True
85,milk,volleyball,0.1268180280781535,-0.097249800324822,False
86,milk,baseball,-0.07657470003171063,-0.2181323756978739,True
87,milk,rugby,-0.19410497547267627,-0.31804422953643985,True
88,milk,golf,-0.3195622016584369,-0.11343242525100385,True
89,milk,athletics,-0.16418788794405045,-0.12546509263938513,True
90,milk,badminton,0.37616934477834735,-0.0349698221857488,False
91,milk,boxing,-0.5605207241498371,-0.14470847960670696,True
92,milk,cycling,0.1092885931247515,-0.025074220341368768,False
93,milk,swimming,0.31454146104929165,0.1081255194573189,True
94,milk,shooting,-0.12109474845473313,-0.04054841567604466,True
95,milk,gymnastics,0.17926899040158872,-0.003601259810164729,False
96,milk,handball,0.5624252400772296,-0.1711997462949891,False
97,milk,wrestling,-0.3550556762996426,-0.15137243580010135,True
98,milk,skiing,0.09590274631733912,0.1294148373905238,True
99,milk,bowling,-0.561758549435325,-0.08718180998556127,True
100,soda,football,0.29534252115719,0.2732093465790527,True
101,soda,basketball,0.7374813484849921,0.3750652148670592,True
102,soda,cricket,-0.2358133260182973,0.21097868075800505,False
103,soda,hockey,0.3450961030008409,0.3391126755012983,True
104,soda,tennis,0.03746924033128751,0.32622949118834765,True
105,soda,volleyball,0.5011026586940553,0.26487549969992685,True
106,soda,baseball,0.6395358915919777,0.4354961451891237,True
107,soda,rugby,-0.20611000530563084,0.2032728401229595,False
108,soda,golf,-0.057913502455204074,0.4104975228572014,False
109,soda,athletics,0.200127031879216,0.21621084413777414,True
110,soda,badminton,-0.3193345361068765,0.19423250532440692,False
111,soda,boxing,-0.04411058528231257,0.22435168077300974,False
112,soda,cycling,0.020102516151622497,0.21660909895691444,True
113,soda,swimming,0.32613783484164705,0.17709748444689855,True
114,soda,shooting,0.5836507066556802,0.3071466591401897,True
115,soda,gymnastics,0.2789521814060917,0.19910904619171152,True
116,soda,handball,0.3113929847068993,0.14285072864982545,True
117,soda,wrestling,0.3493163266753231,0.3566747184653916,True
118,soda,skiing,0.5428644414454011,0.2933916683206782,True
119,soda,bowling,0.90718454106597,0.4561685738331505,True
120,energy drink,football,0.26686083575638864,0.2849384425094495,True
121,energy drink,basketball,0.7167175380489339,0.2653968314035245,True
122,energy drink,cricket,0.021077741540229795,0.12094644618094702,True
123,energy drink,hockey,0.5740284578591226,0.2643267481827521,True
124,energy drink,tennis,0.00568042304641536,0.1399137867833016,True
125,energy drink,volleyball,0.829855620055331,0.19834844982191266,True
126,energy drink,baseball,0.3189527550469687,0.1954055467581643,True
127,energy drink,rugby,0.15741228947132474,0.2652306479824512,True
128,energy drink,golf,-0.2694719735658337,0.05862827004469999,False
129,energy drink,athletics,0.21081139955543396,-0.009623940244708529,False
130,energy drink,badminton,0.15698487218693805,0.07089407344588357,True
131,energy drink,boxing,0.4121364731088968,-0.033532827297406545,False
132,energy drink,cycling,0.7208678800601379,-0.056495323337472175,False
133,energy drink,swimming,0.3925753453532373,-0.1463945105267149,False
134,energy drink,shooting,0.2614319673183709,-0.026362061303300217,False
135,energy drink,gymnastics,0.7024551473631382,-0.03741585884843435,False
136,energy drink,handball,0.6250096549672784,0.09945759919709496,True
137,energy drink,wrestling,0.5567708021996083,0.11623111365584834,True
138,energy drink,skiing,0.07069492268794765,-0.12903516727165412,False
139,energy drink,bowling,0.5477659031022939,0.1391572991025349,True
140,milkshake,football,-0.007671482713038178,-0.16118523351586278,True
141,milkshake,basketball,0.2646965122025477,-0.04339711112250822,False
142,milkshake,cricket,0.18520340008666414,-0.036584367960842835,False
143,milkshake,hockey,0.3549533755376333,-0.029497083645267555,False
144,milkshake,tennis,-0.18519067861381666,0.06709875097671464,False
145,milkshake,volleyball,0.2939011504224333,-0.0037495171043798077,False
146,milkshake,baseball,0.18909185668381487,0.014361028019763682,True
147,milkshake,rugby,-0.1898704633727032,-0.17493980061690778,True
148,milkshake,golf,0.03913476593538394,0.12176987608855265,True
149,milkshake,athletics,-0.6278111877345743,0.008302657427573294,False
150,milkshake,badminton,0.2311331795994012,0.055410457462972115,True
151,milkshake,boxing,-0.7709193752554894,-0.00046296711741513084,True
152,milkshake,cycling,0.15117175226254234,0.09641574205913724,True
153,milkshake,swimming,0.11994389144954545,0.18592586314198425,True
154,milkshake,shooting,-0.21363956908288895,0.12240128718726985,False
155,milkshake,gymnastics,0.033907268299729176,0.07597070242601059,True
156,milkshake,handball,0.4708169723521355,-0.08251941463047592,False
157,milkshake,wrestling,-0.6175810044508169,0.0056090502283003005,False
158,milkshake,skiing,0.15128973336608004,0.2271291785069949,True
159,milkshake,bowling,0.21906373458721426,0.14671395255773256,True
160,smoothie,football,-0.1582002637441514,0.22205647507458864,False
161,smoothie,basketball,0.15365105285822986,0.3071218705780936,True
162,smoothie,cricket,-0.4814605706546559,0.2251563727056231,False
163,smoothie,hockey,-0.12677032947234104,0.267221691456689,False
164,smoothie,tennis,-0.200164168158714,0.3720051790486033,False
165,smoothie,volleyball,0.008550353216239837,0.25292050386969195,True
166,smoothie,baseball,0.2653881107219998,0.3882694490194429,True
167,smoothie,rugby,-0.7598198652173841,0.2259650898808652,False
