index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer,straight,homosexual,gay,lesbian,bisexual,bi
Travis,0.11773289953972813,0.01529072796549933,-0.3166409247763445,-0.2629214170009609,0.23776013676892951,-0.2167673061082386,-0.0025370992601711413,0.5830918598332611,0.1393688727453153,0.13508091263507585,-0.19887441236257164,-0.45612620923058567,-0.8003708348293,-0.16801580987584588,0.0591806729429265,0.2033148430341609,0.04997892073466558,-0.30953694791263686,-0.29253099109360553,0.022108390035892777,0.07984950581318803,0.13094228983882575,-0.5027197250848618,-0.17163447162628906,0.09810412287033184,-0.19332941423950722,0.07237741199606654,-0.0326036746454602,-0.013637132448587391,-0.24946764568774557,-0.1373573879727775,0.11020711002237327,-0.4416353160832654,-0.3641399975941649,-0.14930493698229938,0.017731442366255904,0.08020792864931382,-0.37260009731426197,-0.28325548128394257,0.2736707180293642,-0.11492485938261175,0.5635181325862499,-0.38666244778587316,0.2051603221230054,-0.030383980214505647,0.18213946595945585,0.034985953173268705,0.19161069652340473,-0.3304284418015907,-0.6334510583189242,-0.639702937055162,0.06844866948940273,-0.18568016846007254,-0.30652794349576334,-0.7168803959886321,0.07780165669730078,0.21482803730470365,0.046603224576742215,0.10337250722019561,0.045740917023295705,0.10408100629019995,-0.3144898736999017,-0.6807996040188762,0.05924409030820444,-1.484014934963413,0.21876426648420438,-0.4980852477986167,0.11711469555530997,0.07609720188484898,0.3143923449393165,0.02802269007412186,-0.3706894102073976,-0.3671604416338684,-0.06949005557870655,-0.8569120526761056,0.08812006417722275,-0.18821668633727223,-0.2812441563025401,0.2679061707750236,-0.6000373928675776,-1.9441841598570249,-0.42358140082657814,0.19092557593059026,-0.1496923185587277,-0.22538856725529496,-0.12287449788086717,0.17871786570381587,-0.0829098594834483,0.0710118877162622,-0.5528578548615266,0.23313888866261614,-0.7674074759514405,-0.6476342454519929,0.24126258645324145,-0.14100439070328566,0.03823925105206393,0.23569580088538367,-0.8822684974544402,-0.36423841888284686,-1.4584879411117537,1.383694201511453,2.859040271196529,-0.007015467673084303,0.9399569764758736,-1.5346474050044712
Hadley,0.3989062833193309,0.2249112517191615,0.061999353760362114,-0.6369894215864019,0.38136919571257644,-0.00018363232429201922,0.2504434183307167,-0.14724040431191363,0.09349006916089125,-0.04635032573197205,0.27638132851167224,0.30834678035200225,0.10574983617371543,-0.32841404499279697,0.021111026543711445,-0.13069554290496047,0.29265904912419577,-0.022806926324741433,-0.23221003341848595,0.018380505110660233,-0.11379079690670325,0.2785068738893376,-0.5771844176479844,0.22280177796491815,0.031734804259243805,-0.2513417596946993,0.12287584091994944,-0.24460019138940273,0.05123068991669622,-0.37662521201106036,0.0668562344425044,0.08842118420638394,0.4445185957316385,-0.009704040320314413,0.19385988315507202,-0.013927081592002049,0.004337264964360317,-0.4051614348678494,0.6242795374498791,-0.3507486409584226,-0.2225207269435922,0.3462497440608956,0.27450378197908787,0.001330611372387057,0.3453208128333679,0.23900387425939618,0.7549284880526058,0.2229486324897457,0.2734940448786242,-0.0621117660686935,0.16349374049057416,0.3131819295231631,0.2628012961910402,-0.4837274442485701,0.13393237294525842,-0.04965618654201525,0.0816028302741061,-0.36514010968942556,0.2062664299660413,0.022262499374501164,0.051114812334855805,0.17946681574462733,-0.5271593783796656,0.18987836912350173,0.04383499532944946,0.04642526556836599,-0.12034315836727381,0.42890453163088016,0.38490306924665446,0.17338598898381138,-0.45926944873001013,-0.012190567153307097,-0.29175916586622574,-0.14346140897774873,0.4232030489469052,-0.21298661532466528,0.2715774160908626,-0.004969943262656036,-0.15170723133163175,0.39550081113535857,-0.11897598675045315,0.2712083213376154,-0.18156022568041413,-0.5604106290464176,0.17804095997305577,-0.5259360568404576,0.5871745528434265,0.05303012270012939,0.11093280203484487,0.028477231203049916,-0.005401808603465972,-0.30982336398200355,0.5280174239307593,0.4603666543566589,-0.3145045897477698,-0.007941328920141266,-0.0909810082437085,-0.8943414565806471,-0.2817666528815341,-1.3816471184586954,1.2325168125549875,2.227648122797544,0.3029207105802808,0.7720419018970078,-1.6088012192418761
Allen,0.34626352520990256,0.37086231846687817,0.26524297682134423,0.0895278034113855,0.41113158427568125,-0.05764038233304288,0.2545921358394199,0.07279579946110734,0.12097234410199935,0.37170702282155144,-0.10223662066940158,0.21719447113796966,0.6680403247344648,0.21851182051579277,0.34037337873360984,0.336535376494443,0.13352448965605682,-0.06069539578176786,0.21181190039204176,0.2706164492346808,0.0013447638475569386,-0.030931289555152872,0.17739564706187436,-0.07155707028281019,0.43871477554457045,-0.21530877078329425,0.38853939066623516,0.03740886773797,0.10620173599659474,0.017195075137555572,-0.2640739471409055,-0.1354197681644131,0.4124768380987705,0.6209859234241059,0.4733489196738063,0.488918850372158,0.33374755197352457,0.5727458080103852,0.27042110494952415,0.32214423219317806,0.0972430817825856,-0.006378431549276469,0.03334291915417848,-0.03401696632876919,-0.045092037685165474,0.029810690016957356,-0.26789954116075343,0.3054035567282462,0.12446671044207157,0.30892558333165065,-0.505351593436667,0.21682054887176805,0.016440261205164113,-0.47914829434323897,0.04533526906824912,0.34785669972044087,0.16067220376564648,0.11508837078562675,-0.3326743471857584,-0.17488503320710697,0.10878590953209168,-0.029463927279344562,0.017182210721226665,0.22524863383776297,-0.14836789697827343,0.3050629713340259,-0.271228129830477,0.1817648075782368,0.358640016305169,0.054948809729905054,-0.1279031320946883,0.08298680958800385,-0.015872463232763114,0.400060155097742,0.2062627572363153,0.46831622185567817,0.12946591591546916,-0.01201094471413908,0.11103549712094908,0.2819779390377724,-0.22205585244035098,0.16188407433109792,0.0841719290538414,-0.1463409514776353,0.080882158399828,0.3016386494640816,-0.039704791202095836,0.14827520617998152,0.29931887610369295,-0.154374492114733,-0.04713758837403921,-0.07563040831941144,0.4032603419370763,-0.029086845020828065,0.37344384075738846,-0.2737669478192202,-0.3013253277321242,-0.6110362434446964,0.1901769646835197,-1.3746504565564956,2.4361870390788196,3.673684736178657,1.3112054394738877,2.158599130607304,-1.1800809030396866
Lance,0.01694457327486514,0.2004544131435277,-0.3800375215711656,-0.5440375842459266,0.027345283464488286,-0.3728788525637497,-0.20152930649425682,0.3604446877192424,0.137506951312357,0.334514876943844,-0.22785782375917604,-0.021654228117107155,-0.32997687605548315,-0.10055215644165603,0.02354661970785661,0.09659389743282656,-0.20859219110933266,-0.39524076386089746,0.6473276907905124,-0.10688631118414585,-0.12150725173538683,-0.18203296031325777,0.1139543241195039,-0.3821164391626699,0.2022923133907715,0.031643175804721105,-0.09511662241064026,-0.36235038026704164,-0.05488361724052928,0.13132489972804737,-0.7195941825516526,-0.045672109818066374,-0.44602024353043934,-0.1606533027297464,0.10286991513012758,0.224665770394008,-0.4018972892700606,-0.543925868139079,-0.5028852911663237,0.5836031156979088,-0.2956284398409404,0.2358078421273185,-0.18043485502158113,-0.043078281462098675,-0.1692597410204685,-0.5801122549985973,-0.8168504277492604,-0.0745052885897228,0.09387447375834863,-0.2865172244546883,-0.01605098318126857,0.05229294771171111,0.039497016904296516,-0.7339578067352834,0.14042356613186086,-0.07620808422267299,0.4663262357881065,-0.2681971671159157,-0.5312193909426753,-0.07157915154984505,-0.1581951387645735,0.17894886512457242,-0.7468545435155015,-0.06805069904292767,-0.7810807069657228,0.15202586092233464,-0.03921048545223893,0.10141999252864775,0.4978533590800349,-0.28941990263767525,0.329904814910458,0.26436913187486455,-0.32353083693118523,-0.10759162023143738,-0.3429465037115193,0.18462773351510778,0.0793114737131196,-0.16989879646062322,0.2641153008131606,-0.006178048283545015,-0.6242452602108842,-0.43905001082145634,-0.0483876406765132,-0.42311203086186056,0.3233483363751211,0.7524881787827996,-0.476379015866943,0.07527287631268788,0.4104442711265137,-0.24099050776457184,-0.02273513364047462,0.1011185465983387,-0.277132192026489,0.2881384735739441,-0.012475866920968562,-0.2838667670776961,-0.42790393546125366,1.0635367165781553,-0.4155085968590031,-1.241541835293549,0.8944515537629798,2.3561006854647752,-0.28213174489064863,0.6748947642552318,-1.608576991547971
Mabel,0.003829826592082799,-0.2462001814774641,-0.4943500709081743,-0.4246897780822076,-0.4186944358795318,0.37147365797279425,-0.11436108463832574,0.351718371054263,0.43174845515887755,0.46709901422896943,0.994680582299921,0.4778483501893781,0.20308474829297127,-0.147984813081083,0.07384858609521033,-0.1873966422833747,0.36109826999543754,0.4128816718978253,-0.4040780471129292,0.03671422376530637,0.44334328243929866,0.3894359836808804,-0.5457648998646633,0.6152218002234447,-0.10748035385557805,0.18703998934077762,0.06995015867262863,-0.13091721144448343,-0.1871920708751723,-0.07618925274592443,-0.18594830018496122,-0.27482337863923106,-0.40316349775577226,-0.16284949062499166,0.10429881300510918,-0.23717326512159964,0.4742734734754176,-0.3754077104822564,0.17612931465173623,0.13348224973878564,0.046050316136285,0.20607126461853395,0.3850430543459067,-0.3734277945367821,0.5510487351450981,0.39130427598124007,0.7539991107788833,-0.1334704733446652,0.35388555582236314,-0.15058004409528147,-0.7115830762547122,-0.4004806923166997,0.15178835004168173,0.14551208342544764,-0.15131608251235432,0.3853843714624719,0.0002578861764045908,-0.0767975525206932,0.4667350685244386,0.1727501500617913,0.2732424254780754,-0.1287869362470619,-0.23473934876767735,0.09527075711587558,-0.9841153821431775,-0.12298683466836773,-0.36496454100033054,-0.07969025640941238,-0.05513726760912663,0.034161046175022504,-0.22104744818715225,0.2805493767546386,-0.6148557410493253,0.6467400221951725,-0.5489703136081109,-0.24359703698751525,-0.27803335289635667,-0.19763800945502374,0.5779785184936066,-0.3118106370274653,-0.5449536618380514,0.3621335200385916,-0.14845497545510383,0.04242836488787176,0.15000507954156758,-0.2510779239489126,0.45121678044428093,-0.01911957312728872,-0.3346846875355934,-0.040353844505046206,-0.8305262684195245,-0.040235360138589145,0.5559183841699284,0.346936361569528,-0.18202732242622618,0.4488783544127779,0.772126030654808,-0.6336617681171749,-0.23039751656535873,-1.569679378766035,-0.13475657353531506,0.7022055970959513,0.43665133983142196,0.37490398347967685,-2.1706158813074055
Lisa,-0.012868091099717196,-0.6210930569957779,-0.0021103671585244953,0.15853796615556498,-0.06238270986195987,0.18278360001635074,-0.1684515080220597,0.031028671955668916,-0.07740144220315716,-0.2973582977729561,0.08091894393674286,-0.18487096754815896,-0.1334758650878579,-0.21877597657848538,-0.005942597690355808,-0.3106660232421248,0.2658021619162981,-0.1765598724254251,-0.9935605189658175,-0.06251537695046727,0.037365723409213576,0.32186824084697596,-0.4408671822323437,0.2118713904259506,0.2707308450681526,0.1003754921364158,0.09626803757791028,0.04980911517550854,0.161061581497281,-0.13968421203684214,0.5084908956606463,-0.06264075964918636,0.032162625917196326,0.054370319027986544,-0.21111766465411486,-0.13676483245735216,-0.38250737059292017,0.20156008617025806,-0.42809973234870663,-0.509919274285154,-0.12127157849068333,0.15514139607598604,-0.06168194849344448,0.39180836382544487,0.15366264470454483,0.18047115393611962,0.11650030312714214,0.16760648485215682,-0.1156917904691865,-0.015691134272525588,-0.5078686185150391,-0.2010554851423671,0.018611267214783234,-0.0334074354444581,-0.18514883194776194,-0.2130865427529241,-0.17187924387936246,0.07102540466957111,0.14986573837685138,0.12946146599134206,0.5317612535446562,0.07593599101923586,-0.016378023889824907,0.04786567534381181,-0.2946324460294454,0.2511271121776517,-0.1244694732006195,-0.012205531911603722,-0.3105639473618746,-0.20520361052136635,-0.5645459715802652,-0.6823851629271628,-0.3131204003113535,-0.13729294918895568,-0.04191983211233879,0.1895838601014123,0.162261731896099,-0.01766165520993996,0.2932658277748036,0.03087762956674077,-0.3204097256027207,-0.13496988800405013,0.3723615186015435,0.13781911625274287,0.08218847624420006,-0.6774386367286093,0.10183124286938829,0.16481287594307437,-0.05811805610057085,0.07811676022700478,0.38686710527134405,0.09263527296453365,-0.745790961025384,0.05952318618432774,0.2893526926421928,-0.1437982465035447,0.4269424235371273,-1.0096044370725754,0.1094956887313433,-0.8928740795878325,0.6963417024710638,2.0717451431693257,1.4434820648602165,1.4978745434043994,-1.1440434904742018
Curtis,0.5321698639534768,0.7412332712044338,0.19349904811547006,-0.06636029325693898,0.4433134176236442,-0.08233495530455669,0.3172458897690507,0.49884416704312234,0.4449718388946825,0.5113955426718347,0.05882143893427184,0.01573529659577638,0.3442332265758556,0.2640844291152666,0.17773532221306756,0.2973748082106871,0.1603626953102227,-0.10507367958948967,0.496754279019614,0.4108151992599476,0.04859892464109875,0.05310962097776626,-0.07049236392334521,-0.056075189243749234,0.343944262751386,0.15745379630239656,0.5598065377170783,0.09147684890723688,-0.03408067572313314,0.05417094210479451,-0.11751727278440921,0.004764977488834625,0.28620831646963,0.08191223676727623,0.5801330029058249,0.43002996788002756,0.29401688023850076,0.1521725847979774,0.33766438653988073,0.6715186622138002,0.29105413399738284,0.5460020456365096,0.15014465351121034,0.17261545255383928,0.2168927829177028,0.10246672916961702,-0.10432513077762437,0.25844036055881736,0.1919351160367611,0.03194440690093832,-0.19294219747026858,0.28913025667872294,0.10496047991750004,-0.041867395895975885,0.04405011066995543,0.5359219500308914,0.48364094297795507,0.2543893885915357,-0.1265751807536506,0.01466283063079923,0.03510367929903201,0.1659422621529275,-0.08495564833588348,0.4654848019833748,-0.4089399859748572,0.24287275981444356,-0.03946111839624119,0.27629061948002204,0.7728023683526907,0.09596889208644985,0.18440803014623652,0.2345816354658048,-0.10322270577329007,0.26766970510441346,0.06673888896318274,0.3518140481825725,0.3076948349377175,0.1165212631903654,0.1991698941275625,0.19875793921215779,-0.671491694568903,0.006187486654605545,-0.13697499301783017,0.14900475151391254,0.5216935013780679,0.07949327633842725,0.015124951773938031,0.17024924394639943,0.4798801407149389,-0.07803475618835122,0.13117319054930562,-0.3123258181907053,0.2190725373995331,0.216095387887921,0.14867952217694638,-0.15790291986817476,0.028727096972641277,-0.7714969083776916,-0.10479552550181503,-1.4010807310492575,2.752265839539655,4.028597366462476,1.616141584973796,2.308375291765015,-1.0191136011923596
Carole,0.46250173466716754,0.16308368976130674,0.40971153298772284,0.23391901318181046,0.12861246422525716,0.1392779901667109,0.2984055382872949,0.1420722069185757,0.182386050517262,0.08535354072872975,0.4980822428667201,0.17109027619488712,0.6499442247688048,-0.05989737369022036,0.41998523508474256,0.10462399739221241,0.6835988794880808,-0.4196268122598478,-0.552705809042748,-0.017670559404206355,0.2690531793758751,0.0067770650568594664,-0.2852224131633185,-0.06808442756138629,0.41374717839492464,0.2561737460094038,0.3600136584299307,0.28106665651669316,0.285631389196689,-0.1492352968475907,0.43674453080648545,-0.13504885740829214,0.665733416819161,0.3956347585749212,0.03530329015066705,0.15056839336404315,0.1184069845555708,0.4099404186169241,0.2649160085689954,-0.5123195447166238,0.0568749331122356,0.22304899937803033,0.27297778055731053,0.31793877431321194,0.3962572441475946,0.24886697552688591,-0.00210414744335325,0.39085012008925346,0.2335954570646449,0.3892011478487773,-0.1580450927941932,0.1632981475350986,0.4448198885585485,0.17611952700267838,0.00039491504420806155,-0.048244987490857455,0.07212941734067387,0.48819759355241665,0.29641385288423705,0.08406700589953785,0.20354156151365813,0.43022270440914423,0.2861503228383358,0.26108533827892855,-0.14770315740268572,0.3025658190903089,0.0034395646102712498,-0.3386744538406444,0.04401838657312634,-0.08576787523476088,-0.3695063484986355,-0.13815189773539993,0.0684579035053183,0.2755312405360386,0.435282528936546,0.3041700251568705,0.43753844365178185,-0.10011304160347564,0.40721206860180453,-0.01915408912095959,-0.650929759160937,0.25284903776782214,-0.14686641812286338,0.5193406639126761,0.49098686014108134,-0.6264286264494591,0.5552988615702379,0.29501358219472995,0.06462166629420894,0.16817800164435973,0.20484210619028798,-0.06160270428921336,0.2398185991427965,0.45236048992664946,0.29113596613122883,0.06504160647619864,0.5730713308275345,-1.7857075806286304,0.402803077916024,-1.2092890231094504,0.20760550482876444,1.428395163563807,0.6819670727417446,0.4377819894561208,-1.8156964795625115
Isabella,0.14977201148445307,-0.157123236979348,0.17007315789614924,0.07158393829755431,0.046664248460002444,0.2053921477241773,0.15018343433563436,0.14018178810502133,0.066289774001587,0.16110180194852985,0.6008794563254706,0.1774355030685833,-0.12979412744961466,-0.138938770580031,0.3953253865632998,0.12625422151332594,0.7177274353186556,0.2744689625492803,0.051012323272403494,0.0003343398626340481,0.1192900876074657,0.3556470356135529,-0.6259166200281315,0.20408129126612207,-0.1209187153200136,0.08189584253128412,-0.21664919315481895,-0.2318405840163574,0.47364551856177245,-0.2111981898760924,-0.24262540463273843,-0.21294015717125753,-0.13549798179741454,-0.050757223241235036,-0.19884270304546758,-0.15437397923232418,0.005038556184442736,-0.11030897230993145,0.7444163587245431,-0.3001295640280622,-0.05438551553367191,0.37360339843989454,0.18659608064937577,-0.34141999808678786,0.2666270312200465,0.1674524918168451,0.3845036091712731,0.49383380756986156,0.5665606278908881,0.04107658221273777,-0.11515891226555879,0.06985356752238181,0.007448522935139906,0.11125372055212719,0.24800935190517842,0.08627677467416284,0.01854684952173826,-0.17215623836956076,0.1382670531942,0.034801875643633656,-0.2282707071079434,-0.17121606605939838,0.13036306575932913,-0.08882293401644975,-0.35022813873826214,0.2712242948403064,-0.47082469784450853,0.15796575058450288,-0.022666184443798556,0.021332868303168835,-0.2849684223839772,-0.03960240596217351,-0.19994679470071192,0.030334398100864836,-0.4308767871405816,-0.2223716815863089,-0.3015593400819371,0.023863144457922713,0.38105919669213023,-0.10946736917710478,-0.40018176451834786,0.22949383306866142,0.40755722000032457,-0.10232327478973867,0.24914243783029033,-0.18634044841779848,0.5742100950651102,0.253075179874943,-0.09893689271660633,-0.2988653527034006,-0.3340824843268778,0.020149290242088495,0.20561886681545552,-0.08939634601841116,-0.012184328067957426,0.24450949915025286,0.3702311180643683,-0.34364147286622915,-0.12737100745773855,-1.3680975248289664,0.062489945633017706,0.42491901307114305,0.7716372984682224,0.31311798199220486,-2.2744603991716095
Aubrey,0.21514491716517495,0.02236082418838204,-0.04446412642908616,-0.1417407152644676,0.014735037224200827,-0.21357747226224125,-0.278654491689582,0.1413259920737854,0.0689651232754018,0.05011671937461343,0.2552768959952099,0.17043735462669146,-0.06336903726324702,-0.27743836355177914,0.07996854241505394,-0.18978495593266975,0.33385217997953714,-0.4625605185952438,-0.007019448312116788,-0.10584081670524224,-0.05932679106806584,0.003954545036518086,-0.6359888498893388,-0.16498912115429498,0.014705555868017299,-0.16558609251108045,-0.12942187489855744,-0.13681864242891095,0.10151794934458004,-0.11229179448963564,-0.009261889361345341,-0.49288696052772474,-0.14208210686270265,0.34647189426490743,-0.5623284964861188,-0.43189208820088254,-0.3526880334617715,-0.1879126469809777,0.02985251528654267,-0.3326079228966305,-0.12130001109976735,0.3844938811237369,0.15729578004886052,0.15275278397282802,0.33509336816084734,0.021871346016773263,0.3254193704392846,0.33405943582546394,-0.10284083153448438,0.18664698008866482,-0.36582444803776365,-0.059604199117603514,0.20279478193349804,-0.6274993047383646,-0.6796127116989481,-0.29112473188921445,-0.11669339985255006,-0.23944362542882436,0.12494194729315022,-0.26038181199170857,-0.2780342309908216,-0.3712121201429432,-0.12106176375769406,-0.40698125682149444,-0.4381826565773928,0.3519945390163798,-0.5390414846291651,-0.401996729776326,-0.018538766077083938,0.06730917555550482,-0.23255315819390013,-0.0667804841096573,-0.5225860731113235,0.3261760303668464,-0.411048173327582,-0.16308139614666428,-0.06554335143356406,-0.2069425577916894,0.3135858913700697,-0.7710570022028793,-0.8223402141375686,0.20256244555903685,0.04905837288217632,-0.4126043226231029,0.44569809946514344,-0.8288916809049995,0.8485207230171018,0.22079710485576165,-0.5386841525669694,-0.3207934480934482,0.11291225483211466,-0.5774084388046412,0.23716941106474698,-0.000952601283650279,-0.10475830833607179,-0.15484046880564534,0.3221905567226669,-1.5994015754684487,0.2766388489471775,-1.265354779246957,0.9354087206183362,2.010264575078386,0.15152909516810653,0.635077197710162,-1.793340748255142
