index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,Buddhist,Christian,Hindu,Jewish,Muslim
Evan,0.15787717124805237,-0.41946913268137803,-0.6495916835638254,-0.48378559408139626,-0.5203286396814176,-0.48220009194630636,-0.45106301240580604,-0.8108047758382908,-0.4599016109651895,-0.3114965524576041,-0.3962844504675931,-0.6712806513551506,-0.3510903045778912,-0.918647806801443,-0.8760869465612595,-0.48929568781991145,-0.45914362656901603,-0.3927251025868515,-0.39155896910502386,-0.37962583844784564,-0.43957009238635303,-0.6243087224375191,-0.9716673239082181,-0.46890898166709527,-0.3925639319042047,-0.9613480828742874,-0.6890384270757055,-0.4761019996975447,-0.243032572034327,-0.4793643495836847,-0.8612962311911702,-0.22862731313059695,-0.2105895934962615,0.031023249250525298,-1.1945327486942772
Gene,-0.08255447108887484,0.12600990858372993,-0.23446376021426435,0.44130041370013356,0.0990548643269002,-0.006572063803913668,-0.21076565980622783,-0.08305760959266088,0.36280500781626707,-0.448148261664661,-0.3042634463624835,0.15312495670323933,0.0632082114178595,0.040949516328934336,0.2862041948761996,-0.08918215937881893,0.24811584277193977,0.13813139195748964,-0.06920196415564629,0.14966011606130553,-0.13680612247487772,0.05850337322774544,0.04318816989367288,0.3265944084252663,-0.14579256856700493,0.15606331344799196,0.04404537705178794,0.39578133428419465,0.08222021732206318,-0.030552345353000384,-0.18870508059632002,0.06523009587133378,-0.8721315562356957,-0.20299444873937722,-2.24754561801112
Dillon,0.3100852225084773,0.17027936008890615,-0.40854540300652803,-0.2885621428202066,-0.16214273450108563,-0.128234241161142,-0.14318011709642958,-0.3831907693603945,0.17829546077119252,-0.30698111274416173,-0.11076980912217502,0.27250642828238236,-0.3655485747888435,-0.4065424665941777,-0.21948409232011284,0.5873209283194395,-0.32911517176796834,-0.44360092449772337,-0.15923232279377333,-0.27045989958504635,0.018038398530131988,-0.3872323834909001,-0.8367390813359936,0.19108590738035836,-0.03114725773244089,0.43979047655519243,-0.1144139600039556,-0.12129975470144275,0.22192526722704436,0.12823355517342055,-0.9233786438208873,0.30176891792349064,-1.4426620131244687,0.22453391490853808,-2.012810940802944
Marcia,-0.10633464945661263,0.14870907042959067,-0.09713345978100772,0.17544954774522212,0.039038093859037414,0.11700803051549995,0.08319701492639431,0.013889992613751947,-0.0989970667107325,0.1703117338849886,0.045171563352568986,0.0693270738134245,0.49259318099468885,-0.010944605043342746,-0.016405273510447526,-0.22577719858065182,-0.25739992272572704,0.6059624618040831,0.09202406578696606,0.2950379648942941,-0.3567392698471141,0.4954603832833289,0.4336146665394554,0.09277597675583343,0.17297047315199143,0.25014505680600047,0.19794162303738116,0.3421564219035694,0.08706675301724547,-0.14097723492848047,-0.4561536444373427,0.23928447607167863,-1.4540043745221298,0.6422855985286752,-2.0352979833310516
Annette,-0.7990912339889084,-0.520230007288736,-0.3557555600912826,-0.2065474316302711,0.0038810593084380503,-0.2594884313309713,0.30381575809381484,-0.7007053280403416,-0.31027612692146644,-0.530934404889562,-0.5827762928431964,0.17065839503959462,-0.2758228030310514,-0.4166232459275643,-0.582748170894528,-0.8803464901627928,-0.7665787193035243,-0.16421047918392243,-0.1270059766443536,0.16745082180814647,-0.45829881134839984,0.007459545674238954,0.05895168553513665,-0.5749953068440881,0.1795730730422652,-0.3101291227061724,0.22419360023426788,0.12523051446171143,-0.2637768154041508,-0.3500876049988788,-0.9802690638964368,-0.282041471106854,-1.9373237555741483,0.17868479812418744,-2.473118931424685
Gail,-0.3247948674389242,0.14192958133065606,-0.15153130001954673,0.04540255324643819,0.33390810636815177,-0.04655208081342027,0.31007805606378885,-0.15502539744508184,0.089997544262654,-0.7612165292887462,-0.2675235261295936,0.6865246171757309,0.03870921573229242,0.029860157609996572,-0.13235870230529875,-0.7763999498906876,-0.863058277456525,0.13775272106232742,0.07525345796020246,0.2748453068548497,0.2579668659138593,0.17758734284276745,0.07226111506460525,0.05652135836761222,0.3895324440242248,0.4143219508711619,0.24935129144218063,0.2537156867719572,-0.03636130600987214,0.38787077466652503,-0.40371433786964916,0.3918493853569242,-1.2268836599091584,0.4969805483606238,-1.1453785361023294
Courtney,0.24684647484718902,0.5102026228364756,-0.020077738467590908,0.07676101753522947,0.10205394394168751,0.27427922812234673,0.0019252073131296279,-0.29198370910887644,0.23167130578358422,-0.6387576649646917,0.23563720904465843,-0.0023859282964880857,0.1848585824923669,-0.24163611574571983,-0.015203833407565374,0.5234301328632477,-0.40766307900416915,-0.03038782818236331,0.15087260416239331,-0.16110714445769364,-0.2162514985354913,0.12537162190248172,-0.3704780277776658,-0.012619090308805727,0.009323998567250406,0.18315841160320392,-0.06631545473333943,0.04305727909262088,0.2618490276934714,0.30929770495649034,-0.3901943541719679,0.3303584088231239,-1.4316700533409432,0.23864397471544382,-1.3935489660098443
Ruby,-0.24575405524304528,-0.43898218350596174,-0.12160405929758851,-0.5631595048710045,-0.055263418702894064,-0.1804016908961463,-0.0005758449560117467,-0.14796673741473115,-0.1046220245326919,-0.6287989797651017,-0.5554964932177807,-0.2605532895463014,-0.10882971684320412,-0.0388543189767422,-0.21162261183926157,-0.43588878618666016,-0.28301695598823584,-0.34363197618244323,-0.01722040113353181,-0.2265451034517814,-0.3327310888596147,-0.04686637612611433,-0.8832780444571834,-0.3074241168616289,0.04626831330429603,0.008520669736073662,0.03234638636025867,0.15576101468191683,-0.3150860743011639,-0.06965777663056485,0.3337372516843476,0.307648913088178,-0.9681212757122639,0.02237561720071272,-2.1273702410936064
Jessie,0.13550790305786684,0.024986891802059708,-0.11480192404624744,0.06953923215726161,-0.14093853251223057,0.20856510078411314,-0.4212740145145771,-0.8947451526509594,0.3260558683548131,-0.5936900191202495,-0.026692329926180567,-0.2434217710482802,-0.34574090441920735,-0.274297386550665,-0.5842913776416878,-0.5537331423335534,-0.7120089487946385,-0.2929747646071701,0.25580343229689956,-0.3803786140396094,-0.32121069198452057,-0.09240734404244752,-0.26602470578798737,-0.005833348222618026,-0.036441082753005755,-0.028755876979853632,-0.2002252989896775,-0.009148964846631866,0.20847926415754098,0.03415349174374246,-0.7117138273555366,-0.1282877127790478,-1.1260839893163932,0.10371242531927248,-1.978583793734486
Victoria,-0.10821773278281784,-0.24345107635053803,0.48870252732472563,0.2563178839056672,0.025166827737913736,-0.10352975154114652,0.14903696051862547,-0.2415920603928364,-0.3526756871834999,0.5205895066126033,0.44036053364261435,-0.4364665498588744,0.23846846288259738,0.31122624933343623,-0.1868058261427354,0.0016575461744764062,-0.07155277639564132,0.21041363105134794,-0.13159110627724346,-0.22205072117512947,-0.46258236603565506,-0.001558228862820813,-0.1330679472664976,-0.15263788564791983,-0.08253884169668976,0.06143231654210907,-0.30193723467533,-0.29426604398755807,0.06765877471737868,-0.16825091190721875,-0.8047373178037073,0.49988407359391757,-0.7805234026775361,-0.23339895966844268,-0.8965968903669924
