index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,football,basketball,cricket,hockey,tennis,volleyball,baseball,rugby,golf,athletics,badminton,boxing,cycling,swimming,shooting,gymnastics,handball,wrestling,skiing,bowling
Albert,-0.16464723541684306,0.07780113662817603,0.3602640287619112,-0.3638939835749056,-0.03730565907903727,-0.16896558628645497,-0.5421699347815925,-0.07075678980490238,-0.2519714993474216,-0.17518410943163118,-0.07762260612448067,-0.01714247251493706,0.30384383527758796,0.21340815034794183,-0.010870596302906425,0.03947885130810412,0.17326822954669785,0.30615001814172305,-0.8268659012939761,-0.7250497244907533,-0.11091711658797258,-0.7951080588566132,-0.8008433923484906,-0.8884017201707693,-0.48529423767312674,-0.6165392985339839,0.47958889734190685,1.7902587754698476,-0.5654194543328629,1.3821917141849933,1.9148328411948203,1.2981505996011942,0.643521809003365,1.691113329346081,-1.1557003299318311,1.209979533466485,2.0340480512361516,-0.14425515681040393
Miranda,0.003136837615773922,-0.22531199197956145,-0.4115451568277708,0.16685331844021667,0.10841781829306582,0.1256838180557457,-0.23410619540783584,0.005002274473723104,0.07367350861291276,0.24591743750787132,0.05447094614746311,-0.10105104007042834,-0.030442470073462388,-0.016374164720042023,0.19178053416740165,0.03734043163878326,-0.10120225296657188,0.047748619825567676,-1.8851370334403976,-0.8737038730132111,-1.106404401008023,-1.5039815134453607,-0.6022907595211356,-0.4256080438860304,-0.8826682345575342,-1.432979925871828,0.39539667271428786,1.8537723131829902,-0.8119332466723629,1.2007397421051338,1.9795039474439406,1.796186455107996,0.8796519108602555,2.2575112918533353,-2.1925059619869605,1.2285601196113545,2.3914286054223832,0.5723892327496155
Leo,-0.5247080528350989,-0.12221213106949362,-0.49980243125992213,0.030765969613562625,-0.7101546744694839,0.06275458324881854,0.19201738599313856,-0.20393499510443489,0.21753451915714414,0.049361836673028445,0.10847524655997282,0.09059938825324276,0.15657055207011322,-0.019646070409985155,0.3758531880120461,0.02780200979586981,-0.06500697725498308,0.33089478081049467,-1.9465153280430134,-1.8566208311999013,-1.672012955648977,-2.3911028241794696,-2.217724615766169,-1.6799754523695798,-1.3146741114401552,-2.199582160146343,-0.8021464226343443,0.6481368737104205,-1.8054981591170427,-0.22519844435241945,-0.10941391551890856,-0.37503706457300867,-0.5848297767405362,0.2513183979884152,-2.8694683327953325,-0.3833957621623597,0.5752801214226122,-1.454678900007187
Dominic,-0.1199504347014032,-0.38924786012699586,-0.6382888734939423,-0.09542525078150389,-1.0901298650765985,-0.3933036136476924,-0.09960862424392661,-0.6405643804189458,-0.20218777155920248,0.10154766457657188,0.14652299195976687,-0.24082145011387704,0.47105070174554275,-0.6356745538120323,0.1290120649638048,-0.2467380226670687,0.09054914717476316,0.5476957751361655,-1.519636683492921,-0.9568621991618608,-0.9435943344347445,-1.8301895634055176,-1.4720458664916136,-0.8966017749410362,-1.0916188852470932,-0.5677280769658335,0.028086560322630794,1.7924275208328586,-0.9050235017455914,1.4036205900457461,1.3758772543147075,1.4010572929438982,0.620543533558319,1.293334063211862,-2.017708338391061,0.983339479278083,1.2780690567049853,-0.29654289001953016
Vera,-0.25690477802315365,0.5567597896043647,0.804475257970761,0.06166685902265268,0.12713260237610807,0.08164919655842823,-0.18898764061546655,0.1900446444111032,0.08051631742891552,-0.21436123535049878,0.0035987121657098733,-0.223287197224877,0.2516421165514359,0.37035247091805656,0.33350552053404997,0.13894524076680806,0.01778003476718932,0.3188273649111831,-1.2783537463680357,-0.8914958653382995,-0.49141771794247047,-1.2131804230995766,-0.8986151802301409,-0.358768439008771,-0.6958383526936448,-1.5284868023976714,0.2817051581275603,1.2981808327406756,-0.8668749884159694,1.1929345042461685,1.5203837281142758,1.39857071523546,1.0601855646352643,1.5481233568824966,-1.7630284338613365,1.1752438437783288,2.1050837193858873,-0.07333178235700298
Adam,-0.40417859189607314,0.1172113171381734,-0.33680921539524095,-0.00576414992644153,-0.27574723382264643,-0.10901210032737857,0.47760814412289077,-0.14406028821512173,-0.08441059070091537,0.027228670224165537,-0.15459841466741048,0.1535200672744567,0.0437847163306642,-0.08551867473077622,0.19853529722540184,-0.2716956646757994,-0.07621414576275852,-0.06944840445505329,-1.7087843623861296,-1.652867153145492,-1.2733255291885102,-1.7410544006377036,-2.3049722489502193,-2.04529259714453,-1.2501225592698983,-1.686681698351271,-0.994390362037533,0.31607988921972696,-1.8674406968602475,0.09495272244363381,0.19281182823033707,-0.005082246028852393,-0.6667203187475991,0.5406663822970635,-3.369940520277372,-0.12508466631091586,0.02480880959822424,-1.2399017047404528
Bryce,-0.3103166392615488,-0.18555513456390335,-0.5177445406528479,0.01445251104966473,-0.35952460457198293,0.19442867756567106,0.6241517004479328,-0.27852462832811997,0.09008507389167716,0.2800309002566525,0.007036520598820735,-0.04277203030111733,-0.2924733780786248,-0.08270538374333275,0.41843562503146187,-0.12788099317928073,-0.031145154312281428,0.01406722628505441,0.08863843800171739,0.5266181909222277,0.3771199628564984,-0.1419298660960122,0.12033953693304757,0.13186256125676568,0.7739130730345956,0.5173097753624525,1.7631391579769449,2.8336424669685636,-0.07256561858515291,1.8554142317479139,1.9596419573374106,1.7419845975344552,1.5774693529703816,2.031415564329329,-0.9122886695776047,1.8565462765427028,2.086055806891607,1.2423268866088606
Lucas,0.21554778467893446,-0.20915744731144686,-0.368929015346956,0.27003351274666315,-0.23113546126924617,0.25982605104962697,0.1630285086931351,-0.31390390316670425,-0.17268721312229024,-0.09872856494008853,-0.4593064813540301,-0.24452986075960603,-0.05143310426351692,0.00998445894518723,-0.03701616439820512,-0.21269511936671862,-0.45788980691207426,0.051551016088422816,-0.913608159709717,-0.5734297896248317,-0.42442118083243857,-1.1134476807320166,-0.5252331935205932,-0.44686538040683466,-0.5633956999849337,-0.1310885590563122,0.7443887868844331,2.764831653914665,-0.7197071848381452,1.1137950426188135,2.0724543868154974,1.3956865504459939,0.7761298212310757,2.322766793987247,-1.293332720795304,1.1769784736926363,1.6616070996602172,0.099014126121021
Annie,-0.2704918342181565,0.18529597758588467,0.4239383905509518,0.19046900124311503,0.2916471492469463,-0.003996701005154915,-0.603764612721863,0.29771112851554704,0.2261525459390534,-0.15923241522831755,-0.0030447310575866895,-0.13596678512435648,0.04995991821282081,0.4263594662583459,0.041106235887390624,0.15836495156964675,0.3421470477540806,0.49626038047412263,-1.9993342456529004,-1.32220451550728,-0.9023833621774441,-1.6774273397509365,-1.0450967018377497,-1.2771542994968843,-1.0379713778523132,-1.8437356419869866,0.2260136059184233,1.6160373268849284,-1.0177591351627038,0.9995698358872179,1.5831664176572438,1.8606752640895643,0.8751262363671006,1.9111799917912122,-2.6391168395506455,0.6234252308948945,2.4838370484319356,-0.2357249974053878
Cindy,0.09111347128696426,0.40429657607439196,0.17388579842980306,0.04582529143150797,0.3380129829197811,0.3358778829245215,-0.3224463977981358,0.33780741045830687,0.309707936411343,-0.18046077196135848,-0.18058647055470672,0.009999777774947129,-0.21052078879093358,0.035022462181258415,0.05123945103371367,0.06557474150500289,-0.144236737524023,-0.30404104020112965,-1.3399756998680097,-0.2976251406578076,-0.5667066280485272,-0.8289116424911209,-0.11172653400127343,0.12482085260190127,-0.47727082017589934,-0.9847854898429266,0.942727774124179,2.216580301025973,-0.14709957297042894,1.3832378362775377,1.7696321972447135,2.301171244172147,1.1634419028396985,2.4239480746239574,-1.53955933656075,1.3269606053483403,2.4166960261789954,0.8438402164802281
